qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0016?",1,1,1,1.0,1.0,4.375400021672249,False,quest_kg_llm,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,0,1,1.0,1.0,2.2961001377552748,False,quest_kg_llm,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,1,1,1.0,1.0,3.626900026574731,False,quest_kg_llm,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,0,1,1.0,1.0,2.6680000592023134,False,quest_kg_llm,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,1,1,1.0,1.0,4.003599984571338,False,quest_kg_llm,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,0,1,1.0,1.0,1.6177999787032604,False,quest_kg_llm,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0125?",1,1,1,1.0,1.0,3.2925999257713556,False,quest_kg_llm,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,0,1,1.0,1.0,3.8868000265210867,False,quest_kg_llm,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,1,1,1.0,1.0,3.5580999683588743,False,quest_kg_llm,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,0,1,1.0,1.0,3.790500108152628,False,quest_kg_llm,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,1,1,1.0,1.0,3.5037000197917223,False,quest_kg_llm,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,0,1,1.0,1.0,2.4780998937785625,False,quest_kg_llm,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0016?",1,1,1,1.0,1.0,3.962799906730652,False,quest_kg_llm,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,0,1,1.0,1.0,3.544699866324663,False,quest_kg_llm,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0139?",1,1,1,1.0,1.0,4.31539979763329,False,quest_kg_llm,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,0,1,1.0,1.0,3.0473999213427305,False,quest_kg_llm,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0066?",1,1,1,1.0,1.0,3.78870009444654,False,quest_kg_llm,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,0,1,1.0,1.0,3.1924000941216946,False,quest_kg_llm,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0180?",1,1,1,1.0,1.0,4.077400080859661,False,quest_kg_llm,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,0,1,1.0,1.0,2.657900098711252,False,quest_kg_llm,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0077?",1,1,1,1.0,1.0,3.002899931743741,False,quest_kg_llm,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,0,1,1.0,1.0,3.8575001526623964,False,quest_kg_llm,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,1,1,1.0,1.0,3.3666000235825777,False,quest_kg_llm,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,0,1,1.0,1.0,2.39140004850924,False,quest_kg_llm,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0055?",1,1,1,1.0,1.0,4.003799986094236,False,quest_kg_llm,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,1,0,0.0,1.0,3.587199840694666,False,quest_kg_llm,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,1,1,1.0,1.0,3.583200043067336,False,quest_kg_llm,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,0,1,1.0,1.0,2.657799981534481,False,quest_kg_llm,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0077?",1,1,1,1.0,1.0,4.638700047507882,False,quest_kg_llm,0
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,0,1,1.0,1.0,2.4840000551193953,False,quest_kg_llm,0
oa_1277,"At time 58 in context ctx_02, can u_0243 access res_0077?",1,1,1,1.0,1.0,3.863199846819043,False,quest_kg_llm,0
oa_81,"At time 64 in context ctx_00, can u_0378 access res_0078?",0,0,1,1.0,1.0,2.6442999951541424,False,quest_kg_llm,0
oa_1342,"At time 55 in context ctx_07, can u_0176 access res_0061?",1,1,1,1.0,1.0,3.4979998599737883,False,quest_kg_llm,0
oa_82,"At time 86 in context ctx_06, can u_0011 access res_0149?",0,0,1,1.0,1.0,2.5677999947220087,False,quest_kg_llm,0
oa_1531,"At time 53 in context ctx_05, can u_0440 access res_0125?",1,1,1,1.0,1.0,3.060499904677272,False,quest_kg_llm,0
oa_101,"At time 176 in context ctx_00, can u_0397 access res_0044?",0,0,1,1.0,1.0,2.3050999734550714,False,quest_kg_llm,0
oa_1551,"At time 51 in context ctx_03, can u_0190 access res_0156?",1,1,1,1.0,1.0,2.962999977171421,False,quest_kg_llm,0
oa_108,"At time 183 in context ctx_07, can u_0276 access res_0120?",0,0,1,1.0,1.0,1.6991000156849623,False,quest_kg_llm,0
oa_1668,"At time 53 in context ctx_05, can u_0020 access res_0035?",1,1,1,1.0,1.0,2.502900082617998,False,quest_kg_llm,0
oa_115,"At time 94 in context ctx_06, can u_0007 access res_0152?",0,0,1,1.0,1.0,2.033800119534135,False,quest_kg_llm,0
oa_1677,"At time 50 in context ctx_02, can u_0046 access res_0140?",1,1,1,1.0,1.0,3.9107000920921564,False,quest_kg_llm,0
oa_117,"At time 144 in context ctx_00, can u_0307 access res_0102?",0,1,0,0.0,1.0,3.146299859508872,False,quest_kg_llm,0
oa_1762,"At time 54 in context ctx_06, can u_0225 access res_0061?",1,1,1,1.0,1.0,3.0321001540869474,False,quest_kg_llm,0
oa_120,"At time 171 in context ctx_03, can u_0063 access res_0130?",0,0,1,1.0,1.0,2.201199997216463,False,quest_kg_llm,0
oa_1983,"At time 61 in context ctx_05, can u_0277 access res_0125?",1,1,1,1.0,1.0,3.191799856722355,False,quest_kg_llm,0
oa_125,"At time 69 in context ctx_05, can u_0465 access res_0015?",0,1,0,0.0,1.0,2.552800113335252,False,quest_kg_llm,0
oa_1998,"At time 58 in context ctx_02, can u_0199 access res_0130?",1,1,1,1.0,1.0,2.0503001287579536,False,quest_kg_llm,0
oa_132,"At time 184 in context ctx_00, can u_0312 access res_0154?",0,0,1,1.0,1.0,2.679599914699793,False,quest_kg_llm,0
oa_2040,"At time 56 in context ctx_00, can u_0440 access res_0074?",1,1,1,1.0,1.0,3.6853000055998564,False,quest_kg_llm,0
oa_152,"At time 96 in context ctx_00, can u_0156 access res_0128?",0,0,1,1.0,1.0,3.4932999406009912,False,quest_kg_llm,0
oa_2101,"At time 62 in context ctx_06, can u_0139 access res_0061?",1,1,1,1.0,1.0,4.502000054344535,False,quest_kg_llm,0
oa_165,"At time 103 in context ctx_07, can u_0315 access res_0188?",0,0,1,1.0,1.0,3.40040004812181,False,quest_kg_llm,0
oa_2127,"At time 50 in context ctx_02, can u_0020 access res_0130?",1,1,1,1.0,1.0,6.159499986097217,False,quest_kg_llm,0
oa_167,"At time 68 in context ctx_04, can u_0073 access res_0039?",0,0,1,1.0,1.0,1.3689999468624592,False,quest_kg_llm,0
oa_2131,"At time 57 in context ctx_01, can u_0481 access res_0145?",1,1,1,1.0,1.0,6.294200196862221,False,quest_kg_llm,0
oa_168,"At time 78 in context ctx_06, can u_0051 access res_0112?",0,0,1,1.0,1.0,1.420200103893876,False,quest_kg_llm,0
oa_2133,"At time 56 in context ctx_00, can u_0225 access res_0139?",1,1,1,1.0,1.0,5.464799934998155,False,quest_kg_llm,0
oa_177,"At time 180 in context ctx_04, can u_0240 access res_0124?",0,1,0,0.0,1.0,5.3270000498741865,False,quest_kg_llm,0
oa_2250,"At time 55 in context ctx_07, can u_0321 access res_0141?",1,1,1,1.0,1.0,2.7032000944018364,False,quest_kg_llm,0
oa_178,"At time 65 in context ctx_01, can u_0104 access res_0071?",0,0,1,1.0,1.0,0.9916000999510288,False,quest_kg_llm,0
oa_2280,"At time 61 in context ctx_05, can u_0247 access res_0016?",1,1,1,1.0,1.0,4.43569989874959,False,quest_kg_llm,0
oa_186,"At time 157 in context ctx_05, can u_0441 access res_0085?",0,0,1,1.0,1.0,2.9079001396894455,False,quest_kg_llm,0
oa_2374,"At time 56 in context ctx_00, can u_0020 access res_0124?",1,1,1,1.0,1.0,2.7262999210506678,False,quest_kg_llm,0
oa_201,"At time 116 in context ctx_04, can u_0457 access res_0045?",0,0,1,1.0,1.0,1.4089997857809067,False,quest_kg_llm,0
oa_2411,"At time 53 in context ctx_05, can u_0471 access res_0125?",1,1,1,1.0,1.0,2.071400173008442,False,quest_kg_llm,0
oa_209,"At time 110 in context ctx_06, can u_0171 access res_0122?",0,0,1,1.0,1.0,1.6157999634742737,False,quest_kg_llm,0
oa_2522,"At time 59 in context ctx_03, can u_0096 access res_0056?",1,1,1,1.0,1.0,3.8701000157743692,False,quest_kg_llm,0
oa_218,"At time 153 in context ctx_01, can u_0386 access res_0023?",0,0,1,1.0,1.0,2.3046000860631466,False,quest_kg_llm,0
oa_2551,"At time 52 in context ctx_04, can u_0286 access res_0152?",1,1,1,1.0,1.0,2.138999989256263,False,quest_kg_llm,0
oa_226,"At time 65 in context ctx_01, can u_0171 access res_0040?",0,0,1,1.0,1.0,0.7229000329971313,False,quest_kg_llm,0
oa_2641,"At time 56 in context ctx_00, can u_0247 access res_0074?",1,1,1,1.0,1.0,2.1355999633669853,False,quest_kg_llm,0
oa_228,"At time 145 in context ctx_01, can u_0110 access res_0128?",0,0,1,1.0,1.0,1.6963998787105083,False,quest_kg_llm,0
oa_2770,"At time 54 in context ctx_06, can u_0247 access res_0061?",1,1,1,1.0,1.0,3.328199964016676,False,quest_kg_llm,0
oa_240,"At time 104 in context ctx_00, can u_0457 access res_0157?",0,0,1,1.0,1.0,1.6463999636471272,False,quest_kg_llm,0
oa_2900,"At time 57 in context ctx_01, can u_0139 access res_0145?",1,1,1,1.0,1.0,2.18990002758801,False,quest_kg_llm,0
oa_246,"At time 112 in context ctx_00, can u_0123 access res_0127?",0,0,1,1.0,1.0,1.30359991453588,False,quest_kg_llm,0
oa_2904,"At time 51 in context ctx_03, can u_0020 access res_0055?",1,1,1,1.0,1.0,2.709500025957823,False,quest_kg_llm,0
oa_251,"At time 71 in context ctx_07, can u_0470 access res_0008?",0,0,1,1.0,1.0,2.424499951303005,False,quest_kg_llm,0
oa_2927,"At time 58 in context ctx_02, can u_0127 access res_0141?",1,1,1,1.0,1.0,2.66069988720119,False,quest_kg_llm,0
oa_258,"At time 135 in context ctx_07, can u_0401 access res_0042?",0,0,1,1.0,1.0,1.1351997964084148,False,quest_kg_llm,0
oa_3155,"At time 56 in context ctx_00, can u_0041 access res_0130?",1,1,1,1.0,1.0,2.7734001632779837,False,quest_kg_llm,0
oa_265,"At time 187 in context ctx_03, can u_0245 access res_0030?",0,0,1,1.0,1.0,3.0213999561965466,False,quest_kg_llm,0
oa_3204,"At time 56 in context ctx_00, can u_0277 access res_0139?",1,1,1,1.0,1.0,3.6428000312298536,False,quest_kg_llm,0
oa_270,"At time 108 in context ctx_04, can u_0475 access res_0106?",0,0,1,1.0,1.0,2.8470000252127647,False,quest_kg_llm,0
oa_3245,"At time 55 in context ctx_07, can u_0199 access res_0141?",1,1,1,1.0,1.0,2.359299920499325,False,quest_kg_llm,0
oa_275,"At time 128 in context ctx_00, can u_0248 access res_0129?",0,0,1,1.0,1.0,1.4223998878151178,False,quest_kg_llm,0
oa_3317,"At time 57 in context ctx_01, can u_0225 access res_0145?",1,1,1,1.0,1.0,3.4633998293429613,False,quest_kg_llm,0
oa_288,"At time 64 in context ctx_00, can u_0092 access res_0194?",0,0,1,1.0,1.0,1.3747001066803932,False,quest_kg_llm,0
oa_3400,"At time 58 in context ctx_02, can u_0471 access res_0180?",1,1,1,1.0,1.0,2.3585997987538576,False,quest_kg_llm,0
oa_290,"At time 195 in context ctx_03, can u_0162 access res_0132?",0,0,1,1.0,1.0,2.1962998434901237,False,quest_kg_llm,0
oa_3420,"At time 62 in context ctx_06, can u_0481 access res_0048?",1,1,1,1.0,1.0,2.05660006031394,False,quest_kg_llm,0
oa_292,"At time 179 in context ctx_03, can u_0141 access res_0192?",0,0,1,1.0,1.0,0.7027999963611364,False,quest_kg_llm,0
