qid,gold_e2,pred_e2,em,x_rank,confidence
0,105751,184820,0,620,0.7724669575691223
1,73595,188450,0,32657,0.7684553861618042
2,115231,195266,0,4,0.7743791341781616
3,71672,178011,0,8153,0.7272055894136429
4,103216,119396,0,1593,0.8304849863052368
5,80867,178091,0,339,0.8068450093269348
6,95905,85634,0,10511,0.7481820434331894
7,128564,180044,0,255,0.7412866353988647
8,71913,198795,0,3664,0.7466991692781448
9,126532,180662,0,20,0.7882169485092163
10,99499,170359,0,2,0.7775412201881409
11,124222,184881,0,47,0.7677852213382721
12,70189,191932,0,10963,0.7400890290737152
13,109707,83614,0,1141,0.787341296672821
14,119525,119525,1,1,0.8175786137580872
15,127995,177839,0,554,0.7582437694072723
16,120562,185047,0,3009,0.7374083697795868
17,70566,189420,0,47,0.7756499946117401
18,96208,185272,0,33,0.8492525219917297
19,74434,177704,0,118,0.7522173225879669
20,126311,194347,0,3335,0.7794731855392456
21,75131,198760,0,1689,0.8355786800384521
22,113973,73685,0,30224,0.7473405599594116
23,101445,122285,0,13816,0.7473273724317551
24,83398,116903,0,370,0.7424767911434174
25,125163,94105,0,14,0.7300741821527481
26,78790,173342,0,3,0.8962664008140564
27,128116,180935,0,5247,0.7279335707426071
28,99182,179349,0,2,0.7305297404527664
29,112890,190459,0,13101,0.7277358025312424
30,105266,131216,0,80133,0.7297480702400208
31,79330,189803,0,106,0.7620444893836975
32,128212,172723,0,3,0.7958420217037201
33,79864,127934,0,24,0.7856592535972595
34,119299,119299,1,1,0.8131376206874847
35,116320,119862,0,6568,0.7825748324394226
36,139090,90618,0,16041,0.7744180858135223
37,98903,78223,0,17401,0.7177555561065674
38,70020,119557,0,6040,0.7493918389081955
39,116305,91406,0,134,0.7586446404457092
40,119379,193843,0,17560,0.7224168181419373
41,108798,177819,0,17,0.7739877998828888
42,80079,186019,0,357,0.8570901453495026
43,127246,127246,1,1,0.8467758893966675
44,100575,193614,0,305,0.863773912191391
45,114687,173316,0,2,0.8271621465682983
46,110906,186769,0,75,0.8150293231010437
47,95592,172477,0,11,0.7499009966850281
48,134205,193236,0,46,0.7355206459760666
49,92182,196928,0,3,0.855047881603241
50,127296,127296,1,1,0.8046386539936066
51,107045,193305,0,2259,0.7919207215309143
52,120805,111783,0,108,0.8738328814506531
53,116935,119396,0,7533,0.8343887627124786
54,128439,75359,0,9153,0.757794201374054
55,132220,127770,0,17,0.8250680267810822
56,104756,179471,0,30609,0.7357586622238159
57,85500,99041,0,8,0.7290968149900436
58,79376,132100,0,141,0.7988132834434509
59,78261,108087,0,2,0.8198696970939636
60,105482,171685,0,32861,0.7147404253482819
61,123618,177400,0,113,0.8001939356327057
62,110940,99825,0,133,0.7153598964214325
63,124450,172236,0,21220,0.7544580698013306
64,138861,103734,0,3204,0.7434358894824982
65,119909,122482,0,2997,0.7809559106826782
66,136918,173971,0,24680,0.7158491760492325
67,103124,193199,0,19244,0.7186458557844162
68,98681,133774,0,2354,0.8230867385864258
69,110779,86596,0,271,0.7975192368030548
70,88781,172379,0,73682,0.7286941856145859
71,122221,196286,0,14506,0.762444019317627
72,138031,79565,0,221,0.7104562073945999
73,133840,190453,0,3,0.846082329750061
74,99884,193843,0,13,0.7352500259876251
75,117215,122652,0,441,0.7132576704025269
76,97839,75597,0,5,0.7868325412273407
77,106454,129051,0,139,0.8036162257194519
78,94990,199561,0,3,0.7302918434143066
79,102570,194839,0,74,0.7819912135601044
80,90910,185268,0,4195,0.7728025615215302
81,86036,119758,0,4658,0.740602657198906
82,78868,127965,0,7696,0.735085517168045
83,128403,199374,0,6149,0.7792543768882751
84,88616,184638,0,108,0.8029372096061707
85,139763,139763,1,1,0.7671858072280884
86,126614,183669,0,57,0.7635425925254822
87,134910,82565,0,3301,0.7588209509849548
88,114102,135379,0,251,0.7330577820539474
89,93874,194946,0,2321,0.8255033493041992
90,70571,128451,0,37,0.7638672292232513
91,136895,171058,0,164,0.7815366387367249
92,72804,176573,0,29,0.8059231340885162
