qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
icews18_0,"(head=459, rel=1, ?, ts=6480)",471,4100,0,0.0,0.3279655524368944,2410.641600145027,False,graphrag,0
icews18_1,"(head=5205, rel=90, ?, ts=6480)",464,905,0,0.0,0.4006457013242385,2404.9984000157565,False,graphrag,0
icews18_2,"(head=463, rel=69, ?, ts=6480)",458,38,0,0.0,0.34352558851242065,2324.61589993909,False,graphrag,0
icews18_3,"(head=3093, rel=63, ?, ts=6480)",57,292,0,0.0,0.2868621397231306,2241.7164999060333,False,graphrag,0
icews18_4,"(head=17519, rel=151, ?, ts=6480)",3881,122,0,0.0,0.36618294387028133,2198.827699990943,False,graphrag,0
icews18_5,"(head=4935, rel=0, ?, ts=6480)",7803,4100,0,0.0,0.338116388629984,2501.391999889165,False,graphrag,0
icews18_6,"(head=2820, rel=4, ?, ts=6480)",458,2821,0,0.0,0.32475501000881196,2439.1635998617858,False,graphrag,0
icews18_7,"(head=64, rel=1, ?, ts=6480)",458,70,0,0.0,0.39113260263746435,2361.928700003773,False,graphrag,0
icews18_8,"(head=42, rel=20, ?, ts=6480)",4145,70,0,0.0,0.3962052025293049,2374.26650011912,False,graphrag,0
icews18_9,"(head=42, rel=20, ?, ts=6480)",19,70,0,0.0,0.3962052025293049,2335.5946999508888,False,graphrag,0
icews18_10,"(head=42, rel=20, ?, ts=6480)",1449,70,0,0.0,0.3962052025293049,2404.772700043395,False,graphrag,0
icews18_11,"(head=445, rel=34, ?, ts=6480)",477,394,0,0.0,0.3200186614332528,2337.7145000267774,False,graphrag,0
icews18_12,"(head=1323, rel=0, ?, ts=6480)",344,220,0,0.0,0.349142097764545,2285.8186999801546,False,graphrag,0
icews18_13,"(head=100, rel=28, ?, ts=6480)",390,38,0,0.0,0.3747603115108278,2176.439000060782,False,graphrag,0
icews18_14,"(head=455, rel=0, ?, ts=6480)",765,400,0,0.0,0.38396671613057454,2103.24570001103,False,graphrag,0
icews18_15,"(head=44, rel=20, ?, ts=6480)",4145,400,0,0.0,0.3906892552262261,2265.7232999335974,False,graphrag,0
icews18_16,"(head=44, rel=20, ?, ts=6480)",19,400,0,0.0,0.3906892552262261,2540.4757999349385,False,graphrag,0
icews18_17,"(head=44, rel=20, ?, ts=6480)",1449,400,0,0.0,0.3906892552262261,2424.9817999079823,False,graphrag,0
icews18_18,"(head=9731, rel=0, ?, ts=6480)",445,704,0,0.0,0.34951793526609737,2431.2136000953615,False,graphrag,0
icews18_19,"(head=298, rel=6, ?, ts=6480)",397,401,0,0.0,0.3879811573028564,2415.7749000005424,False,graphrag,5
icews18_20,"(head=19, rel=20, ?, ts=6480)",161,38,0,0.0,0.38324721796172007,2277.1030000876635,False,graphrag,0
icews18_21,"(head=19, rel=2, ?, ts=6480)",42,1020,0,0.0,0.3320826731230083,2283.336300170049,False,graphrag,0
icews18_22,"(head=42, rel=20, ?, ts=6480)",41,70,0,0.0,0.3962052025293049,2251.4556001406163,False,graphrag,0
icews18_23,"(head=19, rel=34, ?, ts=6480)",122,144,0,0.0,0.3219887036830187,2197.94650003314,False,graphrag,8
icews18_24,"(head=19, rel=5, ?, ts=6480)",42,1020,0,0.0,0.3258005208090732,2209.0861001051962,False,graphrag,0
icews18_25,"(head=19, rel=43, ?, ts=6480)",20,122,0,0.0,0.2875215339919795,2268.952999962494,False,graphrag,0
icews18_26,"(head=2274, rel=1, ?, ts=6480)",44,1365,0,0.0,0.37081489196190465,2243.80540009588,False,graphrag,0
icews18_27,"(head=21995, rel=31, ?, ts=6480)",9096,115,0,0.0,0.35176730901002884,2463.349200086668,False,graphrag,0
icews18_28,"(head=9096, rel=32, ?, ts=6480)",21995,2112,0,0.0,0.37429421698605575,2479.527600109577,False,graphrag,0
icews18_29,"(head=8044, rel=0, ?, ts=6480)",1125,80,0,0.0,0.40218647637150506,2291.7289999313653,False,graphrag,0
icews18_30,"(head=2618, rel=1, ?, ts=6480)",451,3802,0,0.0,0.39130860456713923,2335.0167002063245,False,graphrag,0
icews18_31,"(head=2618, rel=15, ?, ts=6480)",451,3802,0,0.0,0.37816305818228885,2322.68669991754,False,graphrag,0
icews18_32,"(head=970, rel=1, ?, ts=6480)",451,705,0,0.0,0.36837373215418595,2273.3008000068367,False,graphrag,0
icews18_33,"(head=3454, rel=5, ?, ts=6480)",11779,344,0,0.0,0.36217489732163294,2224.9109998811036,False,graphrag,0
icews18_34,"(head=4115, rel=29, ?, ts=6480)",2211,4102,0,0.0,0.3491468906402588,2269.562799949199,False,graphrag,0
icews18_35,"(head=3454, rel=2, ?, ts=6480)",2211,3453,0,0.0,0.3708246479863706,2180.651099886745,False,graphrag,0
icews18_36,"(head=50, rel=51, ?, ts=6480)",80,50,0,0.0,0.4319766678593375,2508.428400149569,False,graphrag,4
icews18_37,"(head=50, rel=52, ?, ts=6480)",80,"50, 52, 80",0,0.5,0.4421932228973934,2422.21840005368,False,graphrag,2
icews18_38,"(head=4447, rel=0, ?, ts=6480)",80,"4449 To determine the answer, I'll follow these steps:",0,0.0,0.3237572754251546,2378.1005998607725,False,graphrag,0
icews18_39,"(head=80, rel=6, ?, ts=6480)",50,3600,0,0.0,0.42196444202871886,2348.1930000707507,False,graphrag,0
icews18_40,"(head=312, rel=20, ?, ts=6480)",80,25,0,0.0,0.379134908914566,2295.9646999370307,False,graphrag,0
icews18_41,"(head=5248, rel=40, ?, ts=6480)",163,48,0,0.0,0.36507088056317083,2343.7219001352787,False,graphrag,0
icews18_42,"(head=19, rel=5, ?, ts=6480)",396,1020,0,0.0,0.3258005208090732,2346.796600148082,False,graphrag,0
icews18_43,"(head=19, rel=20, ?, ts=6480)",42,38,0,0.0,0.38324721796172007,2248.492799932137,False,graphrag,0
icews18_44,"(head=19, rel=5, ?, ts=6480)",391,1020,0,0.0,0.3258005208090732,2224.030700046569,False,graphrag,0
icews18_45,"(head=306, rel=32, ?, ts=6480)",21996,512,0,0.0,0.44367306326564987,2277.318200096488,False,graphrag,0
icews18_46,"(head=21996, rel=31, ?, ts=6480)",306,115,0,0.0,0.35770228916201097,2359.7520999610424,False,graphrag,0
icews18_47,"(head=972, rel=62, ?, ts=6480)",306,70,0,0.0,0.37297101815541583,2324.779399903491,False,graphrag,0
icews18_48,"(head=6, rel=47, ?, ts=6480)",2361,122,0,0.0,0.3254207283258438,2373.5818997956812,False,graphrag,0
icews18_49,"(head=2361, rel=47, ?, ts=6480)",6,"386 To answer this question, I'll follow these steps:",0,0.0,0.3217326012941507,2446.20280014351,False,graphrag,0
