qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0016?",1,No,0,0.0,0.5131720900535583,3264.1263001132756,False,graphrag,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,No,1,1.0,0.4929023031145334,3118.7038000207394,False,graphrag,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,No,0,0.0,0.4658881983031397,3018.9698000904173,False,graphrag,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,no,1,1.0,0.533162098377943,2991.294200066477,False,graphrag,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,No,0,0.0,0.4414357568906701,3184.0242000762373,False,graphrag,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,no,1,1.0,0.5145449105061983,3186.463400023058,False,graphrag,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0125?",1,No,0,0.0,0.4564848974827797,3347.5530000869185,False,graphrag,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,No,1,1.0,0.47665747893708094,3351.6321999486536,False,graphrag,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,No,0,0.0,0.446975545159408,3204.2570000048727,False,graphrag,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,No,1,1.0,0.502180905903087,3164.4393000751734,False,graphrag,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,No,0,0.0,0.41030915329853695,3209.6190000884235,False,graphrag,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,No,1,1.0,0.47964573016873113,3133.3224999252707,False,graphrag,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0016?",1,no,0,0.0,0.4599253982305527,3026.647499995306,False,graphrag,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,no,1,1.0,0.4767448902130127,3314.7535000462085,False,graphrag,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0139?",1,No,0,0.0,0.48364636798699695,3215.561999939382,False,graphrag,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,No,1,1.0,0.4518691552312751,3214.109799824655,False,graphrag,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0066?",1,No,0,0.0,0.4130226229799205,3239.6295000799,False,graphrag,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,no,1,1.0,0.5389612066118341,3190.714699914679,False,graphrag,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0180?",1,yes,1,1.0,0.47919225500475976,3240.0044999085367,False,graphrag,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,No,1,1.0,0.5632828831672668,3083.4597998764366,False,graphrag,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0077?",1,No,0,0.0,0.4841505317460923,2987.766799982637,False,graphrag,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,no,1,1.0,0.48584654099411434,3027.240199968219,False,graphrag,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,No,0,0.0,0.4615442121730131,3421.2682000361383,False,graphrag,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,No,1,1.0,0.4656130204598109,3545.6193001009524,False,graphrag,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0055?",1,No,0,0.0,0.4552952665835619,3818.429999984801,False,graphrag,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,no,1,1.0,0.5163083896040916,3186.9538000319153,False,graphrag,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,no,0,0.0,0.4808927844552433,3182.768300175667,False,graphrag,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,No,1,1.0,0.5084469538667927,3141.6235000360757,False,graphrag,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0077?",1,No,0,0.0,0.45555259172733015,3133.0015999265015,False,graphrag,0
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,No,1,1.0,0.44716954852143925,3224.304499803111,False,graphrag,0
oa_1277,"At time 58 in context ctx_02, can u_0243 access res_0077?",1,No,0,0.0,0.47467222525959923,3495.4355000518262,False,graphrag,0
oa_81,"At time 64 in context ctx_00, can u_0378 access res_0078?",0,no,1,1.0,0.4811352476477623,3235.2370000444353,False,graphrag,0
oa_1342,"At time 55 in context ctx_07, can u_0176 access res_0061?",1,No,0,0.0,0.44789995572396685,3247.808299958706,False,graphrag,0
oa_82,"At time 86 in context ctx_06, can u_0011 access res_0149?",0,No,1,1.0,0.5525161567188445,3216.7892998550087,False,graphrag,0
oa_1531,"At time 53 in context ctx_05, can u_0440 access res_0125?",1,No,0,0.0,0.4657569501710975,3254.957100143656,False,graphrag,0
oa_101,"At time 176 in context ctx_00, can u_0397 access res_0044?",0,No,1,1.0,0.47633858025074005,3095.340400002897,False,graphrag,0
oa_1551,"At time 51 in context ctx_03, can u_0190 access res_0156?",1,No,0,0.0,0.47557360318399244,3112.5457000453025,False,graphrag,0
oa_108,"At time 183 in context ctx_07, can u_0276 access res_0120?",0,No,1,1.0,0.5376367289572954,3043.5304001439363,False,graphrag,0
oa_1668,"At time 53 in context ctx_05, can u_0020 access res_0035?",1,No,0,0.0,0.4594274049713498,3271.425399929285,False,graphrag,0
oa_115,"At time 94 in context ctx_06, can u_0007 access res_0152?",0,yes,0,0.0,0.533110565998975,3501.678799977526,False,graphrag,0
oa_1677,"At time 50 in context ctx_02, can u_0046 access res_0140?",1,No,0,0.0,0.4153182130792867,3392.216600012034,False,graphrag,0
oa_117,"At time 144 in context ctx_00, can u_0307 access res_0102?",0,No,1,1.0,0.3996337183884212,3465.394899947569,False,graphrag,0
oa_1762,"At time 54 in context ctx_06, can u_0225 access res_0061?",1,no,0,0.0,0.5034842421026791,3151.104100048542,False,graphrag,0
