qid,gold_e2,pred_e2,em,x_rank,confidence
0,105751,74350,0,1308,0.9459062814712524
1,73595,103758,0,32661,0.9259377121925354
2,115231,115231,1,1,0.9509178400039673
3,71672,100619,0,8268,0.931942880153656
4,103216,120808,0,1604,0.9553332924842834
5,80867,193295,0,3,0.9221543669700623
6,95905,71019,0,11110,0.9161352515220642
7,128564,136029,0,21,0.9327403903007507
8,71913,107684,0,582,0.9321134686470032
9,126532,109544,0,22,0.9238465428352356
10,99499,81985,0,3,0.9235188364982605
11,124222,107924,0,5,0.9491156339645386
12,70189,119638,0,11133,0.917634129524231
13,109707,79854,0,24,0.9417851567268372
14,119525,180727,0,3,0.9369686841964722
15,127995,109544,0,51,0.9344719648361206
16,120562,85209,0,3305,0.925062894821167
17,70566,78634,0,32,0.9439204931259155
18,96208,134841,0,10,0.951129138469696
19,74434,108002,0,9,0.9219026565551758
20,126311,130803,0,3415,0.9443115592002869
21,75131,80637,0,1760,0.9394292235374451
22,113973,74350,0,19,0.9390940070152283
23,101445,111831,0,957,0.9214489459991455
24,83398,72348,0,28,0.9307426810264587
25,125163,113753,0,6,0.9120001792907715
26,78790,192660,0,7,0.9279623031616211
27,128116,113643,0,6,0.9049217104911804
28,99182,89904,0,5,0.9384686946868896
29,112890,94258,0,8659,0.9339748024940491
30,105266,77186,0,80237,0.9252668023109436
31,79330,115503,0,19,0.9395709037780762
32,128212,130803,0,12,0.9389506578445435
33,79864,122189,0,23,0.9442281723022461
34,119299,172794,0,4,0.915441632270813
35,116320,125504,0,6741,0.9377953410148621
36,139090,134411,0,16089,0.9345646500587463
37,98903,97322,0,17770,0.9245009422302246
38,70020,99028,0,15,0.9093900918960571
39,116305,131764,0,189,0.9485174417495728
40,119379,111831,0,17791,0.9160889387130737
41,108798,108798,1,1,0.9463722705841064
42,80079,89670,0,464,0.9477794766426086
43,127246,176849,0,94,0.9478524923324585
44,100575,74350,0,89,0.9460785388946533
45,114687,107684,0,6,0.9354821443557739
46,110906,184916,0,5,0.9441297054290771
47,95592,109544,0,23,0.9359469413757324
48,134205,174830,0,20,0.9468568563461304
49,92182,134411,0,3,0.9294455051422119
50,127296,129365,0,2,0.9376319646835327
51,107045,139262,0,10,0.9530752301216125
52,120805,75739,0,287,0.9712017178535461
53,116935,98868,0,16,0.9570434093475342
54,128439,74350,0,9971,0.9369150400161743
55,132220,192091,0,17,0.9483157992362976
56,104756,89589,0,30791,0.9347322583198547
57,85500,176445,0,8,0.9245070219039917
58,79376,107538,0,29,0.9435073733329773
59,78261,98385,0,5,0.9405304789543152
60,105482,129346,0,32881,0.9072462916374207
61,123618,176445,0,32,0.9428014755249023
62,110940,99947,0,16,0.9225396513938904
63,124450,87746,0,21241,0.9259533286094666
64,138861,107538,0,478,0.930554986000061
65,119909,93622,0,654,0.9318689703941345
66,136918,111831,0,24906,0.9203081727027893
67,103124,175816,0,19892,0.9262712597846985
68,98681,84554,0,2451,0.93671715259552
69,110779,193770,0,387,0.9462119936943054
70,88781,172379,0,73682,0.1457388550043106
71,122221,124956,0,60,0.927700400352478
72,138031,113257,0,591,0.9276307821273804
73,133840,191089,0,3,0.9357640147209167
74,99884,175816,0,20,0.9443510174751282
75,117215,198663,0,122,0.9334490895271301
76,97839,130225,0,16,0.9501146674156189
77,106454,124966,0,3,0.9384089112281799
78,94990,196554,0,3,0.9353428483009338
79,102570,115812,0,133,0.9473434686660767
80,90910,75995,0,4,0.917704701423645
81,86036,121246,0,5615,0.9204148650169373
82,78868,121122,0,28,0.912333071231842
83,128403,125504,0,6362,0.9267424941062927
84,88616,130803,0,404,0.9407396912574768
85,139763,183827,0,4,0.9243998527526855
86,126614,124596,0,190,0.9459336400032043
87,134910,196087,0,3717,0.9245908856391907
88,114102,112259,0,6,0.918698787689209
89,93874,93177,0,91,0.9326839447021484
90,70571,173149,0,67,0.9361706972122192
91,136895,125701,0,417,0.9416874051094055
92,72804,199601,0,3,0.9192946553230286
93,117900,89589,0,13406,0.938145101070404
94,121748,191300,0,25,0.9427382349967957
95,86659,94008,0,8,0.9179319143295288
96,75255,98789,0,66698,0.9321098327636719
97,76050,76050,1,1,0.9564310312271118
98,83221,74350,0,54517,0.9319719076156616
99,105269,135020,0,5,0.9247660040855408
100,85622,129762,0,10,0.9499819874763489
101,108262,97140,0,9,0.933445155620575
102,133149,79854,0,244,0.9369662404060364
103,113885,84777,0,647,0.9311953186988831
104,99821,130803,0,20,0.9447904825210571
105,71140,71140,1,1,0.9745241403579712
106,136471,126291,0,4,0.9358495473861694
107,126029,111831,0,348,0.9217798709869385
108,96941,115503,0,24,0.9340794086456299
109,95273,191089,0,4,0.9413242936134338
110,108286,77702,0,151,0.9427538514137268
111,114092,82884,0,23644,0.9337265491485596
112,131735,112435,0,9,0.9460235834121704
113,131856,115503,0,176,0.9492510557174683
114,86081,118188,0,2,0.930310845375061
115,73297,108850,0,5,0.9163458943367004
116,111802,104729,0,12,0.9114543795585632
117,96860,74350,0,2194,0.9326295852661133
118,113658,99947,0,1259,0.9305056929588318
119,129588,110529,0,3,0.94645094871521
120,114969,129775,0,3,0.9365593194961548
121,131034,108541,0,1338,0.9552806615829468
122,127010,116424,0,3,0.9416339993476868
123,124709,183548,0,7823,0.941434383392334
124,70342,121963,0,68,0.923499345779419
125,81879,89819,0,4,0.9616503119468689
126,89142,74350,0,18,0.9512873291969299
127,129440,83719,0,60502,0.93412846326828
128,129591,182224,0,5,0.9319837093353271
129,105412,81985,0,8,0.9241105914115906
130,71781,119456,0,2647,0.9290409684181213
131,125038,177812,0,3,0.9150084853172302
132,83883,199437,0,2,0.9278621673583984
133,74227,95855,0,4,0.9505079984664917
134,91832,138191,0,26701,0.933015763759613
135,79518,173149,0,83,0.9364396929740906
136,132419,126103,0,6711,0.9325755834579468
137,124896,74350,0,45,0.9407764673233032
138,103211,78708,0,1041,0.9300358891487122
139,127919,187849,0,11,0.920278012752533
140,121060,99947,0,304,0.9164687991142273
141,100582,195679,0,5,0.9608981013298035
142,78847,129048,0,14,0.9146142601966858
143,89387,119456,0,4,0.9433350563049316
144,76615,101765,0,3,0.9603551626205444
145,78428,107230,0,39,0.9313193559646606
146,78135,73143,0,68216,0.9157214164733887
147,121765,133369,0,210,0.9428065419197083
148,137917,75129,0,4,0.9463040828704834
149,86736,120272,0,600,0.9458326697349548
150,135877,108335,0,13,0.9363381862640381
151,116480,175062,0,113,0.946110725402832
152,88479,115503,0,13773,0.9337968230247498
153,94405,110851,0,19,0.9340370297431946
154,83013,97225,0,59,0.927340030670166
155,109600,107538,0,7098,0.9350597858428955
156,135627,121246,0,7955,0.9223361015319824
157,123915,109275,0,2,0.9452179670333862
158,125588,183548,0,9,0.936284601688385
159,120346,89589,0,17,0.9367218017578125
160,99673,175816,0,38,0.9330902695655823
161,131518,129762,0,8,0.9478656053543091
162,131778,118934,0,40945,0.9128229022026062
163,134199,173149,0,351,0.9357435703277588
