qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Usain Bolt,0,0.0,0.25,214.80760001577437,False,quest_kg,0
WebQTest-1,what did james k polk do before he was president,United States Representative,United States of America,0,0.6,0.6253891559085508,78.27519997954369,False,quest_kg,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Coronation Street - Season 26,0,0.0,0.25,95.22109990939498,False,quest_kg,0
WebQTest-6,where is jamarcus russell from,Mobile,American football player,0,0.0,0.25,81.29999996162951,False,quest_kg,0
WebQTest-7,where was george washington carver from,Diamond,African American,0,0.0,0.25,78.19399982690811,False,quest_kg,0
WebQTest-8,what else did ben franklin invent,Lightning rod,Inventor,0,0.0,0.25,92.50849997624755,False,quest_kg,0
WebQTest-9,who was richard nixon married to,Pat Nixon,The Real Nixon: An Intimate Biography,0,0.25,0.6243638764593631,95.70579999126494,False,quest_kg,0
WebQTest-12,who is governor of ohio 2011,John Kasich,"United States presidential election in Ohio, 2012",0,0.0,0.5,89.35209992341697,False,quest_kg,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Lyndon B. Johnson,1,1.0,0.8284269303399727,101.80629999376833,False,quest_kg,1
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Fukushima I – 6,0,0.0,0.25,83.95020011812449,False,quest_kg,0
WebQTest-16,what countries are part of the uk,Wales,Europe,0,0.0,0.831969865403606,106.12040013074875,False,quest_kg,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,0.4154113997124827,76.45379984751344,False,quest_kg,1
WebQTest-20,what did st augustine do,Writer,Introduction to the philosophy of Saint Augustine,0,0.0,0.25,74.06730018556118,False,quest_kg,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Leon Cole,1,1.0,0.25,60.76529994606972,False,quest_kg,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,Government of Egypt,0,0.4,0.624478722626704,60.472500044852495,False,quest_kg,2
WebQTest-23,what town was martin luther king assassinated in,Memphis,Assassination,0,0.0,0.25,56.26869993284345,False,quest_kg,0
WebQTest-24,where did edgar allan poe died,Baltimore,Baltimore,1,1.0,0.31253888688029496,51.24949989840388,False,quest_kg,1
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,Ansley Park,0,0.4,0.3120395763497386,47.06759983673692,False,quest_kg,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"Queensland state election, 2009",0,0.0,0.25,41.430499870330095,False,quest_kg,0
WebQTest-31,where did andy murray started playing tennis,2005,Andy Murray,0,0.0,0.5,55.38409994915128,False,quest_kg,0
WebQTest-32,what is the australian dollar called,AUD,Australia,0,0.0,0.5,54.42699999548495,False,quest_kg,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Central European Time Zone,1,1.0,0.312148745573359,73.15050018951297,False,quest_kg,1
WebQTest-34,who did cam newton sign with,Carolina Panthers,"Cecil Newton, Sr.",0,0.0,0.25,60.45849993824959,False,quest_kg,0
WebQTest-35,what county is frederick md in,Frederick County,Frederick County,1,1.0,0.7337691309204561,45.849999878555536,False,quest_kg,1
WebQTest-36,what highschool did harper lee go to,Monroe County High School,m.0lwxmyl,0,0.0,0.25,54.36880001798272,False,quest_kg,0
WebQTest-37,what timezone is utah in,Mountain Time Zone,Mountain Time Zone,1,1.0,0.4156384307572233,67.92609998956323,False,quest_kg,1
WebQTest-38,who did george w. bush run against for the second term,John Kerry,"United States presidential election, 2000",0,0.0,0.25,73.2170999981463,False,quest_kg,0
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,Niall Ferguson,0,0.0,0.5,72.42390001192689,False,quest_kg,0
WebQTest-41,where is the galapagos islands located on a world map,Ecuador,g.12377byy,0,0.0,0.25,62.34559998847544,False,quest_kg,0
WebQTest-42,what are the songs that justin bieber wrote,Somebody to Love,All Around The World,1,1.0,0.25,79.05380008742213,False,quest_kg,0
WebQTest-43,what did george clemenceau do,Physician,Benjamin Clemenceau,0,0.0,0.5,65.31660002656281,False,quest_kg,0
WebQTest-44,what is the state flower of arizona,Saguaro,Phoenix,0,0.0,0.8295073787999584,86.67140011675656,False,quest_kg,0
WebQTest-45,where was rihanna born and raised,Saint Michael Parish,Saint Michael Parish,1,1.0,0.6675850867972828,78.94379994831979,False,quest_kg,1
WebQTest-46,what year did president william henry harrison take office,1841-03-04,John Tyler,0,0.0,0.8343963896242181,49.38559979200363,False,quest_kg,0
WebQTest-47,where george lopez was born,Mission Hills,United States of America,0,0.0,0.3126036849083575,45.16840004362166,False,quest_kg,4
WebQTest-48,where are samsung based,Suwon,Lee Byung-chul,0,0.0,0.41424226524415364,39.30990002118051,False,quest_kg,0
WebQTest-49,what did the islamic people believe in,Ṭūbā,Zainab al-Sughra ibn Ali,0,0.0,0.25,40.57870013639331,False,quest_kg,0
WebQTest-51,who will play mr gray in the film,Jamie Dornan,Fifty Shades of Grey,0,0.0,0.6235954875884056,35.592000000178814,False,quest_kg,0
WebQTest-52,what did george orwell died of,Tuberculosis,London,0,0.0,0.25,46.63400002755225,False,quest_kg,2
WebQTest-54,what country did adolf hitler control,Nazi Germany,"Hitler left the army in 1920, and became party propagandist, editing the party newspaper the 'Volkischer Beobachter' ('People's Observer'), arranging frequent meetings, changing the name of the party to the National-sozialistische Deutsche Arbeiterpartei (the National Socialist German Workers' Party, NSDAP or Nazi Party), imposing himself as its Chairman by July 1921, and giving the new Party its symbol - the swastika - and its greeting, 'Heil!'.",0,0.029411764705882356,0.621172529788618,43.808799935504794,False,quest_kg,0
WebQTest-55,who is michael buble,Actor,Canada,0,0.0,0.25,47.23919997923076,False,quest_kg,0
WebQTest-56,what county is kansas city kansas,Wyandotte County,Wyandotte County,1,1.0,0.7241292932504985,42.648700065910816,False,quest_kg,1
WebQTest-58,who did jackie robinson first play for,UCLA Bruins football,Baseball player,0,0.0,0.5,44.78870006278157,False,quest_kg,0
WebQTest-59,when did annie open,1976-08-10,Annie: A New Musical,0,0.0,0.6366733465718238,59.00090001523495,False,quest_kg,0
WebQTest-60,where did eleanor roosevelt die,Manhattan,Manhattan,1,1.0,0.25,66.37999997474253,False,quest_kg,1
WebQTest-61,what are the religions practiced in indonesia,Catholicism,m.064szjw,0,0.0,0.25,67.67480005510151,False,quest_kg,0
WebQTest-62,what was jesse james killed with,Firearm,Assassination,0,0.0,0.5,67.2186000738293,False,quest_kg,2
WebQTest-63,who was vp for lincoln,Hannibal Hamlin,Andrew Johnson,1,1.0,0.8297907369406455,69.51990001834929,False,quest_kg,0
WebQTest-64,what other books did charles dickens write,A Christmas Carol (Chrysalis Children's Classics Series),henry james reviewed work of charles dickens,0,0.4137931034482759,0.25,76.8201001919806,False,quest_kg,0
WebQTest-65,who was the first dictator of the soviet union,Vladimir Lenin,Soviet democracy,0,0.0,0.8288456014384215,70.0838000047952,False,quest_kg,0
WebQTest-66,what is the currency of puerto rico called,United States Dollar,United States Dollar,1,1.0,0.5,73.83710006251931,False,quest_kg,1
WebQTest-67,what kind of cancer did carl wilson have,Lung cancer,Lung cancer,1,1.0,0.25,61.24219996854663,False,quest_kg,1
WebQTest-68,who plays the voice of kitt in knight rider,William Daniels,KITT,0,0.0,0.6240397927304454,54.938900051638484,False,quest_kg,0
WebQTest-69,what county is brentwood tennessee in,Williamson County,Tennessee,0,0.0,0.43361050630696263,61.136400094255805,False,quest_kg,2
WebQTest-71,who did michael j fox marry,Tracy Pollan,Tracy Pollan and her husband Michael J. Fox,0,0.4,0.5,64.26090002059937,False,quest_kg,0
WebQTest-72,what battles did stonewall jackson fight in,Manassas Station Operations,Battle of Antietam,0,0.6666666666666666,0.6248841664895733,46.12939991056919,False,quest_kg,0
WebQTest-73,what language do the maasai tribe speak,Maasai Language,Maasai Language,1,1.0,0.25,37.479399936273694,False,quest_kg,1
WebQTest-74,who did benjamin franklin get married to,Deborah Read,"In London, Franklin and his son William lodged for 15 years with Margaret Stevenson, whose daughter Mary married the anatomist and physiologist Hewson.",0,0.0,0.8281677494744911,41.11759993247688,False,quest_kg,0
WebQTest-75,what disease did patrick swayze died from,Pancreatic cancer,Pancreatic cancer,1,1.0,0.5,50.661500077694654,False,quest_kg,1
