qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Jamaican Creole English Language,1,1.0,1.0,1033.7155999150127,False,quest_kg_llm,2
WebQTest-1,what did james k polk do before he was president,United States Representative,Polk added extensive and valuable territory to the United States and restored the independence of the Treasury.,0,0.4511278195488722,1.0,1025.4224999807775,False,quest_kg_llm,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,"Wed 2 Dec, 1987",0,0.0,1.0,776.6799998935312,False,quest_kg_llm,0
WebQTest-6,where is jamarcus russell from,Mobile,JaMarcus Russell at Falcons at Raiders 11-2-08,0,0.0,1.0,796.341500012204,False,quest_kg_llm,0
WebQTest-7,where was george washington carver from,Diamond,Carver Center for Arts and Technology,0,0.0,1.0,747.5336000788957,False,quest_kg_llm,49
WebQTest-8,what else did ben franklin invent,Lightning rod,"In 1752, Franklin flew a kite in a thunderstorm and was able to charge up a Leyden jar from sparks produced from the end of the wet hemp string, which he held with a piece of insulating silk.",0,0.05,1.0,1198.7749999389052,False,quest_kg_llm,23
WebQTest-9,who was richard nixon married to,Pat Nixon,"Nixon retired to his home in California, where he wrote several books on international affairs.",0,0.11764705882352941,1.0,937.7762000076473,False,quest_kg_llm,0
WebQTest-12,who is governor of ohio 2011,John Kasich,Missouri,0,0.0,1.0,822.1621001139283,False,quest_kg_llm,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Parents,0,0.0,1.0,814.0074000693858,False,quest_kg_llm,0
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Pacific War,0,0.0,1.0,921.1720998864621,False,quest_kg_llm,0
WebQTest-16,what countries are part of the uk,Wales,England,1,1.0,1.0,785.0036998279393,False,quest_kg_llm,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,1915 Galveston hurricane,0,0.0,1.0,756.0541999991983,False,quest_kg_llm,0
WebQTest-20,what did st augustine do,Writer,Korene Hinds,0,0.0,1.0,838.2492999080569,False,quest_kg_llm,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Journalist,0,0.0,1.0,910.6911001726985,False,quest_kg_llm,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,Jamaica,0,0.0,1.0,573.0741999577731,False,quest_kg_llm,0
WebQTest-23,what town was martin luther king assassinated in,Memphis,Tuskegee,0,0.0,1.0,1005.2543999627233,False,quest_kg_llm,0
WebQTest-24,where did edgar allan poe died,Baltimore,"Contemporary Authors: A Bio-Bibliographical Guide to Current Writers in Fiction, General Nonfiction, Poetry, Journalism, Drama, Motion Pictures, Television. Vol. 249",0,0.0,1.0,848.4378999564797,False,quest_kg_llm,0
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,"Trayvon Martin, Robert Lee, and Millions of Tears Fallen",0,0.15384615384615383,1.0,845.5916000530124,False,quest_kg_llm,0
