qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0016?",1,pol_026,0,0.0,0.475724458694458,2743.6550999991596,False,vanilla_rag,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,pol_028,0,0.0,0.4881149232387543,2429.6216000802815,False,vanilla_rag,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,u_0481,0,0.0,0.4352909028530121,2579.793300013989,False,vanilla_rag,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,No,1,1.0,0.5088228583335876,2446.4529999531806,False,vanilla_rag,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,No,0,0.0,0.42223796248435974,2289.850499946624,False,vanilla_rag,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,no,1,1.0,0.4917597472667694,2269.7743999306113,False,vanilla_rag,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0125?",1,pol_017,0,0.0,0.43565425276756287,2340.6618998851627,False,vanilla_rag,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,No,1,1.0,0.4450956881046295,2556.5253000240773,False,vanilla_rag,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,No,0,0.0,0.40600454807281494,2688.8975999318063,False,vanilla_rag,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,pol_011,0,0.0,0.46818533539772034,2543.3463000226766,False,vanilla_rag,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,No,0,0.0,0.36308154463768005,2588.7721001636237,False,vanilla_rag,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,pol_009,0,0.0,0.44248101115226746,2544.1080001182854,False,vanilla_rag,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0016?",1,pol_015,0,0.0,0.4191824495792389,2528.637999901548,False,vanilla_rag,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,pol_017,0,0.0,0.44381821155548096,2344.522599829361,False,vanilla_rag,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0139?",1,pol_013,0,0.0,0.45461198687553406,2394.4588999729604,False,vanilla_rag,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,r_06,0,0.0,0.4105551540851593,2216.836600098759,False,vanilla_rag,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0066?",1,No,0,0.0,0.38540562987327576,2219.3142001051456,False,vanilla_rag,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,No,1,1.0,0.516348659992218,2223.398600006476,False,vanilla_rag,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0180?",1,No,0,0.0,0.45789802074432373,2251.206499990076,False,vanilla_rag,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,pol_019,0,0.0,0.53173828125,2533.561100019142,False,vanilla_rag,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0077?",1,pol_047,0,0.0,0.45918628573417664,2564.0064000617713,False,vanilla_rag,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,No,1,1.0,0.44934046268463135,2550.9796000551432,False,vanilla_rag,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,No,0,0.0,0.42054426670074463,2573.4997000545263,False,vanilla_rag,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,pol_025,0,0.0,0.4622637927532196,2457.053800113499,False,vanilla_rag,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0055?",1,u_0300,0,0.0,0.4261448383331299,704.9271001014858,False,vanilla_rag,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,pol_016,0,0.0,0.4830884039402008,2400.015999795869,False,vanilla_rag,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,pol_025,0,0.0,0.44839227199554443,2463.8164001517,False,vanilla_rag,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,pol_008,0,0.0,0.5056214332580566,2421.94029991515,False,vanilla_rag,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0077?",1,pol_017,0,0.0,0.45342931151390076,2304.249699926004,False,vanilla_rag,0
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,No,1,1.0,0.3962346017360687,2227.40099998191,False,vanilla_rag,0
oa_1277,"At time 58 in context ctx_02, can u_0243 access res_0077?",1,No,0,0.0,0.45563361048698425,2706.4612999092788,False,vanilla_rag,0
oa_81,"At time 64 in context ctx_00, can u_0378 access res_0078?",0,pol_008,0,0.0,0.45127829909324646,2680.3250000812113,False,vanilla_rag,0
oa_1342,"At time 55 in context ctx_07, can u_0176 access res_0061?",1,No,0,0.0,0.43933728337287903,2588.669199962169,False,vanilla_rag,0
oa_82,"At time 86 in context ctx_06, can u_0011 access res_0149?",0,pol_011,0,0.0,0.5216230750083923,2409.5583998132497,False,vanilla_rag,0
oa_1531,"At time 53 in context ctx_05, can u_0440 access res_0125?",1,No,0,0.0,0.43292704224586487,2372.428399976343,False,vanilla_rag,0
oa_101,"At time 176 in context ctx_00, can u_0397 access res_0044?",0,pol_029,0,0.0,0.4611956775188446,2442.015500040725,False,vanilla_rag,0
oa_1551,"At time 51 in context ctx_03, can u_0190 access res_0156?",1,No,0,0.0,0.438132643699646,2635.6051999609917,False,vanilla_rag,0
oa_108,"At time 183 in context ctx_07, can u_0276 access res_0120?",0,No,1,1.0,0.50199955701828,218.1088998913765,False,vanilla_rag,0
oa_1668,"At time 53 in context ctx_05, can u_0020 access res_0035?",1,"None of the provided information directly addresses whether at time 53 in context ctx_05, user u_0",0,0.0,0.4327869713306427,2425.1423000823706,False,vanilla_rag,0
oa_115,"At time 94 in context ctx_06, can u_0007 access res_0152?",0,No,1,1.0,0.5092127323150635,2749.3769000284374,False,vanilla_rag,0
oa_1677,"At time 50 in context ctx_02, can u_0046 access res_0140?",1,To determine if U_0046 can access RES_0140 at time 50 in context,0,0.0,0.3726680278778076,2457.1892998646945,False,vanilla_rag,0
oa_117,"At time 144 in context ctx_00, can u_0307 access res_0102?",0,pol_023,0,0.0,0.4003168046474457,2788.673099828884,False,vanilla_rag,0
oa_1762,"At time 54 in context ctx_06, can u_0225 access res_0061?",1,r_02,0,0.0,0.4951665699481964,2879.6940001193434,False,vanilla_rag,0
oa_120,"At time 171 in context ctx_03, can u_0063 access res_0130?",0,pol_011,0,0.0,0.46984991431236267,2937.7938001416624,False,vanilla_rag,0
oa_1983,"At time 61 in context ctx_05, can u_0277 access res_0125?",1,pol_021,0,0.0,0.4641968309879303,2748.368199914694,False,vanilla_rag,0
oa_125,"At time 69 in context ctx_05, can u_0465 access res_0015?",0,pol_045,0,0.0,0.5051425695419312,2458.1446999218315,False,vanilla_rag,0
oa_1998,"At time 58 in context ctx_02, can u_0199 access res_0130?",1,pol_019,0,0.0,0.46932247281074524,2413.9608999248594,False,vanilla_rag,0
oa_132,"At time 184 in context ctx_00, can u_0312 access res_0154?",0,pol_026,0,0.0,0.47326621413230896,2373.2902000192553,False,vanilla_rag,0
oa_2040,"At time 56 in context ctx_00, can u_0440 access res_0074?",1,No,0,0.0,0.43794921040534973,2335.109999869019,False,vanilla_rag,0
oa_152,"At time 96 in context ctx_00, can u_0156 access res_0128?",0,pol_019,0,0.0,0.48518791794776917,2116.0472000483423,False,vanilla_rag,0
