qid,gold_e2,pred_e2,em,x_rank,confidence
0,11327,17331,0,673,0.75434410572052
1,5225,98302,0,25432,0.6730257421731949
2,90448,69108,0,91,0.8260403275489807
3,36844,635,0,210,0.7118688821792603
4,6546,42929,0,872,0.7870931923389435
5,90163,40836,0,6061,0.6998288631439209
6,72166,72166,1,1,0.7918558418750763
7,54621,99305,0,66328,0.7486973255872726
8,24478,59551,0,214,0.7616952955722809
9,15939,96646,0,6330,0.7109708935022354
10,45305,760,0,3,0.7273606061935425
11,97039,64299,0,30210,0.7387406080961227
12,97228,59083,0,7667,0.7365054786205292
13,21272,70790,0,40472,0.7154053002595901
14,30044,96760,0,23804,0.7145272493362427
15,45369,53804,0,6002,0.705743744969368
16,20686,20686,1,1,0.705792099237442
17,65558,73334,0,11,0.7060834616422653
18,77097,89919,0,2446,0.7319373041391373
19,33291,90391,0,20887,0.6998494118452072
20,49873,15495,0,6030,0.6917715817689896
21,34280,34280,1,1,0.7742260992527008
22,39878,7920,0,77,0.7766221463680267
23,72592,70735,0,1367,0.7524925172328949
24,26406,20810,0,31671,0.7345680445432663
25,92120,56817,0,659,0.7708713412284851
26,9180,47953,0,38782,0.736200287938118
27,46627,47023,0,85691,0.675174817442894
28,80705,58912,0,72274,0.7708881199359894
29,43385,66397,0,42391,0.6944810599088669
30,20795,77399,0,13281,0.7796933054924011
31,99986,82293,0,57653,0.7278014123439789
32,24167,8139,0,2,0.7207183539867401
33,55582,55582,1,1,0.7267009764909744
34,43738,94906,0,5578,0.7438735961914062
35,88029,46175,0,4512,0.7282158881425858
36,97139,53638,0,68064,0.6983928978443146
37,27115,52978,0,343,0.7931496202945709
38,52900,24793,0,60903,0.7468845993280411
39,40921,22505,0,2719,0.7354653030633926
40,89012,59306,0,1968,0.7124851793050766
41,11086,16846,0,230,0.7104600369930267
42,61616,83336,0,112,0.7185502350330353
43,40994,99785,0,318,0.7609679102897644
44,69858,64821,0,223,0.7251808494329453
45,89116,95739,0,60569,0.7318883389234543
46,55173,61556,0,4680,0.7390298992395401
47,66426,50130,0,25,0.6985692381858826
48,92547,19809,0,35675,0.7035867124795914
49,40306,40306,1,1,0.8010377883911133
50,50466,14301,0,1194,0.7206161767244339
51,37692,35143,0,82995,0.7207132130861282
52,80000,69945,0,19662,0.7944647669792175
53,3671,64299,0,70130,0.783117949962616
54,37823,65193,0,73043,0.737355425953865
55,99049,60987,0,3,0.851370632648468
56,72491,72491,1,1,0.7156717032194138
57,54809,86826,0,464,0.7621444165706635
58,44106,37952,0,3219,0.7314545959234238
59,54445,59011,0,21407,0.7318358868360519
60,20130,59874,0,55968,0.7210206389427185
61,66116,27557,0,958,0.706433966755867
62,91873,17520,0,24116,0.7654357254505157
63,64823,58733,0,45,0.74623242020607
64,63710,40432,0,33023,0.7372059971094131
65,77047,46463,0,24093,0.771077036857605
66,78201,23495,0,52066,0.6619064956903458
67,72162,26070,0,55492,0.7263180017471313
68,6372,17662,0,6521,0.7439387142658234
69,13599,19007,0,55411,0.7642476260662079
70,63777,64832,0,14523,0.7422951608896255
71,69903,73334,0,54436,0.7168655842542648
72,30967,57643,0,28744,0.7112359404563904
73,96923,58045,0,3774,0.7375921607017517
74,71589,28496,0,91545,0.6863770037889481
75,15426,94906,0,5361,0.7385230958461761
76,97707,27445,0,81799,0.7751918733119965
77,28513,96427,0,1890,0.7591845691204071
78,17962,17331,0,3411,0.7102831900119781
79,8185,53821,0,7136,0.7381788641214371
80,89046,53821,0,59692,0.752305269241333
81,52886,33459,0,35828,0.7425998747348785
82,75941,11719,0,74094,0.7180108278989792
83,64798,95134,0,90243,0.7526905834674835
84,40562,52316,0,18049,0.718571662902832
85,50656,7151,0,1883,0.7818650603294373
86,39240,4683,0,1839,0.7433483451604843
87,45356,38460,0,139,0.7484673708677292
88,69983,19740,0,36957,0.7383928894996643
89,20565,36734,0,836,0.8273613452911377
90,29242,68929,0,7699,0.853362649679184
91,31932,27869,0,3843,0.8189742267131805
92,73686,35598,0,17397,0.7773006558418274
93,11734,64299,0,9452,0.707440659403801
94,24922,52916,0,112,0.7747754156589508
95,51449,25102,0,84106,0.7595823407173157
96,41865,28092,0,57347,0.7389896512031555
97,19331,17331,0,3711,0.7751651406288147
98,860,98302,0,10089,0.7152051031589508
99,76392,47809,0,4901,0.7089966088533401
100,10431,23264,0,23493,0.7263547480106354
101,29192,38777,0,38230,0.7063601016998291
102,88974,25461,0,2579,0.6849382519721985
103,21789,55333,0,62609,0.8076634705066681
104,98366,68744,0,16893,0.7703337669372559
105,2709,83113,0,2,0.7408965229988098
106,5362,48326,0,17578,0.6656616032123566
107,31538,4232,0,82072,0.8579570651054382
108,6505,99379,0,89661,0.7730287313461304
109,43171,44846,0,5681,0.7709524929523468
110,15085,15085,1,1,0.7771462202072144
111,64058,30648,0,57996,0.6832246482372284
112,10307,19740,0,73592,0.7379015684127808
113,45762,98165,0,1339,0.76453498005867
114,41927,73539,0,6699,0.7236977219581604
115,92730,1143,0,6171,0.7056210190057755
116,83928,9401,0,8026,0.7708055377006531
117,21076,26754,0,62068,0.7477880716323853
118,25886,17331,0,11258,0.7072175145149231
119,67930,19789,0,15070,0.8053969442844391
120,13615,33864,0,2254,0.6816695034503937
121,74554,88937,0,221,0.7546428442001343
122,70169,63264,0,82558,0.7005022317171097
123,62025,20810,0,95552,0.7566872835159302
124,77509,79318,0,35,0.737839013338089
125,53243,94367,0,288,0.7319959104061127
126,514,514,1,1,0.719759926199913
127,9759,42393,0,293,0.7351724058389664
128,19486,45045,0,2,0.7727743685245514
129,28315,98302,0,2856,0.7274676561355591
130,28466,13620,0,1000,0.8061054348945618
131,13864,91315,0,4861,0.7381954044103622
132,46706,98079,0,14083,0.7087539732456207
133,66602,83349,0,580,0.7725373208522797
134,47778,43811,0,16959,0.7396294474601746
135,96326,46175,0,502,0.7340624332427979
136,13936,13933,0,377,0.7617713809013367
137,94271,76865,0,35,0.8029658496379852
138,89515,46913,0,1613,0.681878924369812
139,36499,43811,0,40968,0.7226224392652512
140,26768,32068,0,76398,0.7691813707351685
141,40224,40224,1,1,0.6580033004283905
142,1187,1187,1,1,0.7601043581962585
143,78126,78126,1,1,0.6978799700737
144,76658,85570,0,50323,0.7098489999771118
145,17158,17158,1,1,0.731078714132309
146,47675,55330,0,4508,0.7079754173755646
147,51101,40836,0,27935,0.6805715709924698
148,4403,76871,0,17921,0.7187755554914474
149,19262,19262,1,1,0.8047302961349487
150,25308,41528,0,33298,0.7572674751281738
151,55453,16632,0,12427,0.7107249200344086
152,89982,52370,0,16720,0.7185337245464325
153,21376,39127,0,2044,0.7571489214897156
154,92678,92678,1,1,0.6819069385528564
155,68773,4232,0,232,0.8134649097919464
156,32458,15409,0,4871,0.7035072445869446
157,17111,17111,1,1,0.7693255543708801
158,85033,85033,1,1,0.7267846763134003
159,99323,22629,0,5281,0.7538882493972778
160,93211,1364,0,1212,0.7918308973312378
161,65142,41362,0,77433,0.6917635798454285
162,18103,54733,0,43226,0.737771064043045
163,98819,68639,0,60392,0.7672712504863739
164,64143,35096,0,67,0.8087176978588104
165,57541,97811,0,850,0.7422674298286438
166,89143,1951,0,42073,0.7421169281005859
167,75744,1289,0,301,0.764242559671402
168,14905,77618,0,346,0.7142013609409332
169,38331,98302,0,6772,0.7161265462636948
170,70195,70195,1,1,0.7502773404121399
171,68915,60671,0,87490,0.7193271666765213
172,19649,16608,0,58,0.7778746485710144
173,44170,44170,1,1,0.6941254585981369
