qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,1996 San Francisco Giants season,0,0.0,1.0,35.022899974137545,False,quest_kg,6
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,Brad Paisley 2009 Concert Tour,0,0.0,1.0,33.292399952188134,False,quest_kg,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Chief Rabbinate of Israel,0,0.0,1.0,41.33730009198189,False,quest_kg,18
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Alps–Mediterranean Euroregion,0,0.0,1.0,49.24099985510111,False,quest_kg,0
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Afghanistan,0,0.0,1.0,21.18209982290864,False,quest_kg,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,San Pedro Carchá,0,0.0,1.0,36.64919990114868,False,quest_kg,16
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,Government Office or Title,0,0.0,1.0,26.555599877610803,False,quest_kg,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,University of Northern Colorado,1,1.0,1.0,26.78709989413619,False,quest_kg,1
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Namibia,0,0.0,1.0,80.61460009776056,False,quest_kg,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,Sovereign state,0,0.0,1.0,31.430399976670742,False,quest_kg,0
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Judaeo-Portuguese,0,0.0,1.0,105.47639988362789,False,quest_kg,0
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,Hassaniya Arabic,0,0.0,1.0,88.64540001377463,False,quest_kg,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,Sandra Jean Jarvis,0,0.0,1.0,60.11119997128844,False,quest_kg,0
WebQTrn-849_586aae7703d62aa44eb79759e1563309,What European Union country sharing borders with Germany contains the Lejre Municipality?,Denmark,European Union,0,0.0,1.0,35.02529999241233,False,quest_kg,17
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,2014 World Series,2014 World Series,1,1.0,1.0,51.44999991171062,False,quest_kg,1
WebQTrn-2209_c1374f388d9cc7a78365860c91218362,What year did the basketball team coached by Brad Stevens win the championship?,2008 NBA Finals,Patriot League,0,0.0,1.0,50.238699885085225,False,quest_kg,0
WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,What country speaks Germanic languages and uses the East German mark as currency?,East Germany,Breton,0,0.0,1.0,68.86620004661381,False,quest_kg,0
WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,Which globe region with the UTCâ05:00 time zone does the Dominican Republic call home?,Greater Antilles,Time Zone,0,0.0,1.0,38.38849999010563,False,quest_kg,0
WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,What was the name of the team that won the 2008 FIFA Club World Cup Final championship?,Newton Heath L&YR F.C.,Germany,0,0.0,1.0,63.7682001106441,False,quest_kg,0
WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,Which of JFK's brother held the latest governmental position?,Robert F. Kennedy,Siblings,0,0.0,1.0,27.704699896275997,False,quest_kg,0
WebQTest-1797_68a33792b0a1e18937dcd4b3f50d941e,What group fought in the Battle of Vicksburg that was based in Montgomery?,Confederate States of America,Landon Ecker,0,0.0,1.0,54.716299986466765,False,quest_kg,0
WebQTrn-1864_9dc4e22121d3a46d45b8f9bd9e8c7013,Which country that is situated in the ASEAN Common Time Zone has the largest population?,India,Mainland Southeast Asia,0,0.0,1.0,39.634599816054106,False,quest_kg,31
WebQTrn-1841_b8df00139e3fa59b8633ef551ed8ca9f,What popular sport in Spain has a team that won the 2010 FIFA World Cup championship?,Spain national football team,Brazil,0,0.0,1.0,31.435100128874183,False,quest_kg,0
WebQTrn-124_f3990dc9aa470fa81ec4cf2912a9924f,Which movie with a character called Ajila was directed by Angelina Jolie?,In the Land of Blood and Honey,Male,0,0.0,1.0,67.48660001903772,False,quest_kg,0
WebQTest-538_49b4e9304f18a0a1cbe37bb162f61131,WHat movies have the actress who is an alumni for West Reading El Ctr a part of?,Hannah Montana: The Movie,Female,0,0.0,1.0,56.094100000336766,False,quest_kg,0
WebQTrn-2722_8babdaa9ecd05a72e3227b43b1f98771,For what did the personage who was educated at the Dewitt High School win a gold medal?,Gymnastics at the 2012 Summer Olympics – Women's artistic team all-around,Fraternity/Sorority,0,0.0,1.0,61.47429998964071,False,quest_kg,0
WebQTest-983_ccda690fb745939d0a62c3fbcf3e3769,"Where did Tennessee Williams go to college where the newspaper is ""The Maneater""?",University of Missouri,Colleges and Universities,0,0.0,1.0,32.063799910247326,False,quest_kg,0
WebQTrn-1770_8db36acba886620a06031d39165d78de,Who is the daughter of the artist who had a concert tour called I Am... World Tour?,Blue Ivy,Argentina,0,0.0,1.0,69.08199982717633,False,quest_kg,0
WebQTrn-1817_89670933168c3f4e5195a241f9d46e76,What are the governmental types in the country whose national anthem is Tien Quan Ca?,Communist state,National anthem of,0,0.0,1.0,63.78650013357401,False,quest_kg,0
WebQTrn-849_1eb0f1ddd5074471fbe3a7f6b575f202,Copenhagen is the capital of which German neighboring country?,Denmark,European Union,0,0.0,1.0,29.640000080689788,False,quest_kg,5
WebQTrn-2152_92fba37c9723caee68665ad9a5e4a468,Which of team owners Tom Hicks sports team are in the American League West?,Texas Rangers,American football,0,0.0,1.0,46.73279984854162,False,quest_kg,0
