qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Jamaican Creole English,0,0.8571428571428571,0.8,15493.564500007778,False,tog2,0
WebQTest-1,what did james k polk do before he was president,United States Representative,"Before becoming President, James K. Polk served as a Representative from Tennessee in the United States House of Representatives. Specifically",0,0.44680851063829785,0.8,14679.774299962446,False,tog2,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Albert Tatlock,0,0.0,0.8,15083.830500021577,False,tog2,0
WebQTest-6,where is jamarcus russell from,Mobile,Oakland Raiders,0,0.0,0.8,15215.884399833158,False,tog2,0
WebQTest-7,where was george washington carver from,Diamond,The information provided does not specify George Washington Carver's birthplace or place of origin. It only mentions that he is,0,0.0,0.8,14673.808899940923,False,tog2,0
WebQTest-8,what else did ben franklin invent,Lightning rod,"Based on the provided information, Benjamin Franklin is known for flying a kite during a thunderstorm in 1752",0,0.09999999999999999,0.8,15292.170000029728,False,tog2,0
WebQTest-9,who was richard nixon married to,Pat Nixon,spiro agnew,0,0.0,0.8,14671.606000047177,False,tog2,0
WebQTest-12,who is governor of ohio 2011,John Kasich,The information provided does not contain any data about the governor of Ohio in 2011. It only provides details,0,0.0,0.8,14138.8295001816,False,tog2,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Johnson,0,0.5,0.8,14469.478500075638,False,tog2,0
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,"The Fukushima Daiichi Nuclear Power Plant is located in Japan. To arrive at this conclusion, we can follow these steps:",0,0.09523809523809523,0.8,14286.524999886751,False,tog2,0
WebQTest-16,what countries are part of the uk,Wales,"The United Kingdom is a country that consists of England, Scotland, Wales, and Northern Ireland. It also includes the Isle",0,0.18181818181818182,0.8,11134.167399955913,False,tog2,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,"To determine your timezone in Louisiana, you can use a time zone lookup service or consult with an online calendar. The information",0,0.16,0.8,9342.844099970534,False,tog2,0
WebQTest-20,what did st augustine do,Writer,St. Augustine was a bishop of the Catholic Church in Africa.,0,0.0,0.8,2084.1481999959797,False,tog2,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Josiah franklin,0,0.0,0.8,14782.65680000186,False,tog2,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,The information provided in the chain is not sufficient to determine the type of government that Egypt has. The chain only provides details,0,0.08,0.8,9211.615700041875,False,tog2,0
WebQTest-23,what town was martin luther king assassinated in,Memphis,The given information does not provide any details about Martin Luther King's assassination location. It only mentions his influence on Jy,0,0.0,0.8,14155.781599925831,False,tog2,0
WebQTest-24,where did edgar allan poe died,Baltimore,"The information provided does not specify where Edgar Allan Poe died. To determine his death location, we would need additional details about",0,0.0,0.8,15275.14489996247,False,tog2,0
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,Atlanta is a great place for families with children! There are many fun activities and attractions that you can enjoy together. Some,0,0.08333333333333334,0.8,14670.583099825308,False,tog2,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"The information provided in the chain is not relevant to answering the question ""What electorate does Ann Bligh represent?"" The chain",0,0.0,0.8,18536.78880003281,False,tog2,0
WebQTest-31,where did andy murray started playing tennis,2005,"Andy Murray started playing tennis in Scotland. To determine where Andy Murray started playing tennis, we need to trace back through the",0,0.0,0.8,16891.698600025848,False,tog2,0
WebQTest-32,what is the australian dollar called,AUD,"The Australian Dollar is also known as the Aussie. To determine the name of the Australian Dollar, we can follow this reasoning",0,0.0,0.8,14073.353100102395,False,tog2,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Sweden is a country located in Europe. It has multiple time zones due to its geographical location and historical reasons. The most,0,0.07692307692307693,0.8,14573.371399892494,False,tog2,0
WebQTest-34,who did cam newton sign with,Carolina Panthers,Isaac Newton influenced David Hume. The information provided does not mention any specific person or team that Isaac Newton signed with.,0,0.0,0.8,14783.643000060692,False,tog2,0
WebQTest-35,what county is frederick md in,Frederick County,Frederick MD is not mentioned in the given information. The provided data only includes details about Annapolis and its relationship to,0,0.08695652173913042,0.8,16533.863799879327,False,tog2,0
WebQTest-36,what highschool did harper lee go to,Monroe County High School,"The information provided does not contain any details about Harper Lee's high school education. Therefore, it is impossible to determine which",0,0.15384615384615385,0.8,7556.295300135389,False,tog2,0
