qid,gold_e2,pred_e2,em,x_rank,confidence
0,60948,60948,1,1,0.9295774647887324
1,18238,18238,1,1,0.9692307692307693
2,42523,36365,0,2,0.9457932692307692
3,41288,41288,1,1,0.7033333333333334
4,75041,26648,0,160,0.7836637589214908
5,27894,27338,0,2,0.6194770746494884
6,51321,24964,0,5,0.9838709677419354
7,79273,58419,0,2,0.7601823708206686
8,98705,98705,1,1,0.5287735849056604
9,35587,35587,1,1,0.9692307692307693
10,47794,47794,1,1,0.8765432098765432
11,72591,72591,1,1,0.5287735849056604
12,26859,26859,1,1,0.8719512195121951
13,85638,85638,1,1,0.9137044489157166
14,36469,36469,1,1,0.8546511627906976
15,26134,26134,1,1,0.9765625000000001
16,12412,12412,1,1,0.9684979838709676
17,7261,7261,1,1,0.9765625000000001
18,93317,93317,1,1,1.0
19,49955,49955,1,1,0.5287735849056604
20,3239,3239,1,1,0.5287735849056604
21,4530,4530,1,1,0.7419354838709677
22,55962,93700,0,4,0.9177601809954751
23,29973,29463,0,2,0.6899874319229158
24,5880,5880,1,1,0.5287735849056604
25,86767,86767,1,1,0.7652173913043478
26,93251,93251,1,1,0.8588235294117647
27,9456,9456,1,1,0.5287735849056604
28,45118,91163,0,2,0.9261559696342305
29,45586,45586,1,1,0.9841269841269842
30,31666,23575,0,4,0.7773115773115774
31,98281,97830,0,10,0.9404648956356736
32,30118,76422,0,7,0.648345740281224
33,53085,15519,0,4,0.9684979838709676
34,51760,51760,1,1,1.0
35,89012,89012,1,1,0.5287735849056604
36,89962,89962,1,1,0.5287735849056604
37,73904,64520,0,5,0.9692307692307693
38,93966,93966,1,1,0.9357142857142857
39,39686,92961,0,14,0.5287735849056604
40,43360,43360,1,1,0.9621212121212123
41,89205,89205,1,1,0.5287735849056604
42,28691,81404,0,21,0.5287735849056604
43,63123,63123,1,1,0.9765625000000001
44,5412,80924,0,6,0.7087339743589743
45,4053,35390,0,10,0.8429505135387487
46,92647,1131,0,2,0.5287735849056604
47,6751,6751,1,1,1.0
48,46569,58419,0,4,0.8978354978354978
49,56540,56540,1,1,0.6200867443751693
50,2879,2879,1,1,1.0
51,46861,46861,1,1,1.0
52,11958,82046,0,2,0.9606894841269841
53,20445,20445,1,1,0.9244546498277841
54,43446,43446,1,1,0.5287735849056604
55,45304,48283,0,39,0.9326563958916899
56,13759,34418,0,3,0.9357142857142857
57,85535,85535,1,1,0.9919354838709679
58,59058,59058,1,1,0.5287735849056604
59,13183,13183,1,1,0.5287735849056604
60,26713,26713,1,1,0.5287735849056604
61,82210,82210,1,1,0.5287735849056604
62,28849,28849,1,1,0.8177083333333334
63,1480,4147,0,4,0.6973477920041807
64,3543,3630,0,3,0.6920168067226891
65,59869,59869,1,1,0.5287735849056604
66,66808,66808,1,1,1.0
