qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Usain Bolt,0,0.0,0.25,138.3759998716414,False,quest_kg,0
WebQTest-1,what did james k polk do before he was president,United States Representative,United States of America,0,0.6,0.6253891559085508,47.41279990412295,False,quest_kg,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Coronation Street - Season 26,0,0.0,0.25,50.578700145706534,False,quest_kg,0
WebQTest-6,where is jamarcus russell from,Mobile,American football player,0,0.0,0.25,45.72860011830926,False,quest_kg,0
WebQTest-7,where was george washington carver from,Diamond,African American,0,0.0,0.25,59.30309998802841,False,quest_kg,0
WebQTest-8,what else did ben franklin invent,Lightning rod,Inventor,0,0.0,0.25,48.10129990801215,False,quest_kg,0
WebQTest-9,who was richard nixon married to,Pat Nixon,The Real Nixon: An Intimate Biography,0,0.25,0.6243638764593631,50.964900059625506,False,quest_kg,0
WebQTest-12,who is governor of ohio 2011,John Kasich,"United States presidential election in Ohio, 2012",0,0.0,0.5,57.43720009922981,False,quest_kg,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Lyndon B. Johnson,1,1.0,0.8284269303399727,55.61919999308884,False,quest_kg,1
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Fukushima I – 6,0,0.0,0.25,47.79700003564358,False,quest_kg,0
WebQTest-16,what countries are part of the uk,Wales,Europe,0,0.0,0.831969865403606,66.15069997496903,False,quest_kg,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,0.4154113997124827,54.56760013476014,False,quest_kg,1
WebQTest-20,what did st augustine do,Writer,Introduction to the philosophy of Saint Augustine,0,0.0,0.25,52.472899900749326,False,quest_kg,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Leon Cole,1,1.0,0.25,51.37650016695261,False,quest_kg,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,Government of Egypt,0,0.4,0.624478722626704,56.10570008866489,False,quest_kg,2
WebQTest-23,what town was martin luther king assassinated in,Memphis,Assassination,0,0.0,0.25,49.243199871852994,False,quest_kg,0
WebQTest-24,where did edgar allan poe died,Baltimore,Baltimore,1,1.0,0.31253888688029496,47.770699951797724,False,quest_kg,1
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,Ansley Park,0,0.4,0.3120395763497386,45.46849988400936,False,quest_kg,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"Queensland state election, 2009",0,0.0,0.25,51.42650008201599,False,quest_kg,0
WebQTest-31,where did andy murray started playing tennis,2005,Andy Murray,0,0.0,0.5,44.448599917814136,False,quest_kg,0
WebQTest-32,what is the australian dollar called,AUD,Australia,0,0.0,0.5,54.44470001384616,False,quest_kg,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Central European Time Zone,1,1.0,0.312148745573359,53.820200031623244,False,quest_kg,1
WebQTest-34,who did cam newton sign with,Carolina Panthers,"Cecil Newton, Sr.",0,0.0,0.25,42.551999911665916,False,quest_kg,0
WebQTest-35,what county is frederick md in,Frederick County,Frederick County,1,1.0,0.7337691309204561,43.1570999789983,False,quest_kg,1
WebQTest-36,what highschool did harper lee go to,Monroe County High School,m.0lwxmyl,0,0.0,0.25,43.42780006118119,False,quest_kg,0
WebQTest-37,what timezone is utah in,Mountain Time Zone,Mountain Time Zone,1,1.0,0.4156384307572233,49.22779998742044,False,quest_kg,1
WebQTest-38,who did george w. bush run against for the second term,John Kerry,"United States presidential election, 2000",0,0.0,0.25,45.58910010382533,False,quest_kg,0
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,Niall Ferguson,0,0.0,0.5,44.987899949774146,False,quest_kg,0
