qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,San Francisco Giants,0,0.0,0.5193892497920222,274.1229999810457,False,quest_kg,0
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,Brad Paisley 2009 Concert Tour,0,0.0,0.5402154752724851,67.93240015394986,False,quest_kg,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Judaism,1,1.0,0.4515484208026769,58.44509997405112,False,quest_kg,1
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Electrabel Centrale Gelderland,0,0.0,0.4525214380518279,165.96450004726648,False,quest_kg,0
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Afghanistan,0,0.0,0.5294806236734532,56.77059991285205,False,quest_kg,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Guatemala,1,1.0,0.39986307259021187,66.16140017285943,False,quest_kg,1
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,"Libya, Libya, Libya",0,0.0,0.5080172734071657,147.1587000414729,False,quest_kg,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,Northern Colorado Bears men's basketball,0,0.4,0.482564034063512,73.64360010251403,False,quest_kg,2
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Michelle Bachelet,0,0.0,0.22390668438151304,56.706100003793836,False,quest_kg,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,Parliamentary system,1,1.0,0.5141407781357328,62.75600008666515,False,quest_kg,1
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Portugal,0,0.0,0.2579485953344552,54.95829996652901,False,quest_kg,0
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,Saint-Louis-du-Nord,0,0.0,0.22940844628534363,58.56380006298423,False,quest_kg,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,Jenny's Father,0,0.0,0.5668402080444862,52.272999892011285,False,quest_kg,0
WebQTrn-849_586aae7703d62aa44eb79759e1563309,What European Union country sharing borders with Germany contains the Lejre Municipality?,Denmark,Meuse–Rhine Euroregion,0,0.0,0.285061487172747,69.99679980799556,False,quest_kg,4
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,2014 World Series,San Francisco Giants,0,0.0,0.5771684136375156,52.150100003927946,False,quest_kg,0
WebQTrn-2209_c1374f388d9cc7a78365860c91218362,What year did the basketball team coached by Brad Stevens win the championship?,2008 NBA Finals,Boston Celtics,0,0.0,0.4519799934151817,69.95050003752112,False,quest_kg,0
WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,What country speaks Germanic languages and uses the East German mark as currency?,East Germany,West Germany,0,0.5,0.8267240892115311,103.90629991889,False,quest_kg,2
WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,Which globe region with the UTCâ05:00 time zone does the Dominican Republic call home?,Greater Antilles,Cuba,0,0.0,0.44145545389332863,91.25940012745559,False,quest_kg,0
WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,What was the name of the team that won the 2008 FIFA Club World Cup Final championship?,Newton Heath L&YR F.C.,Manchester United F.C.,0,0.4,0.4915821911337448,53.43579989857972,False,quest_kg,0
WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,Which of JFK's brother held the latest governmental position?,Robert F. Kennedy,Robert F. Kennedy,1,1.0,0.24188873608453648,60.60120020993054,False,quest_kg,1
WebQTest-1797_68a33792b0a1e18937dcd4b3f50d941e,What group fought in the Battle of Vicksburg that was based in Montgomery?,Confederate States of America,26th Louisiana Infantry Regiment,0,0.0,0.2581289203887412,52.48999991454184,False,quest_kg,0
WebQTrn-1864_9dc4e22121d3a46d45b8f9bd9e8c7013,Which country that is situated in the ASEAN Common Time Zone has the largest population?,India,Asia,0,0.0,0.4512193628963816,57.09660006687045,False,quest_kg,0
WebQTrn-1841_b8df00139e3fa59b8633ef551ed8ca9f,What popular sport in Spain has a team that won the 2010 FIFA World Cup championship?,Spain national football team,Spain national football team,1,1.0,0.7124877677200296,85.38000006228685,False,quest_kg,1
WebQTrn-124_f3990dc9aa470fa81ec4cf2912a9924f,Which movie with a character called Ajila was directed by Angelina Jolie?,In the Land of Blood and Honey,In the Land of Blood and Honey,1,1.0,0.7184886017572221,62.34579998999834,False,quest_kg,2
WebQTest-538_49b4e9304f18a0a1cbe37bb162f61131,WHat movies have the actress who is an alumni for West Reading El Ctr a part of?,Hannah Montana: The Movie,Wyomissing Area School District,0,0.0,0.22944323245375167,46.55360011383891,False,quest_kg,0
WebQTrn-2722_8babdaa9ecd05a72e3227b43b1f98771,For what did the personage who was educated at the Dewitt High School win a gold medal?,Gymnastics at the 2012 Summer Olympics – Women's artistic team all-around,Ninth grade,0,0.0,0.5710828437905466,56.52790004387498,False,quest_kg,0
WebQTest-983_ccda690fb745939d0a62c3fbcf3e3769,"Where did Tennessee Williams go to college where the newspaper is ""The Maneater""?",University of Missouri,University of Missouri,1,1.0,0.5702805265284638,49.724699929356575,False,quest_kg,1
WebQTrn-1770_8db36acba886620a06031d39165d78de,Who is the daughter of the artist who had a concert tour called I Am... World Tour?,Blue Ivy,Beyoncé Knowles,0,0.0,0.45217773085920815,51.099399803206325,False,quest_kg,0
WebQTrn-1817_89670933168c3f4e5195a241f9d46e76,What are the governmental types in the country whose national anthem is Tien Quan Ca?,Communist state,Vietnam,0,0.0,0.36397556535372294,57.99740017391741,False,quest_kg,0
WebQTrn-849_1eb0f1ddd5074471fbe3a7f6b575f202,Copenhagen is the capital of which German neighboring country?,Denmark,Denmark,1,1.0,0.849094660079168,72.61519995518029,False,quest_kg,1
WebQTrn-2152_92fba37c9723caee68665ad9a5e4a468,Which of team owners Tom Hicks sports team are in the American League West?,Texas Rangers,Texas Rangers,1,1.0,0.45503646542191584,60.292899841442704,False,quest_kg,1
WebQTrn-3376_0619d288bbed0ca782e60c6f841a6051,What colleges did the famous person who went to Castlemont High school go to?,Temple University,Oakland Unified School District,0,0.28571428571428575,0.229135393460487,47.501099994406104,False,quest_kg,0
WebQTrn-567_693feb48c0515cd069014e7ca2846b37,What movie with the character Teklel Hafouli did Ron Howard do?,The Journey,Backdraft,0,0.0,0.5901075197071719,55.85639993660152,False,quest_kg,0
WebQTrn-1077_0c34ca057060e35aa5c74fbbca682dee,"In the nation that has the Badakhshan province, what religions are practiced?",Shia Islam,Afghanistan,0,0.0,0.3549586092707174,60.786799993366,False,quest_kg,0
