qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Usain Bolt,0,0.0,0.25,671.8553629998496,False,quest_kg_llm,0
WebQTest-1,what did james k polk do before he was president,United States Representative,George M. Dallas,0,0.0,0.6253891559085508,537.7724769998622,False,quest_kg_llm,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Coronation Street - Season 26,0,0.0,0.25,536.999084999934,False,quest_kg_llm,0
WebQTest-6,where is jamarcus russell from,Mobile,United States of America,0,0.0,0.25,529.4197059999988,False,quest_kg_llm,0
WebQTest-7,where was george washington carver from,Diamond,United States of America,0,0.0,0.25,532.8105300000061,False,quest_kg_llm,0
WebQTest-8,what else did ben franklin invent,Lightning rod,"Franklin observed the first balloon ascension made by the Montgolfier brothers, invented bifocal glasses and served on a committee appointed by Louis XVI to report on \""animal magnetism,\"" or hypnotism, thought by German physician Mesmer to cure many, if not all, diseases.",0,0.04545454545454545,0.25,243.0702870001369,False,quest_kg_llm,0
WebQTest-9,who was richard nixon married to,Pat Nixon,Very Strange Bedfellows: The Short and Unhappy Marriage of Richard Nixon and Spiro Agnew,0,0.125,0.6243638777739251,537.2457799999211,False,quest_kg_llm,0
WebQTest-12,who is governor of ohio 2011,John Kasich,"United States Senate election in Ohio, 2010",0,0.0,0.5,541.3407730000017,False,quest_kg_llm,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Lyndon B. Johnson,1,1.0,0.8284269267286205,236.16053199998532,False,quest_kg_llm,1
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Fukushima I – 6,0,0.0,0.25,539.3412530002024,False,quest_kg_llm,0
WebQTest-16,what countries are part of the uk,Wales,Europe,0,0.0,0.8319698683468212,243.73732899994138,False,quest_kg_llm,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,0.41541139813645395,533.2902729999205,False,quest_kg_llm,1
WebQTest-20,what did st augustine do,Writer,Introduction to the philosophy of Saint Augustine,0,0.0,0.25,239.10743999999795,False,quest_kg_llm,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Leon Cole,1,1.0,0.25,534.7363490000134,False,quest_kg_llm,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,Semi-presidential system,1,1.0,0.6244787217718415,242.87738199996056,False,quest_kg_llm,2
WebQTest-23,what town was martin luther king assassinated in,Memphis,Assassination,0,0.0,0.25,540.9200230001261,False,quest_kg_llm,0
WebQTest-24,where did edgar allan poe died,Baltimore,Baltimore,1,1.0,0.31253888669354857,550.5961500000467,False,quest_kg_llm,1
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,"Home Park, Atlanta",0,0.4,0.3120395761170235,536.0393979999571,False,quest_kg_llm,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"Queensland state election, 2009",0,0.0,0.25,229.00559100003193,False,quest_kg_llm,0
WebQTest-31,where did andy murray started playing tennis,2005,Andy Murray,0,0.0,0.5,23.024093999993056,False,quest_kg_llm,0
WebQTest-32,what is the australian dollar called,AUD,Australia,0,0.0,0.5,523.9696480000475,False,quest_kg_llm,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Central European Time Zone,1,1.0,0.3121487451288931,543.3273290000216,False,quest_kg_llm,1
WebQTest-34,who did cam newton sign with,Carolina Panthers,"Cecil Newton, Sr.",0,0.0,0.25,532.5927650001177,False,quest_kg_llm,0
WebQTest-35,what county is frederick md in,Frederick County,Frederick County,1,1.0,0.7337691231715472,228.17904899989117,False,quest_kg_llm,1
WebQTest-36,what highschool did harper lee go to,Monroe County High School,m.0lwxmyl,0,0.0,0.25,25.997407999966526,False,quest_kg_llm,0
WebQTest-37,what timezone is utah in,Mountain Time Zone,Mountain Time Zone,1,1.0,0.4156384299900901,530.0318090000928,False,quest_kg_llm,1
WebQTest-38,who did george w. bush run against for the second term,John Kerry,"United States presidential election, 2004",0,0.0,0.25,547.0855790001679,False,quest_kg_llm,0
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,Niall Ferguson,0,0.0,0.5,27.129568999953335,False,quest_kg_llm,0
WebQTest-41,where is the galapagos islands located on a world map,Ecuador,g.12377byy,0,0.0,0.25,23.849111999879824,False,quest_kg_llm,0
WebQTest-42,what are the songs that justin bieber wrote,Somebody to Love,All Around The World,1,1.0,0.25,233.5116009999183,False,quest_kg_llm,0
WebQTest-43,what did george clemenceau do,Physician,Statesman,1,1.0,0.5,227.37470399988524,False,quest_kg_llm,0
WebQTest-44,what is the state flower of arizona,Saguaro,Phoenix,0,0.0,0.8295073787999584,537.8283649999958,False,quest_kg_llm,0
WebQTest-45,where was rihanna born and raised,Saint Michael Parish,Saint Michael Parish,1,1.0,0.6675850841409287,535.381980000011,False,quest_kg_llm,1
WebQTest-46,what year did president william henry harrison take office,1841-03-04,John Tyler,0,0.0,0.834396387099204,539.9873750000097,False,quest_kg_llm,0
WebQTest-47,where george lopez was born,Mission Hills,Mission Hills,1,1.0,0.3126036849083575,535.3919520000545,False,quest_kg_llm,4
WebQTest-48,where are samsung based,Suwon,Lee Byung-chul,0,0.0,0.41424226524415364,531.3600990000396,False,quest_kg_llm,0
WebQTest-49,what did the islamic people believe in,Ṭūbā,Zainab al-Sughra ibn Ali,0,0.0,0.25,538.6607929999627,False,quest_kg_llm,0
WebQTest-51,who will play mr gray in the film,Jamie Dornan,Film character,0,0.0,0.6235954865612231,531.786676000138,False,quest_kg_llm,0
WebQTest-52,what did george orwell died of,Tuberculosis,Tuberculosis,1,1.0,0.25,235.77045399997587,False,quest_kg_llm,2
WebQTest-54,what country did adolf hitler control,Nazi Germany,"Hitler left the army in 1920, and became party propagandist, editing the party newspaper the 'Volkischer Beobachter' ('People's Observer'), arranging frequent meetings, changing the name of the party to the National-sozialistische Deutsche Arbeiterpartei (the National Socialist German Workers' Party, NSDAP or Nazi Party), imposing himself as its Chairman by July 1921, and giving the new Party its symbol - the swastika - and its greeting, 'Heil!'.",0,0.029411764705882356,0.6211725271834267,686.0726719999093,False,quest_kg_llm,0
WebQTest-55,who is michael buble,Actor,Canada,0,0.0,0.25,534.9182980000933,False,quest_kg_llm,0
WebQTest-56,what county is kansas city kansas,Wyandotte County,Wyandotte County,1,1.0,0.7241292900089337,532.2342829999798,False,quest_kg_llm,1
WebQTest-58,who did jackie robinson first play for,UCLA Bruins football,Baseball player,0,0.0,0.5,534.3809280000187,False,quest_kg_llm,0
WebQTest-59,when did annie open,1976-08-10,Annie: A New Musical,0,0.0,0.6366733309697121,530.2459399999861,False,quest_kg_llm,0
