qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
icews18_0,"(head=459, rel=1, ?, ts=6480)",471,7,0,0.0,0.8,14645.025199977681,False,tog2,0
icews18_1,"(head=5205, rel=90, ?, ts=6480)",464,10,0,0.0,0.8,13680.997499963269,False,tog2,0
icews18_2,"(head=463, rel=69, ?, ts=6480)",458,329,0,0.0,0.8,14037.22870000638,False,tog2,0
icews18_3,"(head=3093, rel=63, ?, ts=6480)",57,1727,0,0.0,0.8,13933.193100150675,False,tog2,0
icews18_4,"(head=17519, rel=151, ?, ts=6480)",3881,1727,0,0.0,0.8,13872.464600019157,False,tog2,0
icews18_5,"(head=4935, rel=0, ?, ts=6480)",7803,17,0,0.0,0.8,13800.984799861908,False,tog2,0
icews18_6,"(head=2820, rel=4, ?, ts=6480)",458,2821,0,0.0,0.8,13820.233999984339,False,tog2,0
icews18_7,"(head=64, rel=1, ?, ts=6480)",458,38,0,0.0,0.8,14282.576199853793,False,tog2,0
icews18_8,"(head=42, rel=20, ?, ts=6480)",4145,44,0,0.0,0.8,14086.685699876398,False,tog2,0
icews18_9,"(head=42, rel=20, ?, ts=6480)",19,44,0,0.0,0.8,14486.699500121176,False,tog2,0
icews18_10,"(head=42, rel=20, ?, ts=6480)",1449,44,0,0.0,0.8,14077.039999887347,False,tog2,0
icews18_11,"(head=445, rel=34, ?, ts=6480)",477,17,0,0.0,0.8,13929.163199849427,False,tog2,0
icews18_12,"(head=1323, rel=0, ?, ts=6480)",344,133,0,0.0,0.8,14143.928300123662,False,tog2,0
icews18_13,"(head=100, rel=28, ?, ts=6480)",390,57,0,0.0,0.8,13873.162999982014,False,tog2,0
icews18_14,"(head=455, rel=0, ?, ts=6480)",765,345,0,0.0,0.8,13408.936399966478,False,tog2,0
icews18_15,"(head=44, rel=20, ?, ts=6480)",4145,2613,0,0.0,0.8,14032.196199987084,False,tog2,0
icews18_16,"(head=44, rel=20, ?, ts=6480)",19,2613,0,0.0,0.8,13967.538299970329,False,tog2,0
icews18_17,"(head=44, rel=20, ?, ts=6480)",1449,2613,0,0.0,0.8,13742.602399783209,False,tog2,0
icews18_18,"(head=9731, rel=0, ?, ts=6480)",445,The missing number in the sequence is 1405.,0,0.0,0.8,14550.488700158894,False,tog2,0
icews18_19,"(head=298, rel=6, ?, ts=6480)",397,122,0,0.0,0.8,14080.450400011614,False,tog2,0
icews18_20,"(head=19, rel=20, ?, ts=6480)",161,83,0,0.0,0.8,14460.60899994336,False,tog2,0
icews18_21,"(head=19, rel=2, ?, ts=6480)",42,3,0,0.0,0.8,13586.056400090456,False,tog2,0
icews18_22,"(head=42, rel=20, ?, ts=6480)",41,44,0,0.0,0.8,14332.702599931508,False,tog2,0
icews18_23,"(head=19, rel=34, ?, ts=6480)",122,191,0,0.0,0.8,14018.87399982661,False,tog2,0
icews18_24,"(head=19, rel=5, ?, ts=6480)",42,3,0,0.0,0.8,13807.934100041166,False,tog2,0
icews18_25,"(head=19, rel=43, ?, ts=6480)",20,57,0,0.0,0.8,10700.208199908957,False,tog2,0
icews18_26,"(head=2274, rel=1, ?, ts=6480)",44,1365,0,0.0,0.8,13852.963900193572,False,tog2,0
icews18_27,"(head=21995, rel=31, ?, ts=6480)",9096,1561,0,0.0,0.8,14111.813199939206,False,tog2,0
icews18_28,"(head=9096, rel=32, ?, ts=6480)",21995,100,0,0.0,0.8,15816.75160001032,False,tog2,0
icews18_29,"(head=8044, rel=0, ?, ts=6480)",1125,122,0,0.0,0.8,14714.434599969536,False,tog2,0
icews18_30,"(head=2618, rel=1, ?, ts=6480)",451,262,0,0.0,0.8,14666.244900086895,False,tog2,0
icews18_31,"(head=2618, rel=15, ?, ts=6480)",451,115,0,0.0,0.8,13616.440700134262,False,tog2,0
icews18_32,"(head=970, rel=1, ?, ts=6480)",451,3,0,0.0,0.8,14545.024299994111,False,tog2,0
icews18_33,"(head=3454, rel=5, ?, ts=6480)",11779,1,0,0.0,0.8,14348.671400221065,False,tog2,0
icews18_34,"(head=4115, rel=29, ?, ts=6480)",2211,4116,0,0.0,0.8,8136.251099873334,False,tog2,0
icews18_35,"(head=3454, rel=2, ?, ts=6480)",2211,1351,0,0.0,0.8,13635.47440012917,False,tog2,0
icews18_36,"(head=50, rel=51, ?, ts=6480)",80,9,0,0.0,0.8,14162.096100160852,False,tog2,0
icews18_37,"(head=50, rel=52, ?, ts=6480)",80,9,0,0.0,0.8,14169.714899966493,False,tog2,0
icews18_38,"(head=4447, rel=0, ?, ts=6480)",80,15,0,0.0,0.8,13509.636899922043,False,tog2,0
icews18_39,"(head=80, rel=6, ?, ts=6480)",50,5,0,0.0,0.8,14308.718399843201,False,tog2,0
icews18_40,"(head=312, rel=20, ?, ts=6480)",80,122,0,0.0,0.8,13801.155799999833,False,tog2,0
icews18_41,"(head=5248, rel=40, ?, ts=6480)",163,7,0,0.0,0.8,14212.921099970117,False,tog2,0
icews18_42,"(head=19, rel=5, ?, ts=6480)",396,3,0,0.0,0.8,14104.4922999572,False,tog2,0
icews18_43,"(head=19, rel=20, ?, ts=6480)",42,83,0,0.0,0.8,14270.035599824041,False,tog2,3
icews18_44,"(head=19, rel=5, ?, ts=6480)",391,3,0,0.0,0.8,14052.299000089988,False,tog2,0
icews18_45,"(head=306, rel=32, ?, ts=6480)",21996,375,0,0.0,0.8,13714.829300064594,False,tog2,0
icews18_46,"(head=21996, rel=31, ?, ts=6480)",306,1727,0,0.0,0.8,14496.021300088614,False,tog2,0
icews18_47,"(head=972, rel=62, ?, ts=6480)",306,100,0,0.0,0.8,13938.792000059038,False,tog2,0
icews18_48,"(head=6, rel=47, ?, ts=6480)",2361,4,0,0.0,0.8,14267.553300131112,False,tog2,0
icews18_49,"(head=2361, rel=47, ?, ts=6480)",6,144,0,0.0,0.8,14061.563600087538,False,tog2,0
