qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Usain Bolt,0,0.0,1.0,177.38309991545975,False,quest_kg,0
WebQTest-1,what did james k polk do before he was president,United States Representative,United States of America,0,0.6,1.0,43.21759985759854,False,quest_kg,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Coronation Street - Season 26,0,0.0,1.0,38.76460017636418,False,quest_kg,0
WebQTest-6,where is jamarcus russell from,Mobile,American football player,0,0.0,1.0,41.2341000046581,False,quest_kg,0
WebQTest-7,where was george washington carver from,Diamond,African American,0,0.0,1.0,28.564299922436476,False,quest_kg,0
WebQTest-8,what else did ben franklin invent,Lightning rod,Inventor,0,0.0,1.0,29.31050001643598,False,quest_kg,0
WebQTest-9,who was richard nixon married to,Pat Nixon,The Real Nixon: An Intimate Biography,0,0.25,1.0,26.811700081452727,False,quest_kg,0
WebQTest-12,who is governor of ohio 2011,John Kasich,"United States presidential election in Ohio, 2012",0,0.0,1.0,27.238799957558513,False,quest_kg,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Lyndon B. Johnson,1,1.0,1.0,28.630599845200777,False,quest_kg,1
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Fukushima I – 6,0,0.0,1.0,27.62139984406531,False,quest_kg,0
WebQTest-16,what countries are part of the uk,Wales,Europe,0,0.0,1.0,35.897300112992525,False,quest_kg,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,1.0,28.44380005262792,False,quest_kg,1
WebQTest-20,what did st augustine do,Writer,Introduction to the philosophy of Saint Augustine,0,0.0,1.0,28.146599885076284,False,quest_kg,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Leon Cole,1,1.0,1.0,27.312400052323937,False,quest_kg,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,Government of Egypt,0,0.4,1.0,32.13099995627999,False,quest_kg,2
WebQTest-23,what town was martin luther king assassinated in,Memphis,Assassination,0,0.0,1.0,27.622700203210115,False,quest_kg,0
WebQTest-24,where did edgar allan poe died,Baltimore,Date of death,0,0.0,1.0,30.319799901917577,False,quest_kg,2
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,Ansley Park,0,0.4,1.0,33.63009984605014,False,quest_kg,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"Queensland state election, 2009",0,0.0,1.0,30.994900036603212,False,quest_kg,0
WebQTest-31,where did andy murray started playing tennis,2005,Andy Murray,0,0.0,1.0,39.63829996064305,False,quest_kg,0
WebQTest-32,what is the australian dollar called,AUD,Australia,0,0.0,1.0,37.681200075894594,False,quest_kg,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Central European Time Zone,1,1.0,1.0,37.78970008715987,False,quest_kg,1
WebQTest-34,who did cam newton sign with,Carolina Panthers,"Cecil Newton, Sr.",0,0.0,1.0,36.26270010136068,False,quest_kg,0
WebQTest-35,what county is frederick md in,Frederick County,Frederick County,1,1.0,1.0,34.5276000443846,False,quest_kg,1
WebQTest-36,what highschool did harper lee go to,Monroe County High School,m.0lwxmyl,0,0.0,1.0,28.878499986603856,False,quest_kg,0
WebQTest-37,what timezone is utah in,Mountain Time Zone,Mountain Time Zone,1,1.0,1.0,25.85539990104735,False,quest_kg,1
WebQTest-38,who did george w. bush run against for the second term,John Kerry,"United States presidential election, 2000",0,0.0,1.0,29.11820006556809,False,quest_kg,0
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,Niall Ferguson,0,0.0,1.0,25.78699984587729,False,quest_kg,0
WebQTest-41,where is the galapagos islands located on a world map,Ecuador,g.12377byy,0,0.0,1.0,22.76610000990331,False,quest_kg,0
WebQTest-42,what are the songs that justin bieber wrote,Somebody to Love,All Around The World,1,1.0,1.0,30.409300001338124,False,quest_kg,0
WebQTest-43,what did george clemenceau do,Physician,Benjamin Clemenceau,0,0.0,1.0,26.284199906513095,False,quest_kg,0
WebQTest-44,what is the state flower of arizona,Saguaro,Phoenix,0,0.0,1.0,28.98010006174445,False,quest_kg,0
WebQTest-45,where was rihanna born and raised,Saint Michael Parish,Saint Michael Parish,1,1.0,1.0,31.25620004720986,False,quest_kg,1
WebQTest-46,what year did president william henry harrison take office,1841-03-04,John Tyler,0,0.0,1.0,25.18150000832975,False,quest_kg,0
WebQTest-47,where george lopez was born,Mission Hills,Mexican American,0,0.0,1.0,30.219500185921788,False,quest_kg,4
WebQTest-48,where are samsung based,Suwon,Lee Byung-chul,0,0.0,1.0,21.92940004169941,False,quest_kg,0
WebQTest-49,what did the islamic people believe in,Ṭūbā,Zainab al-Sughra ibn Ali,0,0.0,1.0,25.160799967125058,False,quest_kg,0
WebQTest-51,who will play mr gray in the film,Jamie Dornan,Fifty Shades of Grey,0,0.0,1.0,22.821899969130754,False,quest_kg,0
WebQTest-52,what did george orwell died of,Tuberculosis,London,0,0.0,1.0,31.379599822685122,False,quest_kg,3
WebQTest-54,what country did adolf hitler control,Nazi Germany,"Hitler left the army in 1920, and became party propagandist, editing the party newspaper the 'Volkischer Beobachter' ('People's Observer'), arranging frequent meetings, changing the name of the party to the National-sozialistische Deutsche Arbeiterpartei (the National Socialist German Workers' Party, NSDAP or Nazi Party), imposing himself as its Chairman by July 1921, and giving the new Party its symbol - the swastika - and its greeting, 'Heil!'.",0,0.029411764705882356,1.0,38.24590006843209,False,quest_kg,0
WebQTest-55,who is michael buble,Actor,Canada,0,0.0,1.0,37.86809998564422,False,quest_kg,0
WebQTest-56,what county is kansas city kansas,Wyandotte County,Wyandotte County,1,1.0,1.0,42.69979987293482,False,quest_kg,1
WebQTest-58,who did jackie robinson first play for,UCLA Bruins football,Baseball player,0,0.0,1.0,34.996100002899766,False,quest_kg,0
WebQTest-59,when did annie open,1976-08-10,Annie: A New Musical,0,0.0,1.0,37.718100007623434,False,quest_kg,0
WebQTest-60,where did eleanor roosevelt die,Manhattan,Manhattan,1,1.0,1.0,30.670200008898973,False,quest_kg,1
