qid,gold_e2,pred_e2,em,x_rank,confidence
0,105751,176898,0,877,0.5905980914831161
1,73595,104441,0,59260,0.5730259120464325
2,115231,78192,0,99423,0.5934510827064514
3,71672,185972,0,52113,0.5512219965457916
4,103216,190780,0,24322,0.6142416670918465
5,80867,74642,0,98540,0.6213777214288712
6,95905,80823,0,96941,0.6124969646334648
7,128564,94811,0,90053,0.5476010665297508
8,71913,108245,0,53746,0.5980849415063858
9,126532,94811,0,35372,0.597240537405014
10,99499,198292,0,95719,0.5995196849107742
11,124222,77772,0,55523,0.6398252248764038
12,70189,194830,0,21735,0.5607001036405563
13,109707,199694,0,76592,0.60659409314394
14,119525,126333,0,46423,0.612578310072422
15,127995,130237,0,26195,0.5560886859893799
16,120562,96129,0,51372,0.5836004689335823
17,70566,100481,0,38256,0.5795383006334305
18,96208,136854,0,79644,0.6194589361548424
19,74434,189685,0,47802,0.6157462820410728
20,126311,173979,0,86086,0.6107526123523712
21,75131,139374,0,4656,0.5869715064764023
22,113973,124550,0,30829,0.5833397731184959
23,101445,188236,0,9889,0.6079374328255653
24,83398,196991,0,71196,0.5638608485460281
25,125163,117598,0,35543,0.5764126554131508
26,78790,184694,0,20785,0.5616970285773277
27,128116,98646,0,84364,0.5043767364695668
28,99182,170630,0,3609,0.5552606917917728
29,112890,87289,0,9431,0.578018844127655
30,105266,71775,0,55774,0.5919690728187561
31,79330,122734,0,53095,0.6252307742834091
32,128212,191658,0,45591,0.6016694009304047
33,79864,71969,0,92602,0.5931630879640579
34,119299,132341,0,19457,0.5602519735693932
35,116320,103657,0,82024,0.582532249391079
36,139090,178880,0,90497,0.6058174893260002
37,98903,173086,0,91447,0.5712491646409035
38,70020,122924,0,80950,0.5469763912260532
39,116305,122164,0,36676,0.5680597051978111
40,119379,187298,0,53941,0.6010331884026527
41,108798,131183,0,47284,0.5588222444057465
42,80079,127561,0,2334,0.6689344793558121
43,127246,84929,0,99534,0.6481111794710159
44,100575,173385,0,29038,0.5986225605010986
45,114687,193218,0,72335,0.5861410722136497
46,110906,113237,0,65055,0.5579250529408455
47,95592,122358,0,53743,0.568067692220211
48,134205,101485,0,19453,0.5635765045881271
49,92182,172823,0,94108,0.6012053191661835
50,127296,179705,0,51595,0.5441625788807869
51,107045,129045,0,11208,0.6777925342321396
52,120805,183682,0,73290,0.5774759724736214
53,116935,184824,0,3004,0.6003279462456703
54,128439,98646,0,72730,0.6004204377532005
55,132220,198800,0,14203,0.5838270112872124
56,104756,189924,0,61813,0.5594414621591568
57,85500,86118,0,75575,0.5997881591320038
58,79376,90725,0,48164,0.6083181649446487
