qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,,0,0.0,0.0,13570.045423999545,True,quest_kg
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,,0,0.0,0.0,1191.6037759947358,True,quest_kg
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,,0,0.0,0.0,663.8399160001427,True,quest_kg
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,,0,0.0,0.0,3246.2382719968446,True,quest_kg
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,,0,0.0,0.0,2172.8623539966065,True,quest_kg
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,,0,0.0,0.0,458.0481550001423,True,quest_kg
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,,0,0.0,0.0,402.29156999703264,True,quest_kg
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,,0,0.0,0.0,157.08207699935883,True,quest_kg
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,,0,0.0,0.0,194.14244100335054,True,quest_kg
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,,0,0.0,0.0,269.87802900112,True,quest_kg
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,,0,0.0,0.0,288.94342899729963,True,quest_kg
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,,0,0.0,0.0,158.1353930014302,True,quest_kg
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,,0,0.0,0.0,138.68084400019143,True,quest_kg
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,,0,0.0,0.0,64.19566600379767,True,quest_kg
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,,0,0.0,0.0,139.23061200330267,True,quest_kg
oa_81,"At time 64 in context ctx_00, can u_0378 access res_0078?",0,,0,0.0,0.0,212.6755499994033,True,quest_kg
oa_82,"At time 86 in context ctx_06, can u_0011 access res_0149?",0,,0,0.0,0.0,158.0307409967645,True,quest_kg
oa_101,"At time 176 in context ctx_00, can u_0397 access res_0044?",0,,0,0.0,0.0,271.3104350041249,True,quest_kg
oa_108,"At time 183 in context ctx_07, can u_0276 access res_0120?",0,,0,0.0,0.0,138.11345199792413,True,quest_kg
oa_115,"At time 94 in context ctx_06, can u_0007 access res_0152?",0,,0,0.0,0.0,26.471883997146506,True,quest_kg
oa_117,"At time 144 in context ctx_00, can u_0307 access res_0102?",0,,0,0.0,0.0,137.58719100587768,True,quest_kg
