qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Jamaican English and Jamaican Creole English Language,0,0.923076923076923,0.4720200849696994,1304.7383001539856,False,graphrag,5
WebQTest-1,what did james k polk do before he was president,United States Representative,", James K. Polk)",0,0.0,0.5804973943158984,3007.010200060904,False,graphrag,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Ken Barlow is played by David Morrissey in Coronation Street.,0,0.0,0.5322263427078724,1734.6046001184732,False,graphrag,0
WebQTest-6,where is jamarcus russell from,Mobile,Mobile,1,1.0,0.556835365947336,365.77220004983246,False,graphrag,9
WebQTest-7,where was george washington carver from,Diamond,The United States of America,0,0.0,0.5895578358322382,906.7753001581877,False,graphrag,0
WebQTest-8,what else did ben franklin invent,Lightning rod,"olfier brothers, invented bifocal glasses and served on a committee appointed by Louis XVI to report on \""animal magnetism",0,0.0,0.5785350669175386,2767.7154999691993,False,graphrag,5
WebQTest-9,who was richard nixon married to,Pat Nixon,m.02h98gq,0,0.0,0.4475491992197931,2463.173900032416,False,graphrag,0
WebQTest-12,who is governor of ohio 2011,John Kasich,m.04j5sk8,0,0.0,0.26924904342740774,2526.5592001378536,False,graphrag,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Gerald Ford,0,0.0,0.2961840908974409,525.7628001272678,False,graphrag,0
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Japan,1,1.0,0.28732624696567655,2368.242499884218,False,graphrag,0
WebQTest-16,what countries are part of the uk,Wales,"The UK is composed of several countries including England, Scotland, Wales, Northern Ireland, and the Isle of Man. Additionally",0,0.1904761904761905,0.38010929245501757,2352.544100023806,False,graphrag,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,0.42292028944939375,2323.3193999622017,False,graphrag,1
WebQTest-20,what did st augustine do,Writer,Michael Manley,0,0.0,0.2575465301051736,2505.614400142804,False,graphrag,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Michael Hillegas,0,0.0,0.32732659997418523,750.4171000327915,False,graphrag,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,parliamentary system,0,0.4,0.3165182452648878,1371.93139991723,False,graphrag,0
WebQTest-23,what town was martin luther king assassinated in,Memphis,macon county,0,0.0,0.28650113474577665,620.6427998840809,False,graphrag,0
