qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Jamaican people speak Jamaican Creole English Language and Jamaican English.,0,0.8235294117647058,0.75,9304.62954199902,False,cok,5
WebQTest-1,what did james k polk do before he was president,United States Representative,"Before becoming president, James K. Polk was elected to the U.S. House of Representatives and supported Andrew Jackson's",0,0.30303030303030304,0.75,9425.715149998723,False,cok,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,"The information provided does not directly state who plays Ken Barlow in Coronation Street. However, based on the given data",0,0.0,0.75,9330.919526000798,False,cok,0
WebQTest-6,where is jamarcus russell from,Mobile,JaMarcus Russell is from the United States of America.,0,0.0,0.75,9313.333402998978,False,cok,0
WebQTest-7,where was george washington carver from,Diamond,George Washington Carver was from the United States of America.,0,0.0,0.75,9329.416929002036,False,cok,0
WebQTest-8,what else did ben franklin invent,Lightning rod,"Based on the reasoning chain provided, besides the Franklin stove and Bifocals, there is no direct mention of other",0,0.1904761904761905,0.75,9311.796011003025,False,cok,0
WebQTest-9,who was richard nixon married to,Pat Nixon,"Richard Nixon was married to Pat Nixon and his spouse m.02h98gq, who is likely his",0,0.3157894736842105,0.75,8594.608047002112,False,cok,0
WebQTest-12,who is governor of ohio 2011,John Kasich,None of the information provided in the reasoning chain pertains to the governor of Ohio in 2011. The,0,0.0,0.75,9101.38392099907,False,cok,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Lyndon B. Johnson was the Vice President after Kennedy died.,0,0.4615384615384615,0.75,9154.636341001606,False,cok,1
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,"The Fukushima Daiichi Nuclear Power Plant is located in Fukushima Prefecture, Japan.",0,0.15384615384615385,0.75,8951.83387799625,False,cok,1
WebQTest-16,what countries are part of the uk,Wales,"The United Kingdom itself is a country, and it includes several constituent countries and regions such as England (which includes East of",0,0.08695652173913045,0.75,9318.44597300369,False,cok,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,0.75,9305.657477998466,False,cok,1
WebQTest-20,what did st augustine do,Writer,"Based on the information provided in the reasoning chain, it is not explicitly stated what St. Augustine did. However, we",0,0.0,0.75,9312.334253998415,False,cok,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Leon Cole,1,1.0,0.75,9296.214312002121,False,cok,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,Egypt has a semi-presidential system of government. The reasoning chain provided indicates that Egypt's form of government is described as,0,0.24000000000000002,0.75,9309.692904993426,False,cok,3
WebQTest-23,what town was martin luther king assassinated in,Memphis,Memphis,1,1.0,0.75,9330.303893002565,False,cok,2
WebQTest-24,where did edgar allan poe died,Baltimore,Baltimore,1,1.0,0.75,8649.486409005476,False,cok,3
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,"The information provided does not directly answer the question ""What to do today in Atlanta with kids."" However, based on the",0,0.22222222222222224,0.75,9302.292701002443,False,cok,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,The information provided in the reasoning chain does not specify which electorate Anna Bligh represents. The chain mentions her role as Premier,0,0.0,0.75,8405.45872200164,False,cok,0
WebQTest-31,where did andy murray started playing tennis,2005,The given information does not specify where Andy Murray started playing tennis.,0,0.0,0.75,7809.638031998475,False,cok,0
WebQTest-32,what is the australian dollar called,AUD,"The Australian dollar is simply referred to as the ""Australian dollar."" There is no different name for it in the context of",0,0.0,0.75,8166.883878999215,False,cok,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Central European Time Zone,1,1.0,0.75,9299.998836999293,False,cok,1
WebQTest-34,who did cam newton sign with,Carolina Panthers,"Cam Newton signed with multiple teams, including the Carolina Panthers (represented by m.04nb7yn), the Atlanta",0,0.2222222222222222,0.75,9308.769867006049,False,cok,0
WebQTest-35,what county is frederick md in,Frederick County,"Frederick County is in Maryland. The county seat of Frederick County is Frederick. Therefore, Frederick is located within Frederick County,",0,0.6206896551724138,0.75,9311.010205005005,False,cok,6
WebQTest-36,what highschool did harper lee go to,Monroe County High School,John F. Kennedy High School,0,0.4444444444444445,0.75,7621.620671998244,False,cok,0
WebQTest-37,what timezone is utah in,Mountain Time Zone,Utah is in the Mountain Time Zone.,0,0.6,0.75,9298.979138002323,False,cok,1
WebQTest-38,who did george w. bush run against for the second term,John Kerry,The information provided does not contain any details about George W. Bush's second term presidential campaign or who he ran against.,0,0.0,0.75,8495.190441004524,False,cok,0
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,The given information does not provide any details about Niall Ferguson's wife.,0,0.0,0.75,9318.57425900671,False,cok,0
WebQTest-41,where is the galapagos islands located on a world map,Ecuador,The information provided does not include the location of the Galapagos Islands. The given chain of reasoning only contains information about,0,0.0,0.75,9304.940854999586,False,cok,0
WebQTest-42,what are the songs that justin bieber wrote,Somebody to Love,"Based on the information provided in the reasoning chain, we cannot definitively list the specific songs that Justin Bieber wrote. The",0,0.2162162162162162,0.75,9294.0384120011,False,cok,0
WebQTest-43,what did george clemenceau do,Physician,"The given reasoning chain does not contain any information about George Clemenceau or his actions. Therefore, I cannot determine what",0,0.0,0.75,9318.213143997127,False,cok,0
WebQTest-44,what is the state flower of arizona,Saguaro,"The state flower of Arizona is not directly provided in the given chain of reasoning. However, based on the information provided,",0,0.0,0.75,9307.529291996616,False,cok,0
WebQTest-45,where was rihanna born and raised,Saint Michael Parish,"Based on the given reasoning chain, Rihanna's place of birth is reviewed, but the specific location is not provided. Additionally",0,0.0,0.75,9300.123589004215,False,cok,0
WebQTest-46,what year did president william henry harrison take office,1841-03-04,The chain provided does not contain the specific information about the year William Henry Harrison took office as President. Based on the given,0,0.0,0.75,9326.79306499631,False,cok,0
WebQTest-47,where george lopez was born,Mission Hills,The information provided does not contain any details about George Lopez's place of birth. The reasoning chain only includes a person named,0,0.0,0.75,9308.028409999679,False,cok,0
WebQTest-48,where are samsung based,Suwon,"The information provided in the reasoning chain does not contain any direct reference to Samsung's location or base. Therefore, I cannot",0,0.0,0.75,9304.664240997226,False,cok,0
WebQTest-49,what did the islamic people believe in,Ṭūbā,"Based on the reasoning chain provided, Islamic people believe in Islamism as indicated by the ideologies of the Islamic Party, Building",0,0.22222222222222224,0.75,9322.635816999536,False,cok,0
WebQTest-51,who will play mr gray in the film,Jamie Dornan,The information provided does not specify which character Mr. Gray is referring to or which film he will be playing in. There,0,0.0,0.75,9312.305792002007,False,cok,0
WebQTest-52,what did george orwell died of,Tuberculosis,The given information does not specify the cause of George Orwell's death. The provided reasoning chain includes details about his place of,0,0.0,0.75,8021.046004003438,False,cok,0
WebQTest-54,what country did adolf hitler control,Nazi Germany,The reasoning chain provided does not directly lead to the answer about Adolf Hitler controlling a country. The chain focuses on events and,0,0.0,0.75,9307.772521002335,False,cok,0
WebQTest-55,who is michael buble,Actor,The given reasoning chain does not contain any information about Michael Bublé. The chain provides details about Edward Burd and,0,0.0,0.75,8810.720002999005,False,cok,0
WebQTest-56,what county is kansas city kansas,Wyandotte County,"The reasoning chain provided does not directly address the specific question about which county Kansas City, Kansas is located in. The chain",0,0.08333333333333334,0.75,9297.439230002055,False,cok,0
WebQTest-58,who did jackie robinson first play for,UCLA Bruins football,The given information does not provide any details about Jackie Robinson's first team. The reasoning chain only contains information about Gerald Robinson,0,0.0,0.75,9299.00465800165,False,cok,0
WebQTest-59,when did annie open,1976-08-10,The given information does not provide any details about when Annie Lee Cooper opened or any related event. There is no date or,0,0.0,0.75,9315.972159994999,False,cok,0
WebQTest-60,where did eleanor roosevelt die,Manhattan,Manhattan,1,1.0,0.75,6514.59410499956,False,cok,1
WebQTest-61,what are the religions practiced in indonesia,Catholicism,"The final answer to the original question ""What are the religions practiced in Indonesia?"" cannot be directly derived from the given reasoning",0,0.0,0.75,9310.924699995667,False,cok,0
WebQTest-62,what was jesse james killed with,Firearm,"The information provided in the reasoning chain does not contain any details about Jesse James or his cause of death. Therefore, based",0,0.0,0.75,9314.515905003645,False,cok,0
WebQTest-63,who was vp for lincoln,Hannibal Hamlin,"Based on the information provided in the reasoning chain, there is no direct mention of who was the Vice President for Abraham Lincoln",0,0.0,0.75,8100.912128000346,False,cok,0
