qid,gold_e2,pred_e2,em,x_rank,confidence
0,11327,60940,0,10779,0.15203669667243958
1,5225,5225,1,1,0.9204121828079224
2,90448,73047,0,22,0.16816797852516174
3,36844,36844,1,1,0.9388149976730347
4,6546,6546,1,1,0.942487895488739
5,90163,95058,0,16,0.9379775524139404
6,72166,72166,1,1,0.9630352258682251
7,54621,37351,0,2,0.9240725040435791
8,24478,37351,0,2,0.911652684211731
9,15939,15939,1,1,0.936979353427887
10,45305,21357,0,2,0.9415524005889893
11,97039,18990,0,10,0.9556453824043274
12,97228,97228,1,1,0.9475832581520081
13,21272,8480,0,51301,0.9204720258712769
14,30044,15595,0,471,0.9534288644790649
15,45369,23250,0,988,0.9464527368545532
16,20686,37351,0,2,0.9159414768218994
17,65558,45036,0,86,0.9496984481811523
18,77097,23123,0,433,0.15029190480709076
19,33291,88631,0,15,0.9446769952774048
20,49873,95197,0,3346,0.9394029378890991
21,34280,27363,0,2,0.1488560289144516
22,39878,39878,1,1,0.9495172500610352
23,72592,53667,0,475,0.9398756623268127
24,26406,48471,0,3,0.932451605796814
25,92120,26907,0,1532,0.9556024074554443
26,9180,37351,0,2,0.9292030930519104
27,46627,79179,0,67229,0.13778899610042572
28,80705,285,0,17408,0.15730179846286774
29,43385,30475,0,90987,0.14458607137203217
30,20795,23407,0,9,0.9589005708694458
31,99986,37351,0,3250,0.9145935773849487
32,24167,24167,1,1,0.9575749039649963
33,55582,37351,0,3,0.9231175184249878
34,43738,53147,0,2389,0.1613735407590866
35,88029,25937,0,9,0.9420735239982605
36,97139,56725,0,5,0.9436600208282471
37,27115,99919,0,2,0.9490436315536499
38,52900,57372,0,2,0.9530227780342102
39,40921,37351,0,2,0.9349597692489624
40,89012,89012,1,1,0.9247084259986877
41,11086,11086,1,1,0.9486536979675293
42,61616,44658,0,21,0.9522143602371216
43,40994,11640,0,4,0.9627325534820557
44,69858,756,0,21,0.15458878874778748
45,89116,89116,1,1,0.9330615401268005
46,55173,19152,0,77,0.9457887411117554
47,66426,73854,0,661,0.9404280185699463
48,92547,69551,0,3,0.9405759572982788
49,40306,40306,1,1,0.956855058670044
50,50466,50466,1,1,0.932079553604126
51,37692,85552,0,121,0.9551303386688232
52,80000,99592,0,16,0.9514371156692505
53,3671,13218,0,22363,0.1590360850095749
54,37823,58209,0,4,0.9417994022369385
55,99049,60987,0,2,0.1715746372938156
56,72491,72491,1,1,0.1508108675479889
57,54809,54809,1,1,0.9486092925071716
58,44106,44106,1,1,0.9553743004798889
59,54445,54445,1,1,0.9427875280380249
60,20130,37351,0,2,0.9128533005714417
61,66116,56535,0,33,0.9419134855270386
62,91873,91873,1,1,0.9450161457061768
63,64823,1870,0,484,0.15484561026096344
64,63710,54382,0,2,0.9404869079589844
65,77047,77941,0,6,0.9559012651443481
66,78201,75865,0,4,0.9215132594108582
67,72162,74189,0,3,0.9526546597480774
68,6372,3097,0,15848,0.14588309824466705
69,13599,91905,0,53715,0.15070758759975433
70,63777,10709,0,6311,0.9415150284767151
71,69903,70553,0,4138,0.150370791554451
72,30967,37351,0,82,0.9077081680297852
73,96923,17032,0,91,0.9421180486679077
74,71589,559,0,10,0.9511752724647522
75,15426,57918,0,8817,0.15497508645057678
76,97707,49860,0,274,0.9488184452056885
77,28513,28513,1,1,0.9526898860931396
78,17962,17962,1,1,0.9193856120109558
79,8185,8185,1,1,0.9571203589439392
80,89046,85168,0,112,0.9546480178833008
81,52886,52886,1,1,0.9468215703964233
82,75941,41632,0,6679,0.14589516818523407
83,64798,37351,0,2,0.9208164811134338
84,40562,40562,1,1,0.9433407187461853
85,50656,50656,1,1,0.9546788930892944
