qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0027?",1,1,1,1.0,1.0,37.23021700011486,False,quest_kg,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,0,1,1.0,1.0,9.969651000119484,False,quest_kg,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,1,1,1.0,1.0,10.581492000028447,False,quest_kg,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,0,1,1.0,1.0,9.295606000023326,False,quest_kg,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,1,1,1.0,1.0,9.679045999973823,False,quest_kg,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,0,1,1.0,1.0,8.18839399994431,False,quest_kg,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0130?",1,1,1,1.0,1.0,9.662552999998297,False,quest_kg,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,0,1,1.0,1.0,9.615686999950412,False,quest_kg,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,1,1,1.0,1.0,9.573913999929573,False,quest_kg,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,0,1,1.0,1.0,9.581205000131376,False,quest_kg,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,1,1,1.0,1.0,9.613132000140467,False,quest_kg,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,0,1,1.0,1.0,9.235808999846995,False,quest_kg,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0027?",1,1,1,1.0,1.0,9.88794499994583,False,quest_kg,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,0,1,1.0,1.0,9.500700999979017,False,quest_kg,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0081?",1,1,1,1.0,1.0,9.988048000195704,False,quest_kg,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,0,1,1.0,1.0,9.572295999987546,False,quest_kg,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0133?",1,1,1,1.0,1.0,9.469750999869575,False,quest_kg,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,0,1,1.0,1.0,9.542004999957499,False,quest_kg,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0140?",1,1,1,1.0,1.0,9.940658000004987,False,quest_kg,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,0,1,1.0,1.0,8.71052000002237,False,quest_kg,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0114?",1,1,1,1.0,1.0,8.812384999828282,False,quest_kg,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,0,1,1.0,1.0,9.281210000153806,False,quest_kg,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,1,1,1.0,1.0,9.989947000121902,False,quest_kg,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,0,1,1.0,1.0,9.04483799990885,False,quest_kg,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0103?",1,1,1,1.0,1.0,9.48353900002985,False,quest_kg,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,1,0,0.0,1.0,9.937943000068117,False,quest_kg,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,1,1,1.0,1.0,9.435392000114007,False,quest_kg,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,0,1,1.0,1.0,8.728511999834154,False,quest_kg,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0114?",1,1,1,1.0,1.0,8.585755000012796,False,quest_kg,0
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,0,1,1.0,1.0,8.788923999873077,False,quest_kg,0
oa_1277,"At time 58 in context ctx_02, can u_0243 access res_0114?",1,1,1,1.0,1.0,9.422405000123035,False,quest_kg,0
oa_81,"At time 64 in context ctx_00, can u_0378 access res_0078?",0,0,1,1.0,1.0,8.936801999880117,False,quest_kg,0
oa_1342,"At time 55 in context ctx_07, can u_0176 access res_0061?",1,1,1,1.0,1.0,9.510503000001336,False,quest_kg,0
oa_82,"At time 86 in context ctx_06, can u_0011 access res_0149?",0,0,1,1.0,1.0,9.496233999925607,False,quest_kg,0
oa_1531,"At time 53 in context ctx_05, can u_0440 access res_0074?",1,1,1,1.0,1.0,9.239915999842196,False,quest_kg,0
oa_101,"At time 176 in context ctx_00, can u_0397 access res_0044?",0,0,1,1.0,1.0,8.510413999829325,False,quest_kg,0
oa_1551,"At time 51 in context ctx_03, can u_0190 access res_0156?",1,1,1,1.0,1.0,9.243394999884913,False,quest_kg,0
oa_108,"At time 183 in context ctx_07, can u_0276 access res_0120?",0,0,1,1.0,1.0,8.480796000185364,False,quest_kg,0
oa_1668,"At time 53 in context ctx_05, can u_0020 access res_0024?",1,1,1,1.0,1.0,9.816709000006085,False,quest_kg,0
oa_115,"At time 94 in context ctx_06, can u_0007 access res_0152?",0,0,1,1.0,1.0,8.911488999956418,False,quest_kg,0
oa_1677,"At time 50 in context ctx_02, can u_0046 access res_0085?",1,1,1,1.0,1.0,10.2406680000513,False,quest_kg,0
oa_117,"At time 144 in context ctx_00, can u_0307 access res_0102?",0,1,0,0.0,1.0,9.333533000017269,False,quest_kg,0
oa_1762,"At time 54 in context ctx_06, can u_0225 access res_0077?",1,1,1,1.0,1.0,9.2499659999703,False,quest_kg,0
oa_120,"At time 171 in context ctx_03, can u_0063 access res_0130?",0,0,1,1.0,1.0,9.432467999886285,False,quest_kg,0
oa_1983,"At time 61 in context ctx_05, can u_0277 access res_0074?",1,1,1,1.0,1.0,9.273052000025928,False,quest_kg,0
oa_125,"At time 69 in context ctx_05, can u_0465 access res_0015?",0,1,0,0.0,1.0,9.702072999971278,False,quest_kg,0
oa_1998,"At time 58 in context ctx_02, can u_0199 access res_0016?",1,1,1,1.0,1.0,9.67713799991543,False,quest_kg,0
oa_132,"At time 184 in context ctx_00, can u_0312 access res_0154?",0,0,1,1.0,1.0,9.22949199980394,False,quest_kg,0
oa_2040,"At time 56 in context ctx_00, can u_0440 access res_0074?",1,1,1,1.0,1.0,9.173657000019375,False,quest_kg,0
oa_152,"At time 96 in context ctx_00, can u_0156 access res_0128?",0,0,1,1.0,1.0,9.177664999924673,False,quest_kg,0
oa_2101,"At time 62 in context ctx_06, can u_0139 access res_0077?",1,1,1,1.0,1.0,9.555391000048985,False,quest_kg,0
oa_165,"At time 103 in context ctx_07, can u_0315 access res_0188?",0,0,1,1.0,1.0,9.082441000145991,False,quest_kg,0
oa_2127,"At time 50 in context ctx_02, can u_0020 access res_0124?",1,1,1,1.0,1.0,9.463362000133202,False,quest_kg,0
oa_167,"At time 68 in context ctx_04, can u_0073 access res_0039?",0,0,1,1.0,1.0,7.58398700008911,False,quest_kg,0
oa_2131,"At time 57 in context ctx_01, can u_0481 access res_0145?",1,1,1,1.0,1.0,9.077480000087235,False,quest_kg,0
oa_168,"At time 78 in context ctx_06, can u_0051 access res_0112?",0,0,1,1.0,1.0,7.857894000153465,False,quest_kg,0
oa_2133,"At time 56 in context ctx_00, can u_0225 access res_0027?",1,1,1,1.0,1.0,9.35367299985046,False,quest_kg,0
oa_177,"At time 180 in context ctx_04, can u_0240 access res_0124?",0,1,0,0.0,1.0,9.572002999902907,False,quest_kg,0
oa_2250,"At time 55 in context ctx_07, can u_0321 access res_0141?",1,1,1,1.0,1.0,9.50788700015437,False,quest_kg,0
oa_178,"At time 65 in context ctx_01, can u_0104 access res_0071?",0,0,1,1.0,1.0,7.881645999987086,False,quest_kg,0
oa_2280,"At time 61 in context ctx_05, can u_0247 access res_0139?",1,1,1,1.0,1.0,9.744167999997444,False,quest_kg,0
oa_186,"At time 157 in context ctx_05, can u_0441 access res_0085?",0,0,1,1.0,1.0,9.64277499997479,False,quest_kg,0
oa_2374,"At time 56 in context ctx_00, can u_0020 access res_0055?",1,1,1,1.0,1.0,10.115973999972994,False,quest_kg,0
oa_201,"At time 116 in context ctx_04, can u_0457 access res_0045?",0,0,1,1.0,1.0,8.916051999904084,False,quest_kg,0
oa_2411,"At time 53 in context ctx_05, can u_0471 access res_0074?",1,1,1,1.0,1.0,9.303429000055985,False,quest_kg,0
oa_209,"At time 110 in context ctx_06, can u_0171 access res_0122?",0,0,1,1.0,1.0,9.212875000002896,False,quest_kg,0
oa_2522,"At time 59 in context ctx_03, can u_0096 access res_0056?",1,1,1,1.0,1.0,9.814065999989907,False,quest_kg,0
oa_218,"At time 153 in context ctx_01, can u_0386 access res_0023?",0,0,1,1.0,1.0,9.520410000050106,False,quest_kg,0
oa_2551,"At time 52 in context ctx_04, can u_0286 access res_0147?",1,1,1,1.0,1.0,9.579205999898477,False,quest_kg,0
oa_226,"At time 65 in context ctx_01, can u_0171 access res_0040?",0,0,1,1.0,1.0,8.341879999989033,False,quest_kg,0
oa_2641,"At time 56 in context ctx_00, can u_0247 access res_0074?",1,1,1,1.0,1.0,9.301477000008163,False,quest_kg,0
oa_228,"At time 145 in context ctx_01, can u_0110 access res_0128?",0,0,1,1.0,1.0,8.75710600007551,False,quest_kg,0
oa_2770,"At time 54 in context ctx_06, can u_0247 access res_0077?",1,1,1,1.0,1.0,9.366817000000083,False,quest_kg,0
oa_240,"At time 104 in context ctx_00, can u_0457 access res_0157?",0,0,1,1.0,1.0,8.52730600013274,False,quest_kg,0
oa_2900,"At time 57 in context ctx_01, can u_0139 access res_0145?",1,1,1,1.0,1.0,9.314231999951517,False,quest_kg,0
oa_246,"At time 112 in context ctx_00, can u_0123 access res_0127?",0,0,1,1.0,1.0,8.530093999979727,False,quest_kg,0
oa_2904,"At time 51 in context ctx_03, can u_0020 access res_0064?",1,1,1,1.0,1.0,9.417655000106606,False,quest_kg,0
oa_251,"At time 71 in context ctx_07, can u_0470 access res_0008?",0,0,1,1.0,1.0,8.716187999880276,False,quest_kg,0
oa_2927,"At time 58 in context ctx_02, can u_0127 access res_0077?",1,1,1,1.0,1.0,9.226184999988618,False,quest_kg,0
oa_258,"At time 135 in context ctx_07, can u_0401 access res_0042?",0,0,1,1.0,1.0,8.572397000079945,False,quest_kg,0
oa_3155,"At time 56 in context ctx_00, can u_0041 access res_0130?",1,1,1,1.0,1.0,9.759843999972873,False,quest_kg,0
oa_265,"At time 187 in context ctx_03, can u_0245 access res_0030?",0,0,1,1.0,1.0,8.953360999839788,False,quest_kg,0
oa_3204,"At time 56 in context ctx_00, can u_0277 access res_0027?",1,1,1,1.0,1.0,9.473913999954675,False,quest_kg,0
oa_270,"At time 108 in context ctx_04, can u_0475 access res_0106?",0,0,1,1.0,1.0,9.026381000012407,False,quest_kg,0
oa_3245,"At time 55 in context ctx_07, can u_0199 access res_0141?",1,1,1,1.0,1.0,9.032114000092406,False,quest_kg,0
oa_275,"At time 128 in context ctx_00, can u_0248 access res_0129?",0,0,1,1.0,1.0,8.684388999881776,False,quest_kg,0
oa_3317,"At time 57 in context ctx_01, can u_0225 access res_0145?",1,1,1,1.0,1.0,8.796160999963831,False,quest_kg,0
oa_288,"At time 64 in context ctx_00, can u_0092 access res_0194?",0,0,1,1.0,1.0,8.324975000050472,False,quest_kg,0
oa_3400,"At time 58 in context ctx_02, can u_0471 access res_0140?",1,1,1,1.0,1.0,9.197877999895354,False,quest_kg,0
oa_290,"At time 195 in context ctx_03, can u_0162 access res_0132?",0,0,1,1.0,1.0,8.651024000073448,False,quest_kg,0
oa_3420,"At time 62 in context ctx_06, can u_0481 access res_0036?",1,1,1,1.0,1.0,8.446813000091424,False,quest_kg,0
oa_292,"At time 179 in context ctx_03, can u_0141 access res_0192?",0,0,1,1.0,1.0,8.216437999863047,False,quest_kg,0
oa_3442,"At time 59 in context ctx_03, can u_0452 access res_0056?",1,1,1,1.0,1.0,9.249756999906822,False,quest_kg,0
oa_294,"At time 122 in context ctx_02, can u_0305 access res_0022?",0,0,1,1.0,1.0,9.316146999935881,False,quest_kg,0
oa_3572,"At time 60 in context ctx_04, can u_0481 access res_0145?",1,1,1,1.0,1.0,8.915493999893442,False,quest_kg,0
