qid,gold_e2,pred_e2,em,x_rank,confidence
0,105751,176898,0,877,0.17717944085597992
1,73595,104441,0,59260,0.17190778255462646
2,115231,115231,1,1,0.850878894329071
3,71672,185972,0,52112,0.16536659002304077
4,103216,190780,0,24322,0.18427249789237976
5,80867,80867,1,1,0.8673727512359619
6,95905,80823,0,96941,0.18374909460544586
7,128564,101342,0,15,0.8514414429664612
8,71913,182226,0,16,0.8686788082122803
9,126532,191865,0,2,0.8590196371078491
10,99499,173849,0,3,0.8669778108596802
11,124222,124222,1,1,0.8813771605491638
12,70189,194830,0,21735,0.16821004450321198
13,109707,79854,0,2,0.870110273361206
14,119525,180727,0,2,0.8739818930625916
15,127995,123732,0,2,0.8576452732086182
16,120562,96129,0,51372,0.17508015036582947
17,70566,95810,0,22,0.8599279522895813
18,96208,134841,0,12,0.8735659122467041
19,74434,74434,1,1,0.8723700642585754
20,126311,135247,0,86114,0.8809125423431396
21,75131,80637,0,4658,0.8630256652832031
22,113973,113973,1,1,0.8562940359115601
23,101445,101445,1,1,0.8730498552322388
24,83398,196991,0,71196,0.16915825009346008
25,125163,83341,0,18,0.861733078956604
26,78790,78790,1,1,0.8607776761054993
27,128116,128116,1,1,0.8298960328102112
28,99182,76552,0,2,0.8634541034698486
29,112890,87289,0,9431,0.17340567708015442
30,105266,116402,0,55778,0.866974949836731
31,79330,115503,0,2,0.8707262873649597
32,128212,128212,1,1,0.8689713478088379
33,79864,187973,0,14,0.8687262535095215
34,119299,119299,1,1,0.8581346869468689
35,116320,103657,0,82024,0.17475968599319458
36,139090,178880,0,90497,0.1817452758550644
37,98903,173086,0,91447,0.17137473821640015
38,70020,95032,0,12,0.8528526425361633
39,116305,178651,0,36680,0.8577078580856323
40,119379,187298,0,53941,0.1803099513053894
41,108798,108798,1,1,0.8564441204071045
42,80079,127561,0,2334,0.20068031549453735
43,127246,176849,0,405,0.8725540041923523
44,100575,74350,0,16,0.8669021129608154
45,114687,107416,0,6,0.8684253692626953
46,110906,184916,0,2,0.8563430905342102
47,95592,95592,1,1,0.8545903563499451
48,134205,79331,0,18,0.8654930591583252
49,92182,92182,1,1,0.8569843173027039
50,127296,127296,1,1,0.8507423400878906
51,107045,107045,1,1,0.8951348066329956
52,120805,183682,0,73290,0.17324279248714447
53,116935,107927,0,7,0.8763397932052612
54,128439,98089,0,72817,0.8696775436401367
55,132220,127281,0,43,0.8719133138656616
56,104756,189924,0,61813,0.16783243417739868
57,85500,85500,1,1,0.862756073474884
58,79376,75414,0,65,0.8767461776733398
59,78261,78261,1,1,0.8563790321350098
60,105482,88033,0,73939,0.16271217167377472
61,123618,77757,0,21,0.8734991550445557
62,110940,118881,0,3,0.8328973054885864
63,124450,84311,0,55140,0.861023485660553
64,138861,78982,0,3,0.8628534078598022
65,119909,92051,0,21,0.8494601249694824
66,136918,76857,0,37279,0.1712673455476761
67,103124,173322,0,74553,0.8484416007995605
68,98681,173307,0,1762,0.8728047609329224
69,110779,134282,0,442,0.8593504428863525
70,88781,121239,0,1442,0.16027694940567017
71,122221,122221,1,1,0.8607858419418335
72,138031,194603,0,45215,0.16919077932834625
73,133840,133840,1,1,0.8625046014785767
74,99884,99884,1,1,0.8677387833595276
75,117215,103049,0,60,0.8537323474884033
76,97839,188948,0,33,0.8807342052459717
77,106454,106454,1,1,0.8520036339759827
78,94990,94990,1,1,0.8476525545120239
79,102570,129901,0,90209,0.16340085864067078
80,90910,90910,1,1,0.8652216196060181
81,86036,138929,0,91931,0.17552554607391357
82,78868,78868,1,1,0.8452104330062866
83,128403,173140,0,49976,0.17815223336219788
84,88616,180513,0,36394,0.18630239367485046
85,139763,139763,1,1,0.8678666353225708
86,126614,78875,0,92081,0.18011870980262756
87,134910,196479,0,23738,0.860959529876709
88,114102,85563,0,9,0.8616489171981812
89,93874,100174,0,36,0.8730875253677368
90,70571,78708,0,1315,0.8668546080589294
91,136895,187310,0,94065,0.8675044178962708
92,72804,72804,1,1,0.849469780921936
93,117900,114476,0,79423,0.8622956275939941
94,121748,120148,0,5,0.8584723472595215
95,86659,136182,0,2,0.8700718879699707
96,75255,96870,0,26137,0.1674572229385376
97,76050,112661,0,2,0.8584005236625671
98,83221,88368,0,81995,0.17754210531711578
99,105269,105269,1,1,0.8621021509170532
100,85622,85622,1,1,0.8583315014839172
101,108262,127499,0,3,0.869915783405304
102,133149,119117,0,12,0.8618844151496887
103,113885,175306,0,88909,0.17207327485084534
