qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0016?",1,Yes,1,1.0,0.4861864931881428,2524.7390000149608,False,graphrag,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,No,1,1.0,0.4770714920014143,2427.449499955401,False,graphrag,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,Yes,1,1.0,0.4436114691197872,2580.4936999920756,False,graphrag,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,No,1,1.0,0.4847591052452723,2612.4851999338716,False,graphrag,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,No,0,0.0,0.40587235428392887,2776.610199827701,False,graphrag,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,No,1,1.0,0.4824677314609289,2680.3755001164973,False,graphrag,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0125?",1,No,0,0.0,0.4428253546357155,2589.443000033498,False,graphrag,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,No,1,1.0,0.4661362608894706,2536.652500042692,False,graphrag,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,No,0,0.0,0.42710499558597803,2565.46390010044,False,graphrag,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,No,1,1.0,0.466194630600512,2395.631100051105,False,graphrag,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,Yes,1,1.0,0.39425836969166994,2419.2999000661075,False,graphrag,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,No,1,1.0,0.4683839865028858,2313.8200000394136,False,graphrag,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0016?",1,Yes,1,1.0,0.4384462237358093,2293.6317999847233,False,graphrag,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,No,1,1.0,0.42638104408979416,2647.2878998611122,False,graphrag,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0139?",1,No,0,0.0,0.4588753068819642,2916.1198001820594,False,graphrag,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,No,1,1.0,0.43058908451348543,2587.4340999871492,False,graphrag,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0066?",1,No,0,0.0,0.40001898165792227,2620.663700159639,False,graphrag,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,No,1,1.0,0.5096121104434133,2585.6914001051337,False,graphrag,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0180?",1,Yes,1,1.0,0.4748333115130663,2529.348500072956,False,graphrag,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,No,1,1.0,0.554502584040165,2423.2740001752973,False,graphrag,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0077?",1,No,0,0.0,0.45543196331709623,2387.7625002060086,False,graphrag,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,No,1,1.0,0.460893583483994,2401.9395001232624,False,graphrag,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,No,0,0.0,0.4406162789091468,2371.8650001101196,False,graphrag,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,No,1,1.0,0.4567395271733403,2523.4695998951793,False,graphrag,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0055?",1,No,0,0.0,0.4315444938838482,2692.4306999426335,False,graphrag,0
