qid,gold_e2,pred_e2,em,x_rank,confidence
0,70000,70000,1,1,0.9349168241024017
1,70001,70001,1,1,0.8969224691390991
2,70002,70002,1,1,0.9063180387020111
3,70003,70003,1,1,0.9139638245105743
4,70004,70004,1,1,0.9223828315734863
5,70005,70005,1,1,0.9193187355995178
6,70006,70006,1,1,0.9431048333644867
7,70007,70007,1,1,0.8523433804512024
8,70008,70008,1,1,0.9751178026199341
9,70009,70009,1,1,0.8874067962169647
10,70010,70010,1,1,0.9024745225906372
11,70011,70011,1,1,0.8812633752822876
12,70012,70012,1,1,0.9538110494613647
13,70013,119772,0,17,0.8477790355682373
14,70014,70014,1,1,0.9384861886501312
15,70015,70015,1,1,0.9254446923732758
16,70016,70016,1,1,0.9062695205211639
17,70017,70017,1,1,0.897733062505722
18,70018,70018,1,1,0.8963238000869751
19,70019,102226,0,3,0.8808954954147339
20,70020,70020,1,1,0.923537403345108
21,70021,70021,1,1,0.9192663729190826
22,70022,70022,1,1,0.9638692736625671
23,70023,70023,1,1,0.9428521692752838
24,70024,70024,1,1,0.9769235253334045
25,70025,70025,1,1,0.9552652537822723
26,70026,131792,0,99,0.8496036231517792
27,70027,70027,1,1,0.9371709823608398
28,70028,70028,1,1,0.9830468595027924
29,70029,70029,1,1,0.9720406234264374
30,70030,70030,1,1,0.9172828793525696
31,70031,70031,1,1,0.9348673224449158
32,70032,70032,1,1,0.9204777777194977
33,70033,70033,1,1,0.8737136721611023
34,70034,70034,1,1,0.9399453103542328
35,70035,70035,1,1,0.9433873891830444
36,70036,70036,1,1,0.846121221780777
37,70037,70037,1,1,0.9251111149787903
38,70038,70038,1,1,0.939243495464325
39,70039,70039,1,1,0.9183332026004791
40,70040,70040,1,1,0.8538056015968323
41,70041,70041,1,1,0.9127544462680817
42,70042,70042,1,1,0.9073063731193542
43,70043,70043,1,1,0.888452559709549
44,70044,70044,1,1,0.9117889106273651
45,70045,70045,1,1,0.9048016667366028
46,70046,70046,1,1,0.9493481814861298
47,70047,70047,1,1,0.9355292618274689
48,70048,70048,1,1,0.9260384142398834
49,70049,70049,1,1,0.9601275324821472
50,70050,70050,1,1,0.9644460082054138
51,70051,70051,1,1,0.9521551132202148
52,70052,70052,1,1,0.9105295538902283
53,70053,70053,1,1,0.940631091594696
54,70054,70054,1,1,0.9357421696186066
55,70055,70055,1,1,0.9689500033855438
56,70056,70056,1,1,0.8652336001396179
57,70057,70057,1,1,0.9432729780673981
58,70058,70058,1,1,0.8801374435424805
59,70059,70059,1,1,0.8930743932723999
60,70060,70060,1,1,0.8689646124839783
61,70061,70061,1,1,0.9272123277187347
62,70062,70062,1,1,0.9475850462913513
63,70063,70063,1,1,0.9301840960979462
64,70064,70064,1,1,0.9758366644382477
65,70065,70065,1,1,0.9378770589828491
66,70066,70066,1,1,0.9407750964164734
67,70067,70067,1,1,0.9389875829219818
68,70068,70068,1,1,0.8779045641422272
69,70069,70069,1,1,0.9250154793262482
70,70070,70070,1,1,0.9334999918937683
71,70071,70071,1,1,0.8617711961269379
72,70072,70072,1,1,0.9191808700561523
73,70073,70073,1,1,0.8219151794910431
74,70074,70074,1,1,0.9575962126255035
75,70075,70075,1,1,0.9267251789569855
76,70076,70076,1,1,0.8951373398303986
77,70077,70077,1,1,0.9507630169391632
78,70078,70078,1,1,0.9335641264915466
79,70079,70079,1,1,0.9436737895011902
80,70080,70080,1,1,0.9148488342761993
81,70081,70081,1,1,0.9450220763683319
82,70082,70082,1,1,0.9478842616081238
83,70083,70083,1,1,0.9624909162521362
84,70084,70084,1,1,0.843265175819397
85,70085,70085,1,1,0.9420018196105957
86,70086,70086,1,1,0.9083897471427917
87,70087,70087,1,1,0.9181230366230011
