qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,2010 World Series,0,0.6666666666666666,0.6309074786576357,1693.5728280004696,False,graphrag,10
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,University of Missouri School of Music,0,0.25,0.5923347142007616,1685.994325001957,False,graphrag,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Judaism,1,1.0,0.6521553939039056,1685.0829970062478,False,graphrag,3
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Germany,1,1.0,0.5844557159825375,1652.3426310013747,False,graphrag,10
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,m.0493b56,0,0.0,0.6802152345577875,1674.4774710023194,False,graphrag,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Guatemala,1,1.0,0.6586387515068054,1649.4015369971748,False,graphrag,1
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,Muammar Gaddafi,0,0.0,0.7547789812088013,1679.5278049976332,False,graphrag,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,University of Northern Colorado,1,1.0,0.8349217691204764,527.9791129942168,False,graphrag,2
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Spanish,0,0.6666666666666666,0.6406476609408855,1703.4182529969257,False,graphrag,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,Parliamentary republic,0,0.5,0.6013138151168823,1672.1327679988462,False,graphrag,0
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Timor-Leste,0,0.0,0.5677962965435452,1678.9357009984087,False,graphrag,7
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,"Frisian, German Language",0,0.0,0.5993018883925217,1651.8698049985687,False,graphrag,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,Shiloh Nouvel Jolie-Pitt,0,0.0,0.5397499288831439,1651.7774219973944,False,graphrag,0
WebQTrn-849_586aae7703d62aa44eb79759e1563309,What European Union country sharing borders with Germany contains the Lejre Municipality?,Denmark,Denmark,1,1.0,0.6197121477127076,1657.4217419984052,False,graphrag,2
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,2014 World Series,2014,0,0.5,0.5330661676431957,1674.9300199953723,False,graphrag,4
WebQTrn-2209_c1374f388d9cc7a78365860c91218362,What year did the basketball team coached by Brad Stevens win the championship?,2008 NBA Finals,1964,0,0.5,0.7093238725381739,1679.285047997837,False,graphrag,0
WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,What country speaks Germanic languages and uses the East German mark as currency?,East Germany,East Germany,1,1.0,0.7602887122254622,1643.2381699996768,False,graphrag,3
WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,Which globe region with the UTCâ05:00 time zone does the Dominican Republic call home?,Greater Antilles,Antilles,0,0.6666666666666666,0.740467432472441,1692.4681099990266,False,graphrag,0
WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,What was the name of the team that won the 2008 FIFA Club World Cup Final championship?,Newton Heath L&YR F.C.,Manchester United F.C.,0,0.4,0.6678836698885318,612.2026299999561,False,graphrag,0
WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,Which of JFK's brother held the latest governmental position?,Robert F. Kennedy,Robert F. Kennedy,1,1.0,0.6938632200745976,1695.2666719953413,False,graphrag,2
WebQTest-1797_68a33792b0a1e18937dcd4b3f50d941e,What group fought in the Battle of Vicksburg that was based in Montgomery?,Confederate States of America,m.04fvcs7,0,0.0,0.6354290209710598,1709.8181740002474,False,graphrag,0
WebQTrn-1864_9dc4e22121d3a46d45b8f9bd9e8c7013,Which country that is situated in the ASEAN Common Time Zone has the largest population?,India,Indonesia,0,0.0,0.6862692965401543,1646.9322699995246,False,graphrag,0
WebQTrn-1841_b8df00139e3fa59b8633ef551ed8ca9f,What popular sport in Spain has a team that won the 2010 FIFA World Cup championship?,Spain national football team,football,0,0.4,0.7408428519964219,396.6343739957665,False,graphrag,3
WebQTrn-124_f3990dc9aa470fa81ec4cf2912a9924f,Which movie with a character called Ajila was directed by Angelina Jolie?,In the Land of Blood and Honey,In the Land of Blood and Honey,1,1.0,0.6949116066098213,1551.6575949950493,False,graphrag,2
WebQTest-538_49b4e9304f18a0a1cbe37bb162f61131,WHat movies have the actress who is an alumni for West Reading El Ctr a part of?,Hannah Montana: The Movie,"m.0jz20l, m.02vc9kp, m.0w17ng",0,0.0,0.49077107367061434,1673.2177000012598,False,graphrag,0
WebQTrn-2722_8babdaa9ecd05a72e3227b43b1f98771,For what did the personage who was educated at the Dewitt High School win a gold medal?,Gymnastics at the 2012 Summer Olympics – Women's artistic team all-around,Félix Sánchez,0,0.0,0.5107630143562952,1690.7934670016402,False,graphrag,0
WebQTest-983_ccda690fb745939d0a62c3fbcf3e3769,"Where did Tennessee Williams go to college where the newspaper is ""The Maneater""?",University of Missouri,m.0n1m266,0,0.0,0.6524927839636803,1663.6333909991663,False,graphrag,0
WebQTrn-1770_8db36acba886620a06031d39165d78de,Who is the daughter of the artist who had a concert tour called I Am... World Tour?,Blue Ivy,Beyoncé Knowles,0,0.0,0.63701600872952,1729.6886929980246,False,graphrag,0
WebQTrn-1817_89670933168c3f4e5195a241f9d46e76,What are the governmental types in the country whose national anthem is Tien Quan Ca?,Communist state,National anthem,0,0.0,0.6825555682182312,1650.26351200504,False,graphrag,0
WebQTrn-849_1eb0f1ddd5074471fbe3a7f6b575f202,Copenhagen is the capital of which German neighboring country?,Denmark,Germany,0,0.0,0.7166976988315582,1620.4346560043632,False,graphrag,4
WebQTrn-2152_92fba37c9723caee68665ad9a5e4a468,Which of team owners Tom Hicks sports team are in the American League West?,Texas Rangers,Houston Astros,0,0.0,0.6977159743723662,1676.4042029972188,False,graphrag,0
WebQTrn-3376_0619d288bbed0ca782e60c6f841a6051,What colleges did the famous person who went to Castlemont High school go to?,Temple University,The subgraph does not provide information about the colleges attended by the famous person who went to Castlemont High School.,0,0.2608695652173913,0.6012062273527446,1678.4171930048615,False,graphrag,0
WebQTrn-567_693feb48c0515cd069014e7ca2846b37,What movie with the character Teklel Hafouli did Ron Howard do?,The Journey,Backdraft,0,0.0,0.646970834583044,1227.088174004166,False,graphrag,0
WebQTrn-1077_0c34ca057060e35aa5c74fbbca682dee,"In the nation that has the Badakhshan province, what religions are practiced?",Shia Islam,m.0493b56,0,0.0,0.5661198728614383,1682.5872179979342,False,graphrag,0
WebQTest-1686_29e74083744b3631541b29b4094fb273,Who was the governor of Arizona in 2009 that held his governmental position before 1998?,Janet Napolitano,"None of the provided triples specify a time period for when these individuals held the office of Governor of Arizona, so based on",0,0.0,0.7200168445706367,1711.5718310014927,False,graphrag,0
WebQTest-626_8c6b952c6bd963f0ece4e401c9eb731a,What does the Missouri River bisect in the Central Time Zone?,Iowa,Central Time Zone,0,0.0,0.6015989184379578,1603.2350070017856,False,graphrag,0
WebQTest-12_68d745a0657c86906382873e57294d6a,Who was the governor of Ohio in 2011 that was in the government prior to 3-1-1983?,"Return J. Meigs, Jr.",Ken Bennett,0,0.0,0.49438948491040396,1705.2353469989612,False,graphrag,0
WebQTest-576_906ad6be7bec9d208f4dde4f7721c261,Which of the seven Central American countries had co2 emissions per capita once of 2009 metric ton?,Belize,Dominican Republic,0,0.0,0.7260206211358309,1742.5377990002744,False,graphrag,0
WebQTrn-2152_3cdf60c15a8355981dd92e3c57ac2eed,What team that has a mascot named Mariner Moose is in the American League West?,Seattle Mariners,Seattle Mariners,1,1.0,0.604866361618042,374.93322899535997,False,graphrag,1
WebQTest-61_09020cbb000c86fda5910ec084690246,What religion is practiced in Indonesia and has a sacred site of Mecca?,Islam,Islam,1,1.0,0.5585923522710801,1645.116396000958,False,graphrag,8
WebQTrn-1864_67ecd1c247c3b2c9545fbcf1ad8d9d00,Which location in the Anadyr Timezone has the biggest population?,India,Asia,0,0.0,0.5683686065673829,1643.261862001964,False,graphrag,0
WebQTrn-3136_a2debf685e0c50491e35a9cf7a1e9ade,"Of the four regions which make up the United Kingdom, which is the country that includes the location, Down District Council?",Northern Ireland,England,0,0.0,0.6165903657674789,1656.7508110019844,False,graphrag,0
WebQTest-998_f693ae2cb9aa6b8ffdf0f103a6777b62,What is the most recent event in which the sports team owned by James L. Dolan won the championship?,1973 NBA Finals,American League Division Series,0,0.0,0.530763283852608,1676.0806340025738,False,graphrag,0
WebQTrn-1023_1e7110e48c30a2cef3caf291e3b8d394,What's the currency of the country that includes the location of Buenos Aires?,Argentine peso,Argentine peso,1,1.0,0.6608866046775471,1620.8301930018933,False,graphrag,0
WebQTrn-810_c334509bb5e02cacae1ba2e80c176499,What year did the team with mascot named Lou Seal win the World Series?,2014 World Series,2010,0,0.0,0.6134288687455026,1674.3551809995552,False,graphrag,11
