qid,gold_e2,pred_e2,em,x_rank,confidence
0,105751,105751,1,1,0.937719315290451
1,73595,73595,1,1,0.9378717243671417
2,115231,115231,1,1,0.914321631193161
3,71672,71672,1,1,0.9192464351654053
4,103216,103216,1,1,0.9450341761112213
5,80867,80867,1,1,0.9433548152446747
6,95905,95905,1,1,0.9035432040691376
7,128564,190449,0,2,0.9441007971763611
8,71913,71913,1,1,0.9233817756175995
9,126532,109011,0,4,0.9283962547779083
10,99499,99499,1,1,0.9010026454925537
11,124222,124222,1,1,0.8956925272941589
12,70189,126472,0,75,0.9092004895210266
13,109707,109707,1,1,0.9147094488143921
14,119525,119525,1,1,0.9378340244293213
15,127995,127995,1,1,0.9276593029499054
16,120562,120562,1,1,0.9412134289741516
17,70566,70566,1,1,0.9397026300430298
18,96208,96208,1,1,0.9520343840122223
19,74434,74434,1,1,0.931797206401825
20,126311,126311,1,1,0.9313192367553711
21,75131,75131,1,1,0.914080798625946
22,113973,113973,1,1,0.9380263388156891
23,101445,101445,1,1,0.9333605468273163
24,83398,83398,1,1,0.9466326534748077
25,125163,125163,1,1,0.9160741567611694
26,78790,78790,1,1,0.9541539549827576
27,128116,121160,0,2,0.9142159223556519
28,99182,99182,1,1,0.9333999156951904
29,112890,112890,1,1,0.949112594127655
30,105266,105266,1,1,0.9377828538417816
31,79330,183381,0,4,0.8410358726978302
32,128212,128212,1,1,0.921086996793747
33,79864,79864,1,1,0.9336186647415161
34,119299,79241,0,2,0.9393453896045685
35,116320,116320,1,1,0.9525347352027893
36,139090,139090,1,1,0.9490017890930176
37,98903,98903,1,1,0.9271925985813141
38,70020,104609,0,3,0.9091444313526154
39,116305,116305,1,1,0.901440441608429
40,119379,119379,1,1,0.9578371047973633
41,108798,129864,0,2,0.9201551973819733
42,80079,80079,1,1,0.9098316729068756
43,127246,127246,1,1,0.955345094203949
44,100575,100575,1,1,0.933553010225296
45,114687,114687,1,1,0.9405045509338379
46,110906,129197,0,3,0.9181568026542664
47,95592,95592,1,1,0.9588921964168549
48,134205,134205,1,1,0.9505679309368134
49,92182,92182,1,1,0.9522669911384583
50,127296,127296,1,1,0.9341053068637848
51,107045,101183,0,2,0.9195484220981598
52,120805,120805,1,1,0.9281706809997559
53,116935,116935,1,1,0.9483589828014374
54,128439,128439,1,1,0.9238724708557129
55,132220,99094,0,166,0.9134368300437927
56,104756,104756,1,1,0.918609231710434
57,85500,75043,0,37,0.9168699085712433
58,79376,181838,0,2,0.9532800912857056
59,78261,78261,1,1,0.9607829749584198
60,105482,91529,0,2,0.9352736473083496
61,123618,123618,1,1,0.9222823083400726
62,110940,110940,1,1,0.9629639983177185
63,124450,124450,1,1,0.9039546251296997
64,138861,138861,1,1,0.9453144073486328
65,119909,119909,1,1,0.9201622009277344
66,136918,136918,1,1,0.9499705135822296
67,103124,103124,1,1,0.8978506326675415
68,98681,98681,1,1,0.9198161661624908
69,110779,110779,1,1,0.9512120485305786
70,88781,88781,1,1,0.9249109029769897
71,122221,122221,1,1,0.9201807975769043
72,138031,138031,1,1,0.9195358157157898
73,133840,133840,1,1,0.9496528804302216
74,99884,99884,1,1,0.95470330119133
75,117215,117215,1,1,0.916398674249649
76,97839,97839,1,1,0.9211781919002533
77,106454,116336,0,8,0.9161275923252106
78,94990,94990,1,1,0.9123481214046478
79,102570,102570,1,1,0.9287005066871643
80,90910,90910,1,1,0.933489978313446
81,86036,86036,1,1,0.9412581920623779
82,78868,78868,1,1,0.9208438098430634
83,128403,128403,1,1,0.9303185343742371
84,88616,88616,1,1,0.9227707386016846
85,139763,130688,0,2,0.9493859708309174
86,126614,126614,1,1,0.9396557807922363
87,134910,134910,1,1,0.8914288878440857
88,114102,114102,1,1,0.9456734955310822
89,93874,93874,1,1,0.8894895017147064
90,70571,70571,1,1,0.9207019209861755
91,136895,133644,0,3,0.9360166788101196
92,72804,72804,1,1,0.9535449147224426
93,117900,117900,1,1,0.9080520272254944
94,121748,106141,0,2,0.9351855218410492
95,86659,86659,1,1,0.9192044734954834
96,75255,75255,1,1,0.9431652426719666
97,76050,76050,1,1,0.9302426874637604
98,83221,83221,1,1,0.9040891826152802
99,105269,105269,1,1,0.9099186658859253
100,85622,85622,1,1,0.8911974132061005
101,108262,108262,1,1,0.9305893778800964
102,133149,133149,1,1,0.912036269903183
103,113885,187508,0,3,0.9060177206993103
104,99821,99821,1,1,0.9329256117343903
105,71140,71140,1,1,0.9538595974445343
106,136471,136471,1,1,0.9499843120574951
107,126029,126029,1,1,0.9678867161273956
108,96941,96941,1,1,0.905302107334137
109,95273,95273,1,1,0.9326516687870026
110,108286,108286,1,1,0.9064211547374725
111,114092,114092,1,1,0.9336934387683868
112,131735,192605,0,431,0.9238754510879517
113,131856,131856,1,1,0.9452516436576843
114,86081,86081,1,1,0.9436046183109283
115,73297,73297,1,1,0.895815521478653
116,111802,111802,1,1,0.9413405954837799
117,96860,118273,0,2,0.9053604900836945
118,113658,113658,1,1,0.9406067132949829
119,129588,129588,1,1,0.9243389964103699
120,114969,83039,0,2,0.8985146880149841
121,131034,87539,0,6,0.9007894098758698
122,127010,127010,1,1,0.9271847009658813
123,124709,124709,1,1,0.9559932053089142
124,70342,70342,1,1,0.947998970746994
125,81879,81879,1,1,0.9000201225280762
126,89142,89142,1,1,0.9404965341091156
127,129440,129440,1,1,0.929296225309372
128,129591,129591,1,1,0.9627704918384552
129,105412,105412,1,1,0.9380540549755096
130,71781,71781,1,1,0.9456324279308319
131,125038,125038,1,1,0.9123600423336029
132,83883,83883,1,1,0.9088764786720276
133,74227,177336,0,18,0.9001112580299377
134,91832,91832,1,1,0.9308464825153351
135,79518,79243,0,2,0.9198821187019348
136,132419,132419,1,1,0.9144471287727356
137,124896,124896,1,1,0.9720653295516968
138,103211,103211,1,1,0.9372836053371429
139,127919,127919,1,1,0.9503712356090546
140,121060,121060,1,1,0.9574573934078217
141,100582,188091,0,72,0.9414076805114746
142,78847,78847,1,1,0.9175320863723755
143,89387,89387,1,1,0.9056819975376129
144,76615,76615,1,1,0.9459109604358673
145,78428,78428,1,1,0.9385339915752411
146,78135,78135,1,1,0.9337496161460876
147,121765,121765,1,1,0.9514318108558655
148,137917,137917,1,1,0.94663405418396
149,86736,86736,1,1,0.9539651274681091
150,135877,86624,0,2,0.9046761393547058
151,116480,116480,1,1,0.9532409906387329
152,88479,88479,1,1,0.9644156694412231
153,94405,94405,1,1,0.960079550743103
154,83013,83013,1,1,0.9198840260505676
155,109600,121426,0,2,0.9490908086299896
156,135627,135627,1,1,0.903305858373642
157,123915,123915,1,1,0.947096437215805
158,125588,125588,1,1,0.8839811682701111
159,120346,190376,0,5,0.9450426697731018
160,99673,99673,1,1,0.8984281420707703
161,131518,76787,0,9,0.9229313433170319
162,131778,131778,1,1,0.9179872274398804
163,134199,134199,1,1,0.9438404738903046
164,105358,105358,1,1,0.9237348735332489
165,121077,121077,1,1,0.9558923840522766
166,124384,124384,1,1,0.9178392887115479
167,115021,115021,1,1,0.9370498955249786
168,102794,102794,1,1,0.9484358429908752
169,135259,188758,0,2,0.9207495152950287
170,136309,136309,1,1,0.8848090469837189
171,96059,137223,0,3,0.9074001312255859
172,79027,79027,1,1,0.9539700150489807
173,116796,97522,0,1113,0.936437726020813
174,135445,135445,1,1,0.9451845288276672
175,113078,113078,1,1,0.9216046929359436
176,131857,131857,1,1,0.9421297609806061
177,72318,72318,1,1,0.9437885284423828
178,94863,94863,1,1,0.9168748557567596
179,104006,104006,1,1,0.959104061126709
180,77601,77601,1,1,0.899186372756958
181,116694,116694,1,1,0.9369896948337555
182,110120,110120,1,1,0.9057236015796661
183,116473,116473,1,1,0.9478051364421844
184,76163,76163,1,1,0.9497229754924774
185,94931,94931,1,1,0.9246928691864014
186,133915,133915,1,1,0.9382234215736389
187,83882,83882,1,1,0.9033252894878387
188,98337,98337,1,1,0.943389356136322
189,112910,112910,1,1,0.9483990371227264
190,100450,100450,1,1,0.9276480376720428
191,132048,132048,1,1,0.9193987846374512
192,130442,130442,1,1,0.910334974527359
193,129699,129699,1,1,0.9456726908683777
194,106896,106896,1,1,0.9297945499420166
195,72799,72799,1,1,0.9391799569129944
196,95783,95783,1,1,0.9404584765434265
197,104403,104403,1,1,0.9306191504001617
198,82086,82086,1,1,0.9166534245014191
199,99026,99026,1,1,0.9202444553375244
200,107126,91931,0,40,0.9153691530227661
201,106321,106321,1,1,0.934868723154068
202,107481,107481,1,1,0.9462202489376068
203,126123,126123,1,1,0.9571084082126617
204,75805,75805,1,1,0.9108486473560333
205,81906,81906,1,1,0.9228212535381317
206,90691,90691,1,1,0.921070009469986
207,138003,77657,0,13,0.9253298044204712
208,93935,93935,1,1,0.9551571011543274
209,99793,99793,1,1,0.9520436823368073
210,80386,80386,1,1,0.9188884794712067
211,103036,116909,0,3,0.9369814097881317
212,118026,118026,1,1,0.9285657107830048
213,132143,132143,1,1,0.9357955753803253
214,73354,73354,1,1,0.95180344581604
215,101529,101529,1,1,0.9546070098876953
216,82466,82466,1,1,0.9628028869628906
217,114073,130495,0,263,0.9292000234127045
218,127423,127423,1,1,0.9228714406490326
219,134986,134986,1,1,0.9590939283370972
220,78249,78249,1,1,0.8471994400024414
221,80293,80293,1,1,0.9457573890686035
222,84754,84754,1,1,0.9456295669078827
223,75698,116055,0,3351,0.8588718473911285
224,129011,129011,1,1,0.9514689743518829
225,120669,120669,1,1,0.9251298606395721
226,90919,90878,0,2,0.9177129864692688
227,109966,109966,1,1,0.9045343101024628
228,139643,139643,1,1,0.9440845549106598
229,101828,101828,1,1,0.9199096262454987
230,135469,135469,1,1,0.926505446434021
231,105499,105499,1,1,0.9514773786067963
232,81904,81904,1,1,0.9440568685531616
233,92244,92244,1,1,0.9422481060028076
234,90618,90618,1,1,0.9385734796524048
235,107433,107433,1,1,0.9202944934368134
236,75375,75375,1,1,0.9426746368408203
237,110443,110443,1,1,0.953902006149292
238,89496,89496,1,1,0.9294255375862122
239,139117,139117,1,1,0.9627647697925568
240,97525,97525,1,1,0.9184217154979706
241,82125,82125,1,1,0.8787839710712433
242,121898,121898,1,1,0.9410564005374908
243,91219,91219,1,1,0.8699847757816315
244,119685,119685,1,1,0.9363870620727539
245,131351,131351,1,1,0.9663768410682678
246,82686,82686,1,1,0.9496157467365265
247,72370,72370,1,1,0.9632329046726227
248,70975,70975,1,1,0.9575045108795166
249,110124,182036,0,2,0.9247139990329742
250,88343,88343,1,1,0.9054667949676514
251,83327,101078,0,2,0.9643941819667816
252,82303,82303,1,1,0.9265666902065277
253,121830,121830,1,1,0.9491865038871765
254,118330,118330,1,1,0.9204261898994446
255,108543,108543,1,1,0.9448220431804657
256,83417,191015,0,3,0.8743121325969696
257,89969,89969,1,1,0.9128011167049408
258,134441,134441,1,1,0.9465906322002411
259,90449,90449,1,1,0.9528039693832397
260,88418,94415,0,4,0.906639963388443
261,129585,129585,1,1,0.9400283992290497
262,138694,138694,1,1,0.8602742254734039
263,73841,73841,1,1,0.9527486264705658
264,129753,129753,1,1,0.9508562088012695
265,122799,122799,1,1,0.9319528341293335
266,104525,104525,1,1,0.8969852030277252
267,121891,121891,1,1,0.9479881227016449
268,122431,122431,1,1,0.9152593314647675
269,105251,105251,1,1,0.9445717036724091
270,115018,115018,1,1,0.9122231900691986
271,126337,126337,1,1,0.949971079826355
272,122528,122528,1,1,0.9245087504386902
273,122167,122167,1,1,0.9399637877941132
274,73914,73914,1,1,0.9457747042179108
275,132928,132928,1,1,0.9516039788722992
276,133572,133572,1,1,0.9426375031471252
277,97101,97101,1,1,0.8951345384120941
278,137750,137750,1,1,0.9282891750335693
279,129964,78654,0,252,0.8755705952644348
280,77795,77795,1,1,0.9269543290138245
281,130652,130652,1,1,0.9561329185962677
282,110065,110065,1,1,0.9132110476493835
283,78687,115992,0,10,0.9164954721927643
284,118485,118485,1,1,0.9289200901985168
285,79156,79156,1,1,0.9222327172756195
286,134161,134161,1,1,0.9260758459568024
287,134521,134521,1,1,0.9256509244441986
288,91413,91413,1,1,0.8997374176979065
289,85887,85887,1,1,0.9295223951339722
290,134318,134318,1,1,0.9299382269382477
291,87588,87588,1,1,0.9377648532390594
292,127335,127335,1,1,0.9341630041599274
293,74716,74716,1,1,0.9226347506046295
294,130095,130095,1,1,0.9614691138267517
295,92236,178529,0,3,0.9281410276889801
296,77672,77672,1,1,0.9381099939346313
297,88817,88817,1,1,0.9216191172599792
298,105681,105681,1,1,0.9239566922187805
299,85182,85182,1,1,0.95549276471138
300,131505,92249,0,2,0.9349634051322937
301,71963,71963,1,1,0.9493048787117004
302,139265,139265,1,1,0.9509105682373047
303,124390,124390,1,1,0.939874917268753
304,75776,75776,1,1,0.9369117915630341
305,121206,121206,1,1,0.8859234154224396
306,81399,81399,1,1,0.9484012424945831
307,70372,70372,1,1,0.9676989316940308
308,88881,112929,0,31,0.845786839723587
309,89000,85918,0,6,0.9355105459690094
310,136995,170621,0,3,0.9076790809631348
311,134386,134386,1,1,0.9418824315071106
312,112471,199902,0,34,0.9336199760437012
313,108948,108948,1,1,0.9163426458835602
314,84646,84646,1,1,0.8720324039459229
315,130589,130589,1,1,0.8473919034004211
316,133950,133950,1,1,0.934478759765625
317,138999,138999,1,1,0.8963751196861267
318,115766,115766,1,1,0.9224200248718262
319,107300,107300,1,1,0.9383842349052429
320,111893,111893,1,1,0.9213509857654572
321,133714,133714,1,1,0.9569998681545258
322,87143,87143,1,1,0.9142029583454132
323,89503,89503,1,1,0.9219157695770264
