qid,gold_e2,pred_e2,em,x_rank,confidence
0,33429,33429,1,1,0.9176018238067627
1,82133,82133,1,1,0.9226517379283905
2,84582,65846,0,4,0.906926304101944
3,73184,73184,1,1,0.9090113341808319
4,91864,91864,1,1,0.9183541536331177
5,36360,36360,1,1,0.9069436192512512
6,57885,67892,0,19,0.947670191526413
7,5665,18519,0,382,0.912192314863205
8,45154,45153,0,835,0.9089021682739258
9,22675,22675,1,1,0.9412185847759247
10,28487,68072,0,397,0.8591713607311249
11,95380,56944,0,569,0.9225324988365173
12,63387,36687,0,7,0.9308893382549286
13,19365,37345,0,4,0.8868071436882019
14,60892,60892,1,1,0.9553851187229156
15,57874,57874,1,1,0.9303024113178253
16,33864,1726,0,9,0.8467715382575989
17,70988,70988,1,1,0.9432960152626038
18,71465,52883,0,497,0.9458601772785187
19,50358,50358,1,1,0.9532975256443024
20,5418,5418,1,1,0.9039534628391266
21,74028,90430,0,584,0.895756334066391
22,94757,26579,0,23,0.9457887709140778
23,75632,75632,1,1,0.9523640871047974
24,385,323,0,2,0.9544946253299713
25,16361,16361,1,1,0.9467876851558685
26,37766,63393,0,1569,0.9271482825279236
27,32337,64715,0,9,0.8721943795681
28,18550,18550,1,1,0.9200311303138733
29,25445,25445,1,1,0.9012342691421509
30,15644,15644,1,1,0.9656840562820435
31,10452,10452,1,1,0.9483974575996399
32,57749,87504,0,2,0.8494607508182526
33,56878,56878,1,1,0.9436918199062347
34,45727,77715,0,14,0.9494001269340515
35,68708,89572,0,3,0.8573679625988007
36,80470,80470,1,1,0.8819000124931335
37,35188,35188,1,1,0.9003972709178925
38,18757,18757,1,1,0.937466561794281
39,81459,81459,1,1,0.9604213833808899
40,26048,22167,0,1586,0.8764640092849731
41,87907,87907,1,1,0.9591703116893768
42,65061,65061,1,1,0.9409570097923279
43,27782,27782,1,1,0.9358344376087189
44,83921,83921,1,1,0.938764750957489
45,47049,47049,1,1,0.8876055777072906
46,4615,90544,0,23,0.8512698411941528
47,65191,63432,0,30,0.9213749766349792
48,7347,7621,0,2,0.871227353811264
49,39362,39362,1,1,0.9416431784629822
50,71168,71168,1,1,0.9522753357887268
51,91250,91247,0,5,0.8956922590732574
52,95986,25625,0,3231,0.8949729800224304
53,73879,73879,1,1,0.9374922811985016
54,7982,7983,0,67,0.9208253920078278
55,37127,28415,0,403,0.8888256549835205
56,22509,22509,1,1,0.8899949789047241
57,97448,87504,0,3,0.8522602617740631
58,78455,78455,1,1,0.9638835191726685
59,80158,80158,1,1,0.9293937981128693
60,15450,15450,1,1,0.9864849150180817
61,11276,11276,1,1,0.9372724890708923
62,413,86596,0,19,0.9035575985908508
63,28690,21219,0,10,0.9345821738243103
64,82577,25546,0,286,0.8502151072025299
65,87159,87159,1,1,0.9046408236026764
66,5085,5085,1,1,0.9675437808036804
67,97201,97201,1,1,0.9275115132331848
68,18420,18420,1,1,0.9481071531772614
69,10800,10800,1,1,0.9688555598258972
70,95813,12047,0,2,0.8918384909629822
71,1686,1686,1,1,0.9446927905082703
72,5814,537,0,19,0.847482830286026
73,48017,90960,0,7,0.9218744039535522
74,30470,30470,1,1,0.9500540792942047
75,10992,10992,1,1,0.9540490210056305
76,4163,4163,1,1,0.9159125089645386
77,62719,62719,1,1,0.9147481322288513
78,8636,8636,1,1,0.9565595090389252
79,24194,28962,0,2,0.928568422794342
80,92316,92316,1,1,0.9780137538909912
81,85691,85691,1,1,0.9735561013221741
82,60976,54315,0,6,0.9432142674922943
83,45116,13819,0,235,0.8998023569583893
84,53942,53942,1,1,0.9712012410163879
85,84921,84921,1,1,0.9601812958717346
86,10937,10937,1,1,0.9502465128898621
87,71889,89941,0,12166,0.8801054060459137
88,90017,90116,0,2,0.8712582290172577
89,95353,95353,1,1,0.9500462114810944
90,47182,6828,0,3013,0.8437549471855164
91,98136,98136,1,1,0.9639013111591339
92,767,73343,0,80,0.8871939182281494
93,95025,95025,1,1,0.9344708323478699
94,25290,25290,1,1,0.8996830582618713
95,23088,23088,1,1,0.8869947791099548
96,68959,68959,1,1,0.9183535277843475
97,41433,36005,0,2,0.8834482729434967
98,50764,50764,1,1,0.9391865432262421
99,74965,89654,0,26416,0.9034432768821716
100,17528,17528,1,1,0.9506186842918396
101,41890,41890,1,1,0.930520623922348
102,55026,55026,1,1,0.9544703364372253
103,45125,45125,1,1,0.8810839056968689
104,62840,62840,1,1,0.8999410569667816
105,7522,7522,1,1,0.9460747241973877
106,51228,51228,1,1,0.9373711347579956
107,75664,13948,0,2,0.9489985108375549
108,76933,76933,1,1,0.9567900002002716
109,64525,64525,1,1,0.8885712325572968
110,63294,62816,0,33,0.8739193379878998
111,28820,28820,1,1,0.952399730682373
112,61170,26452,0,2,0.8966179192066193
113,16219,16219,1,1,0.9608537256717682
114,73342,73342,1,1,0.9330889582633972
115,36869,36869,1,1,0.9234011471271515
116,35517,35517,1,1,0.9467143714427948
117,95027,95027,1,1,0.8859071433544159
118,16914,16914,1,1,0.9468449652194977
119,32438,39590,0,118,0.9216132462024689
120,58164,58164,1,1,0.8771410286426544
121,52779,52779,1,1,0.9549044370651245
122,1818,24972,0,142,0.8967321217060089
123,53469,53469,1,1,0.9124547243118286
124,86185,86185,1,1,0.9310663640499115
125,44980,44980,1,1,0.9915820360183716
126,94636,94636,1,1,0.9243728816509247
127,42365,42365,1,1,0.9029061794281006
128,41858,96766,0,64,0.9235683083534241
129,93310,93310,1,1,0.892536997795105
130,2425,2425,1,1,0.9250709116458893
131,48775,48775,1,1,0.9326298534870148
132,18382,18382,1,1,0.8723737001419067
133,72098,72098,1,1,0.9884203374385834
134,30253,30253,1,1,0.9263000190258026
135,73951,73951,1,1,0.9352655708789825
136,53456,53456,1,1,0.8838623762130737
137,19686,19686,1,1,0.8899589478969574
138,86783,98708,0,76,0.9441830813884735
139,25250,25250,1,1,0.9363394379615784
140,47703,46668,0,33,0.9064037799835205
141,68294,25883,0,2,0.8476905524730682
142,40726,40726,1,1,0.9537158012390137
143,65670,63297,0,6,0.8761678636074066
144,3684,3684,1,1,0.9644097685813904
145,63228,45501,0,8,0.9174276292324066
146,14734,14734,1,1,0.8854725062847137
147,41044,41044,1,1,0.9729147255420685
148,17253,17253,1,1,0.9579655826091766
149,8687,58880,0,2,0.9358829259872437
150,52764,37230,0,2,0.9084009826183319
151,85755,85755,1,1,0.974667489528656
152,82498,44656,0,110,0.8514731526374817
153,88998,88998,1,1,0.9061829447746277
154,21495,13997,0,33,0.9589786529541016
155,20084,20084,1,1,0.9719317853450775
156,348,41301,0,591,0.9148321747779846
157,96945,96945,1,1,0.9882410764694214
158,26024,66922,0,87,0.8984139561653137
159,35358,35358,1,1,0.8907662034034729
160,91644,82369,0,72,0.8846091032028198
161,34823,26246,0,1408,0.8631430268287659
162,66223,66223,1,1,0.9503972828388214
163,25189,25189,1,1,0.9701291620731354
164,86387,86387,1,1,0.9414152503013611
165,2995,2995,1,1,0.9383366703987122
166,99147,2756,0,187,0.9062076210975647
167,26453,49708,0,11,0.9670835733413696
168,61725,61725,1,1,0.9804799854755402
169,50939,50939,1,1,0.931776762008667
170,98600,98600,1,1,0.9814772009849548
171,48680,48680,1,1,0.9030232131481171
172,5192,5192,1,1,0.8678883612155914
173,2002,2002,1,1,0.9320312142372131
174,5964,41971,0,135,0.9050028324127197
175,1161,1161,1,1,0.9088979065418243
176,4447,7333,0,2,0.9003290832042694
177,32462,32462,1,1,0.9301185607910156
178,38600,38600,1,1,0.9716188311576843
179,26221,26221,1,1,0.9274700880050659
180,82155,82155,1,1,0.9314720034599304
181,15085,15085,1,1,0.8554342985153198
182,54732,54732,1,1,0.9482305347919464
183,88441,88441,1,1,0.8794756531715393
184,95400,95400,1,1,0.9502705037593842
185,75968,75968,1,1,0.8601472675800323
186,66175,96184,0,516,0.8471985459327698
187,64720,32351,0,4,0.8865009248256683
188,97387,97387,1,1,0.9505830705165863
189,58850,86619,0,19,0.9488639831542969
190,58338,58338,1,1,0.9367696642875671
191,19727,19727,1,1,0.9325064420700073
192,39511,39511,1,1,0.9324743449687958
193,39883,39883,1,1,0.9411346912384033
194,86088,86088,1,1,0.9556643664836884
195,42124,42124,1,1,0.9164426624774933
196,25053,92792,0,174,0.8942833840847015
197,61613,61613,1,1,0.9328584372997284
198,36639,36639,1,1,0.909221351146698
199,27211,13881,0,6,0.9545181691646576
200,33616,33616,1,1,0.9193551242351532
201,98973,55168,0,452,0.8890561461448669
202,71118,13556,0,2,0.8650893568992615
203,86427,86427,1,1,0.9482307136058807
204,34601,34601,1,1,0.9446332156658173
205,58736,58736,1,1,0.9610452950000763
206,22833,22833,1,1,0.9257233738899231
207,73660,73660,1,1,0.9610532820224762
208,30626,30626,1,1,0.9340323805809021
209,43743,12228,0,152,0.8598310053348541
210,78573,78573,1,1,0.9347328841686249
211,41325,41325,1,1,0.946736067533493
212,87465,87465,1,1,0.9112895131111145
213,86731,86731,1,1,0.9696825444698334
214,46402,46402,1,1,0.9403529763221741
215,99971,99971,1,1,0.9544319808483124
216,62944,62944,1,1,0.9626666903495789
217,24760,50110,0,2062,0.9449621438980103
218,11969,11969,1,1,0.9507750868797302
