qid,gold_e2,pred_e2,em,x_rank,confidence
0,105751,105751,1,1,0.9081715643405914
1,73595,73595,1,1,0.9000885784626007
2,115231,115231,1,1,0.9220104515552521
3,71672,71672,1,1,0.8959655165672302
4,103216,103216,1,1,0.9464822709560394
5,80867,80867,1,1,0.9008305370807648
6,95905,95905,1,1,0.8422706425189972
7,128564,128564,1,1,0.929584413766861
8,71913,71913,1,1,0.8935878574848175
9,126532,109011,0,4,0.9038209319114685
10,99499,99499,1,1,0.9221144318580627
11,124222,124222,1,1,0.8406588733196259
12,70189,70189,1,1,0.8736117482185364
13,109707,109707,1,1,0.9150673747062683
14,119525,119525,1,1,0.9241316318511963
15,127995,127995,1,1,0.9435734748840332
16,120562,120562,1,1,0.937035322189331
17,70566,70566,1,1,0.9593043923377991
18,96208,96208,1,1,0.95607128739357
19,74434,74434,1,1,0.9166175723075867
20,126311,126311,1,1,0.9025270640850067
21,75131,75131,1,1,0.9063785374164581
22,113973,113973,1,1,0.9067176282405853
23,101445,101445,1,1,0.8880153894424438
24,83398,83398,1,1,0.9279734194278717
25,125163,125163,1,1,0.9251455962657928
26,78790,78790,1,1,0.9353131651878357
27,128116,128116,1,1,0.8649269044399261
28,99182,99182,1,1,0.9483400285243988
29,112890,112890,1,1,0.8802517056465149
30,105266,105266,1,1,0.9356850385665894
31,79330,79330,1,1,0.8985829055309296
32,128212,128212,1,1,0.9101182222366333
33,79864,79864,1,1,0.9285838603973389
34,119299,119299,1,1,0.9386340379714966
35,116320,116320,1,1,0.9374103248119354
36,139090,139090,1,1,0.9692416191101074
37,98903,98903,1,1,0.9609297215938568
38,70020,70020,1,1,0.923537403345108
39,116305,116305,1,1,0.9168303906917572
40,119379,119379,1,1,0.9504553079605103
41,108798,108798,1,1,0.9695494771003723
42,80079,80079,1,1,0.881830096244812
43,127246,127246,1,1,0.9147084057331085
44,100575,100575,1,1,0.9178690016269684
45,114687,114687,1,1,0.9476701617240906
46,110906,110906,1,1,0.8749022483825684
47,95592,95592,1,1,0.9352817237377167
48,134205,134205,1,1,0.9134312868118286
49,92182,92182,1,1,0.9327689707279205
50,127296,127296,1,1,0.9502403140068054
51,107045,107045,1,1,0.8999525308609009
52,120805,120805,1,1,0.8806013762950897
53,116935,116935,1,1,0.9384217858314514
54,128439,128439,1,1,0.9102147221565247
55,132220,132220,1,1,0.8494971990585327
56,104756,104756,1,1,0.8594397306442261
57,85500,95815,0,11,0.8471942245960236
58,79376,79376,1,1,0.9512505829334259
59,78261,78261,1,1,0.9651064872741699
60,105482,105482,1,1,0.8752436637878418
61,123618,123618,1,1,0.9137521982192993
62,110940,110940,1,1,0.9280470609664917
63,124450,124450,1,1,0.9097178280353546
64,138861,138861,1,1,0.9492790400981903
65,119909,119909,1,1,0.9344998598098755
66,136918,136918,1,1,0.9163116216659546
67,103124,103124,1,1,0.8649984300136566
68,98681,98681,1,1,0.9032059013843536
69,110779,110779,1,1,0.8988295495510101
70,88781,88781,1,1,0.8993268609046936
71,122221,122221,1,1,0.9391718804836273
72,138031,138031,1,1,0.9629800617694855
73,133840,133840,1,1,0.9432171583175659
74,99884,99884,1,1,0.9452502727508545
75,117215,117215,1,1,0.9519626498222351
76,97839,97839,1,1,0.903139740228653
77,106454,106454,1,1,0.8750917613506317
78,94990,94990,1,1,0.8768164813518524
79,102570,102570,1,1,0.9266743361949921
80,90910,90910,1,1,0.8976078033447266
81,86036,86036,1,1,0.9407856166362762
82,78868,78868,1,1,0.90752312541008
83,128403,128403,1,1,0.9044783115386963
84,88616,88616,1,1,0.91077920794487
85,139763,139763,1,1,0.9547828733921051
86,126614,126614,1,1,0.9491790235042572
87,134910,134910,1,1,0.9381875097751617
88,114102,114102,1,1,0.975675493478775
89,93874,103210,0,2,0.916254997253418
90,70571,70571,1,1,0.9209741950035095
91,136895,136895,1,1,0.8991198837757111
92,72804,72804,1,1,0.9563009142875671
93,117900,117900,1,1,0.8643066883087158
94,121748,106141,0,2,0.9163371026515961
95,86659,86659,1,1,0.8584238886833191
96,75255,75255,1,1,0.8919114172458649
97,76050,76050,1,1,0.883802056312561
98,83221,83221,1,1,0.9754189550876617
99,105269,105269,1,1,0.8853345513343811
100,85622,85622,1,1,0.8992000818252563
101,108262,108262,1,1,0.9288867712020874
102,133149,133149,1,1,0.9191113114356995
103,113885,113885,1,1,0.880797266960144
104,99821,99821,1,1,0.878464013338089
105,71140,71140,1,1,0.9447002112865448
106,136471,136471,1,1,0.9313538074493408
107,126029,126029,1,1,0.9444809556007385
108,96941,96941,1,1,0.9277001321315765
109,95273,95273,1,1,0.9239246249198914
110,108286,108286,1,1,0.9417833983898163
111,114092,114092,1,1,0.9372227787971497
112,131735,192605,0,53,0.8498410880565643
113,131856,131856,1,1,0.9661915898323059
114,86081,86081,1,1,0.9630677700042725
115,73297,73297,1,1,0.8684125542640686
116,111802,111802,1,1,0.9393483400344849
117,96860,78617,0,2,0.8565981388092041
118,113658,113658,1,1,0.9265405237674713
119,129588,129588,1,1,0.8936140239238739
120,114969,114969,1,1,0.8562764227390289
