qid,gold_e2,pred_e2,em,x_rank,confidence
0,105751,184820,0,620,0.5287735849056604
1,73595,188450,0,32657,0.5287735849056604
2,115231,115231,1,1,0.9765625000000001
3,71672,178011,0,8153,0.5287735849056604
4,103216,119396,0,1593,0.5287735849056604
5,80867,192161,0,3,0.7847256147207295
6,95905,85634,0,10511,0.5287735849056604
7,128564,80540,0,21,0.953125
8,71913,111788,0,44,0.5707811684924361
9,126532,126532,1,1,0.88125
10,99499,99499,1,1,0.9838709677419354
11,124222,185872,0,7,0.9178082191780822
12,70189,191932,0,10963,0.5287735849056604
13,109707,199899,0,4,0.5287735849056604
14,119525,119525,1,1,0.9919354838709679
15,127995,177839,0,2,0.9841269841269842
16,120562,185047,0,3009,0.5287735849056604
17,70566,95810,0,10,0.9919354838709679
18,96208,112821,0,3,0.8027705627705627
19,74434,74434,1,1,0.6713483146067416
20,126311,131194,0,3335,0.7132307692307692
21,75131,80637,0,1689,0.5287735849056604
22,113973,123013,0,5,0.7003353973168214
23,101445,122285,0,61,0.5287735849056604
24,83398,116903,0,370,0.5287735849056604
25,125163,94105,0,4,0.9485294117647058
26,78790,78790,1,1,0.9841269841269842
27,128116,180935,0,2,0.5287735849056604
28,99182,76552,0,2,0.9760624679979518
29,112890,190459,0,13101,0.5287735849056604
30,105266,131216,0,80133,0.5287735849056604
31,79330,71591,0,6,0.8043956043956044
32,128212,128212,1,1,0.9760624679979518
33,79864,79864,1,1,0.863095238095238
34,119299,119299,1,1,1.0
35,116320,119862,0,6568,0.5287735849056604
36,139090,90618,0,16041,0.5287735849056604
37,98903,78223,0,17401,0.5287735849056604
38,70020,73916,0,6,0.8778782894736842
39,116305,91406,0,141,0.5287735849056604
40,119379,193843,0,17560,0.5287735849056604
41,108798,108798,1,1,0.8961038961038961
42,80079,186019,0,357,0.5287735849056604
43,127246,122390,0,15,0.9122767857142856
44,100575,180110,0,32,0.9215129486597001
45,114687,114687,1,1,0.9404648956356736
46,110906,110906,1,1,0.725925925925926
47,95592,95592,1,1,0.9295774647887324
48,134205,139831,0,10,0.8943707191780821
49,92182,92182,1,1,0.9841269841269842
50,127296,127296,1,1,1.0
51,107045,131968,0,7,0.9552238805970148
52,120805,111783,0,108,0.5287735849056604
53,116935,198306,0,6,0.680473372781065
54,128439,131582,0,9153,0.5991709471028205
55,132220,93206,0,6,0.8978354978354978
56,104756,179471,0,30609,0.5287735849056604
57,85500,99041,0,2,1.0
58,79376,118248,0,79,0.6507783882783883
59,78261,78261,1,1,0.9919354838709679
60,105482,171685,0,32861,0.5287735849056604
61,123618,134689,0,26,0.9313519813519814
62,110940,106875,0,3,0.685466609589041
63,124450,88319,0,21220,0.9326563958916899
