qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,The team that last won the World Series with Lou Seal as their mascot was the San Francisco Giants in 201,0,0.16666666666666666,0.5299898562952876,2855.2157999947667,False,graphrag,12
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,Al Rasheed University College,0,0.3333333333333333,0.45076748356223106,2664.0163001138717,False,graphrag,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Judaism,1,1.0,0.5761566376313567,2826.460599899292,False,graphrag,3
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Germany,1,1.0,0.4953959062695503,2611.9737001135945,False,graphrag,5
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Pashto language and Islam,0,0.3333333333333333,0.5342442775145173,2503.1528000254184,False,graphrag,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Guatemala,1,1.0,0.5689068790525198,2433.817000128329,False,graphrag,1
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,Muammar Gaddafi,0,0.0,0.6629899181425571,2435.1329999044538,False,graphrag,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,The University of Northern Colorado. To determine the educational institution that has a football sports team named Northern Colorado Bears located in Gree,0,0.41379310344827586,0.6096308967098594,2811.1276000272483,False,graphrag,1
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Spanish Language,1,1.0,0.4025225583463907,2532.5011999811977,False,graphrag,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,"The country with Northern District uses a constitutional republic form of government. To determine this, we can follow these steps:",0,0.0,0.47896465566009283,2492.928200168535,False,graphrag,0
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Brazil and Portugal,0,0.0,0.42313042655587196,2514.820999931544,False,graphrag,0
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,"To determine which languages are spoken in the Nord-Ouest Department of France, we need to follow these steps:",0,0.0,0.49590852949768305,2467.7324001677334,False,graphrag,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,Brad Paisley,0,0.0,0.3983238721266389,2407.518899999559,False,graphrag,0
