qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,1993,0,0.0,0.7173531651496887,1600.0800249967142,False,vanilla_rag,0
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,University of Missouri School of Music,0,0.25,0.6089927554130554,1601.3791310033412,False,vanilla_rag,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Judaism,1,1.0,0.6963920593261719,1603.8144409976667,False,vanilla_rag,4
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Germany,1,1.0,0.6100730895996094,1600.4781420051586,False,vanilla_rag,4
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Islam,0,0.6666666666666666,0.7620485424995422,1602.4120839938405,False,vanilla_rag,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Guatemala,1,1.0,0.7051447033882141,1478.941367000516,False,vanilla_rag,1
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,m.0h89drz,0,0.0,0.802558183670044,1616.8151200035936,False,vanilla_rag,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,University of Northern Colorado,1,1.0,0.8148295283317566,1610.1817439994193,False,vanilla_rag,1
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Spanish,0,0.6666666666666666,0.6450929641723633,1611.9774529943243,False,vanilla_rag,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,Representative democracy,0,0.0,0.5652204155921936,1601.4923910042853,False,vanilla_rag,0
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Timor-Leste,0,0.0,0.5960757732391357,1607.8108189976774,False,vanilla_rag,0
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,Frisian,0,0.0,0.6131961345672607,1598.864252999192,False,vanilla_rag,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,m.0j5ydnh,0,0.0,0.6732439994812012,1600.8816169996862,False,vanilla_rag,0
WebQTrn-849_586aae7703d62aa44eb79759e1563309,What European Union country sharing borders with Germany contains the Lejre Municipality?,Denmark,Denmark,1,1.0,0.6212127804756165,1605.4396889958298,False,vanilla_rag,0
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,2014 World Series,2002,0,0.0,0.5811678171157837,1612.3615679971408,False,vanilla_rag,4
WebQTrn-2209_c1374f388d9cc7a78365860c91218362,What year did the basketball team coached by Brad Stevens win the championship?,2008 NBA Finals,2018,0,0.0,0.6710386872291565,1601.4286589997937,False,vanilla_rag,0
WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,What country speaks Germanic languages and uses the East German mark as currency?,East Germany,East Germany,1,1.0,0.767368733882904,1596.9720680004684,False,vanilla_rag,3
WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,Which globe region with the UTCâ05:00 time zone does the Dominican Republic call home?,Greater Antilles,Greater Antilles,1,1.0,0.7667843699455261,1601.9776569955866,False,vanilla_rag,0
WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,What was the name of the team that won the 2008 FIFA Club World Cup Final championship?,Newton Heath L&YR F.C.,Manchester United F.C.,0,0.4,0.6842365264892578,516.1112040004809,False,vanilla_rag,0
WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,Which of JFK's brother held the latest governmental position?,Robert F. Kennedy,Robert F. Kennedy,1,1.0,0.695528507232666,1602.6879709970672,False,vanilla_rag,0
WebQTest-1797_68a33792b0a1e18937dcd4b3f50d941e,What group fought in the Battle of Vicksburg that was based in Montgomery?,Confederate States of America,There is no information provided about a group fighting in the Battle of Vicksburg that was based in Montgomery. The facts,0,0.08,0.6243376135826111,1599.6904220010038,False,vanilla_rag,0
WebQTrn-1864_9dc4e22121d3a46d45b8f9bd9e8c7013,Which country that is situated in the ASEAN Common Time Zone has the largest population?,India,Indonesia,0,0.0,0.7322112917900085,1601.5800099994522,False,vanilla_rag,0
WebQTrn-1841_b8df00139e3fa59b8633ef551ed8ca9f,What popular sport in Spain has a team that won the 2010 FIFA World Cup championship?,Spain national football team,soccer,0,0.0,0.7623938918113708,1610.371089002001,False,vanilla_rag,3
WebQTrn-124_f3990dc9aa470fa81ec4cf2912a9924f,Which movie with a character called Ajila was directed by Angelina Jolie?,In the Land of Blood and Honey,In the Land of Blood and Honey,1,1.0,0.6668651700019836,1607.2288759969524,False,vanilla_rag,2
WebQTest-538_49b4e9304f18a0a1cbe37bb162f61131,WHat movies have the actress who is an alumni for West Reading El Ctr a part of?,Hannah Montana: The Movie,m.0vb97fx,0,0.0,0.5370029807090759,1604.090487002395,False,vanilla_rag,0
WebQTrn-2722_8babdaa9ecd05a72e3227b43b1f98771,For what did the personage who was educated at the Dewitt High School win a gold medal?,Gymnastics at the 2012 Summer Olympics – Women's artistic team all-around,Olympic medal,0,0.0,0.5301856398582458,1601.7855649988633,False,vanilla_rag,0
WebQTest-983_ccda690fb745939d0a62c3fbcf3e3769,"Where did Tennessee Williams go to college where the newspaper is ""The Maneater""?",University of Missouri,University of Missouri,1,1.0,0.6767694354057312,1601.965707995987,False,vanilla_rag,0
WebQTrn-1770_8db36acba886620a06031d39165d78de,Who is the daughter of the artist who had a concert tour called I Am... World Tour?,Blue Ivy,Sasha Fierce,0,0.0,0.6556913256645203,1606.5149429996382,False,vanilla_rag,0
WebQTrn-1817_89670933168c3f4e5195a241f9d46e76,What are the governmental types in the country whose national anthem is Tien Quan Ca?,Communist state,National anthem,0,0.0,0.7390820980072021,1601.5968430001521,False,vanilla_rag,0
WebQTrn-849_1eb0f1ddd5074471fbe3a7f6b575f202,Copenhagen is the capital of which German neighboring country?,Denmark,Denmark,1,1.0,0.713745653629303,1595.450153996353,False,vanilla_rag,0
WebQTrn-2152_92fba37c9723caee68665ad9a5e4a468,Which of team owners Tom Hicks sports team are in the American League West?,Texas Rangers,Texas Rangers,1,1.0,0.6835326552391052,1602.6364659992396,False,vanilla_rag,4
