qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Jamaican Creole English Language,1,1.0,1.0,73.69315799951437,False,quest_kg,2
WebQTest-1,what did james k polk do before he was president,United States Representative,Polk added extensive and valuable territory to the United States and restored the independence of the Treasury.,0,0.4511278195488722,1.0,69.34770599764306,False,quest_kg,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Barlow Family Album,0,0.0,1.0,54.809274999570334,False,quest_kg,0
WebQTest-6,where is jamarcus russell from,Mobile,JaMarcus Russell at Falcons at Raiders 11-2-08,0,0.0,1.0,68.92270200114581,False,quest_kg,0
WebQTest-7,where was george washington carver from,Diamond,Carver Center for Arts and Technology,0,0.0,1.0,68.30744299804792,False,quest_kg,45
WebQTest-8,what else did ben franklin invent,Lightning rod,"Franklin abandoned his electrical experiments in late 1747, when French and Spanish privateers attacked ships and settlements on the Delaware River,  and the French and the Native Americans attacked Pennsylvania's frontiers.",0,0.058823529411764705,1.0,76.0583420014882,False,quest_kg,23
WebQTest-9,who was richard nixon married to,Pat Nixon,"In February, 1972, Nixon landed in China, where he had a symbolic meeting with Mao Zedong and negotiated at length with Chou en Lai.",0,0.07692307692307693,1.0,73.91247600025963,False,quest_kg,21
WebQTest-12,who is governor of ohio 2011,John Kasich,"United States Senate elections, 2010",0,0.0,1.0,42.75164200225845,False,quest_kg,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,"In Vienna, in June, 1961, Kennedy had an unproductive meeting with Soviet Prime Minister Krushchev.",0,0.0,1.0,68.7176030005503,False,quest_kg,10
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Fukushima Daiichi nuclear disaster,0,0.0,1.0,37.87017799913883,False,quest_kg,0
WebQTest-16,what countries are part of the uk,Wales,UK constituent country,0,0.0,1.0,65.3093760010961,False,quest_kg,23
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Eastern Time Zone,0,0.6666666666666666,1.0,58.247509001375875,False,quest_kg,12
WebQTest-20,what did st augustine do,Writer,Introduction to the philosophy of Saint Augustine; selected readings and commentaries,0,0.0,1.0,47.206832001393195,False,quest_kg,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Keyshia & Daniel: Family First,0,0.0,1.0,69.11224899886292,False,quest_kg,24
WebQTest-22,what kind government does egypt have,Semi-presidential system,Egyptian Nation Party,0,0.0,1.0,47.095451001951005,False,quest_kg,25
WebQTest-23,what town was martin luther king assassinated in,Memphis,Birmingham 1963: Keep Moving,0,0.0,1.0,65.99187699976028,False,quest_kg,37
WebQTest-24,where did edgar allan poe died,Baltimore,"It was now that he wrote his most famous poem \""The Raven\"" which appeared in January 1845 in the \""American Review\"".",0,0.0,1.0,68.9083710021805,False,quest_kg,0
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,Greater Southern Home Recreation,0,0.0,1.0,51.28799399972195,False,quest_kg,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"Queensland state election, 2015",0,0.0,1.0,49.22514499776298,False,quest_kg,5
WebQTest-31,where did andy murray started playing tennis,2005,Dubai Tennis Championships,0,0.0,1.0,62.06486200244399,False,quest_kg,0
WebQTest-32,what is the australian dollar called,AUD,Kiribati dollar,0,0.0,1.0,67.93634600035148,False,quest_kg,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Scandinavia,0,0.0,1.0,56.53001600148855,False,quest_kg,0
WebQTest-34,who did cam newton sign with,Carolina Panthers,Cecil Newton,0,0.0,1.0,84.5440610028163,False,quest_kg,0
WebQTest-35,what county is frederick md in,Frederick County,Maryland,0,0.0,1.0,56.48548099998152,False,quest_kg,2
WebQTest-36,what highschool did harper lee go to,Monroe County High School,Jem Finch,0,0.0,1.0,58.97676899985527,False,quest_kg,0
WebQTest-37,what timezone is utah in,Mountain Time Zone,Time zone(s),0,0.6666666666666666,1.0,53.68238300070516,False,quest_kg,28
WebQTest-38,who did george w. bush run against for the second term,John Kerry,Prescott Bush,0,0.0,1.0,75.89018500220845,False,quest_kg,0
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,Music artist,0,0.0,1.0,169.7052960007568,False,quest_kg,0
WebQTest-41,where is the galapagos islands located on a world map,Ecuador,Montego Bay,0,0.0,1.0,122.5884320010664,False,quest_kg,0
WebQTest-42,what are the songs that justin bieber wrote,Somebody to Love,Justin Timberlake,0,0.0,1.0,60.683203002554365,False,quest_kg,0
WebQTest-43,what did george clemenceau do,Physician,Paris,0,0.0,1.0,159.76060399771086,False,quest_kg,0
WebQTest-44,what is the state flower of arizona,Saguaro,"United States Senate elections, 2006",0,0.0,1.0,52.34309599836706,False,quest_kg,0
WebQTest-45,where was rihanna born and raised,Saint Michael Parish,Yves Bole,0,0.0,1.0,57.04290199719253,False,quest_kg,0
WebQTest-46,what year did president william henry harrison take office,1841-03-04,Northwest Indian War,0,0.0,1.0,52.535744001943385,False,quest_kg,0
WebQTest-47,where george lopez was born,Mission Hills,France,0,0.0,1.0,163.64536699984455,False,quest_kg,0
WebQTest-48,where are samsung based,Suwon,Egypt,0,0.0,1.0,153.5159859995474,False,quest_kg,0
WebQTest-49,what did the islamic people believe in,Ṭūbā,United Kingdom,0,0.0,1.0,31.991668001865037,False,quest_kg,0
WebQTest-51,who will play mr gray in the film,Jamie Dornan,The Tarnished Angels,0,0.0,1.0,218.4497320013179,False,quest_kg,0
WebQTest-52,what did george orwell died of,Tuberculosis,William of Ockham,0,0.0,1.0,70.30931199915358,False,quest_kg,0
WebQTest-54,what country did adolf hitler control,Nazi Germany,Hokkaido,0,0.0,1.0,161.7311449990666,False,quest_kg,0
WebQTest-55,who is michael buble,Actor,Philadelphia,0,0.0,1.0,173.46755399921676,False,quest_kg,0
WebQTest-56,what county is kansas city kansas,Wyandotte County,Stromsburg,0,0.0,1.0,132.9258879995905,False,quest_kg,0
WebQTest-58,who did jackie robinson first play for,UCLA Bruins football,Jem Finch,0,0.0,1.0,173.0875709981774,False,quest_kg,0
WebQTest-59,when did annie open,1976-08-10,Detroit,0,0.0,1.0,145.65400699939346,False,quest_kg,0
WebQTest-60,where did eleanor roosevelt die,Manhattan,Theodore Roosevelt,0,0.0,1.0,71.97970099878148,False,quest_kg,0
WebQTest-61,what are the religions practiced in indonesia,Catholicism,Old Testament,0,0.0,1.0,101.55568800109904,False,quest_kg,11
WebQTest-62,what was jesse james killed with,Firearm,Los Angeles,0,0.0,1.0,139.0128849998291,False,quest_kg,12
WebQTest-63,who was vp for lincoln,Hannibal Hamlin,"I have almost reached the regrettable conclusion that the Negro's great stumbling block in his stride toward freedom is not the White Citizen's Councilor or the Ku Klux Klanner, but the white moderate.",0,0.0,1.0,71.3688860014372,False,quest_kg,0
WebQTest-64,what other books did charles dickens write,A Christmas Carol (Chrysalis Children's Classics Series),Edgar Allan Poe and Arthur Machen,0,0.2222222222222222,1.0,75.44335100101307,False,quest_kg,0
WebQTest-65,who was the first dictator of the soviet union,Vladimir Lenin,Fyodor Dostoyevsky,0,0.0,1.0,134.79845800247858,False,quest_kg,0
WebQTest-66,what is the currency of puerto rico called,United States Dollar,1831 Barbados–Louisiana hurricane,0,0.0,1.0,64.19405099950382,False,quest_kg,38
WebQTest-67,what kind of cancer did carl wilson have,Lung cancer,Golfer's elbow,0,0.0,1.0,157.82322099767043,False,quest_kg,0
WebQTest-68,who plays the voice of kitt in knight rider,William Daniels,Musician,0,0.0,1.0,114.55803499848116,False,quest_kg,0
WebQTest-69,what county is brentwood tennessee in,Williamson County,Shreveport,0,0.0,1.0,104.19287499826169,False,quest_kg,0
WebQTest-71,who did michael j fox marry,Tracy Pollan,Flannery O'Connor,0,0.0,1.0,144.0947760020208,False,quest_kg,0
WebQTest-72,what battles did stonewall jackson fight in,Manassas Station Operations,James K. Polk,0,0.0,1.0,56.202045001555234,False,quest_kg,0
WebQTest-73,what language do the maasai tribe speak,Maasai Language,Hittites,0,0.0,1.0,144.31993000107468,False,quest_kg,0
WebQTest-74,who did benjamin franklin get married to,Deborah Read,"In June, 1781, he joined John Adams and Jay in negotiating a peace treaty with Great Britain.",0,0.0,1.0,69.57575700289453,False,quest_kg,0
WebQTest-75,what disease did patrick swayze died from,Pancreatic cancer,Portland Parish,0,0.0,1.0,139.193510000041,False,quest_kg,0
