qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method
WebQTest-0,what does jamaican people speak,Jamaican English,,0,0.0,1.0,14975753.853021,True,quest_kg
WebQTest-1,what did james k polk do before he was president,United States Representative,,0,0.0,1.0,78576.51070000065,True,quest_kg
WebQTest-3,who plays ken barlow in coronation street,William Roache,,0,0.0,1.0,59375.49984799989,True,quest_kg
WebQTest-6,where is jamarcus russell from,Mobile,,0,0.0,1.0,65936.10494499808,True,quest_kg
WebQTest-7,where was george washington carver from,Diamond,,0,0.0,1.0,72817.49407000098,True,quest_kg
WebQTest-8,what else did ben franklin invent,Lightning rod,,0,0.0,1.0,30076.147657000547,True,quest_kg
WebQTest-9,who was richard nixon married to,Pat Nixon,,0,0.0,1.0,39143.070762002026,True,quest_kg
WebQTest-12,who is governor of ohio 2011,John Kasich,,0,0.0,1.0,32152.97338399978,True,quest_kg
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,,0,0.0,1.0,50090.034045999346,True,quest_kg
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,,0,0.0,1.0,43913.96510100094,True,quest_kg
WebQTest-16,what countries are part of the uk,Wales,,0,0.0,1.0,76668.98032899917,True,quest_kg
WebQTest-19,what is my timezone in louisiana,Central Time Zone,,0,0.0,1.0,56096.09604599973,True,quest_kg
WebQTest-20,what did st augustine do,Writer,,0,0.0,1.0,29520.797758999834,True,quest_kg
WebQTest-21,who is keyshia cole dad,Sal Gibson,,0,0.0,1.0,86159.24782900038,True,quest_kg
WebQTest-22,what kind government does egypt have,Semi-presidential system,,0,0.0,1.0,58737.870576002024,True,quest_kg
WebQTest-23,what town was martin luther king assassinated in,Memphis,,0,0.0,1.0,36110.69426099857,True,quest_kg
WebQTest-24,where did edgar allan poe died,Baltimore,,0,0.0,1.0,102079.80579499781,True,quest_kg
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,,0,0.0,1.0,76274.34905399787,True,quest_kg
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,,0,0.0,1.0,84182.70023199875,True,quest_kg
WebQTest-31,where did andy murray started playing tennis,2005,,0,0.0,1.0,50878.77396499971,True,quest_kg
WebQTest-32,what is the australian dollar called,AUD,,0,0.0,1.0,83106.06657600147,True,quest_kg
WebQTest-33,what timezone is sweden,Central European Time Zone,,0,0.0,1.0,79589.22489900215,True,quest_kg
WebQTest-34,who did cam newton sign with,Carolina Panthers,,0,0.0,1.0,92125.33627000084,True,quest_kg
WebQTest-35,what county is frederick md in,Frederick County,,0,0.0,1.0,84556.52290600119,True,quest_kg
WebQTest-36,what highschool did harper lee go to,Monroe County High School,,0,0.0,1.0,70934.07834200116,True,quest_kg
WebQTest-37,what timezone is utah in,Mountain Time Zone,,0,0.0,1.0,90495.40441299905,True,quest_kg
WebQTest-38,who did george w. bush run against for the second term,John Kerry,,0,0.0,1.0,37985.80815399691,True,quest_kg
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,,0,0.0,1.0,79487.27179599882,True,quest_kg
WebQTest-41,where is the galapagos islands located on a world map,Ecuador,,0,0.0,1.0,19380.71721400047,True,quest_kg
WebQTest-42,what are the songs that justin bieber wrote,Somebody to Love,,0,0.0,1.0,34468.05545400275,True,quest_kg
WebQTest-43,what did george clemenceau do,Physician,,0,0.0,1.0,77744.43526300092,True,quest_kg
WebQTest-44,what is the state flower of arizona,Saguaro,,0,0.0,1.0,25654.541224997956,True,quest_kg
WebQTest-45,where was rihanna born and raised,Saint Michael Parish,,0,0.0,1.0,56547.69939899779,True,quest_kg
WebQTest-46,what year did president william henry harrison take office,1841-03-04,,0,0.0,1.0,65574.99992800149,True,quest_kg
WebQTest-47,where george lopez was born,Mission Hills,,0,0.0,1.0,77593.99834899887,True,quest_kg
WebQTest-48,where are samsung based,Suwon,,0,0.0,1.0,17323.33756400112,True,quest_kg
WebQTest-49,what did the islamic people believe in,Ṭūbā,,0,0.0,1.0,18599.772170000506,True,quest_kg
WebQTest-51,who will play mr gray in the film,Jamie Dornan,,0,0.0,1.0,91063.67971099826,True,quest_kg
WebQTest-52,what did george orwell died of,Tuberculosis,,0,0.0,1.0,86886.99714799804,True,quest_kg
WebQTest-54,what country did adolf hitler control,Nazi Germany,,0,0.0,1.0,104446.72370600165,True,quest_kg
WebQTest-55,who is michael buble,Actor,,0,0.0,1.0,66199.88404700052,True,quest_kg
WebQTest-56,what county is kansas city kansas,Wyandotte County,,0,0.0,1.0,74183.47384300068,True,quest_kg
WebQTest-58,who did jackie robinson first play for,UCLA Bruins football,,0,0.0,1.0,79648.24919999955,True,quest_kg
WebQTest-59,when did annie open,1976-08-10,,0,0.0,1.0,71946.552297999,True,quest_kg
WebQTest-60,where did eleanor roosevelt die,Manhattan,,0,0.0,1.0,95229.44463599924,True,quest_kg
WebQTest-61,what are the religions practiced in indonesia,Catholicism,,0,0.0,1.0,51134.995275999245,True,quest_kg
WebQTest-62,what was jesse james killed with,Firearm,,0,0.0,1.0,26081.614055998216,True,quest_kg
WebQTest-63,who was vp for lincoln,Hannibal Hamlin,,0,0.0,1.0,34797.35698899822,True,quest_kg
WebQTest-64,what other books did charles dickens write,A Christmas Carol (Chrysalis Children's Classics Series),,0,0.0,1.0,29529.046263000055,True,quest_kg
WebQTest-65,who was the first dictator of the soviet union,Vladimir Lenin,,0,0.0,1.0,42218.429145999835,True,quest_kg
WebQTest-66,what is the currency of puerto rico called,United States Dollar,,0,0.0,1.0,66181.90800799857,True,quest_kg
WebQTest-67,what kind of cancer did carl wilson have,Lung cancer,,0,0.0,1.0,85135.91785899916,True,quest_kg
WebQTest-68,who plays the voice of kitt in knight rider,William Daniels,,0,0.0,1.0,69234.33167199983,True,quest_kg
WebQTest-69,what county is brentwood tennessee in,Williamson County,,0,0.0,1.0,132901.54336399792,True,quest_kg
WebQTest-71,who did michael j fox marry,Tracy Pollan,,0,0.0,1.0,21585.146590001386,True,quest_kg
WebQTest-72,what battles did stonewall jackson fight in,Manassas Station Operations,,0,0.0,1.0,30602.83599399918,True,quest_kg
WebQTest-73,what language do the maasai tribe speak,Maasai Language,,0,0.0,1.0,22686.98565700106,True,quest_kg
WebQTest-74,who did benjamin franklin get married to,Deborah Read,,0,0.0,1.0,43435.28585999957,True,quest_kg
WebQTest-75,what disease did patrick swayze died from,Pancreatic cancer,,0,0.0,1.0,25116.058609000902,True,quest_kg
