qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method
icews18_0,"(head=459, rel=1, ?, ts=6480)",471,,0,0.0,0.9634752953439525,514185.5880459989,True,quest_kg
icews18_1,"(head=5205, rel=90, ?, ts=6480)",464,,0,0.0,0.9360937902369192,112734.21927299933,True,quest_kg
icews18_2,"(head=463, rel=69, ?, ts=6480)",458,,0,0.0,0.9722710065319282,28031.632296995667,True,quest_kg
icews18_3,"(head=3093, rel=63, ?, ts=6480)",57,,0,0.0,0.9888524278897617,115691.2166530019,True,quest_kg
icews18_4,"(head=17519, rel=151, ?, ts=6480)",3881,,0,0.0,0.8984305221056985,98173.16494099941,True,quest_kg
icews18_5,"(head=4935, rel=0, ?, ts=6480)",7803,,0,0.0,0.9117755720977815,18811.509156003012,True,quest_kg
icews18_6,"(head=2820, rel=4, ?, ts=6480)",458,,0,0.0,0.7839127258050141,15696.693593999953,True,quest_kg
icews18_7,"(head=64, rel=1, ?, ts=6480)",458,,0,0.0,0.980435004004556,36971.3136759965,True,quest_kg
icews18_8,"(head=42, rel=20, ?, ts=6480)",4145,,0,0.0,0.9652186838265889,50558.21555399598,True,quest_kg
icews18_9,"(head=42, rel=20, ?, ts=6480)",19,,0,0.0,0.9652186838265889,313.6616289993981,True,quest_kg
icews18_10,"(head=42, rel=20, ?, ts=6480)",1449,,0,0.0,0.9652186838265889,309.2017700037104,True,quest_kg
icews18_11,"(head=445, rel=34, ?, ts=6480)",477,,0,0.0,0.8645455614775505,54974.11105399806,True,quest_kg
icews18_12,"(head=1323, rel=0, ?, ts=6480)",344,,0,0.0,0.959797308544292,28068.296465004096,True,quest_kg
icews18_13,"(head=100, rel=28, ?, ts=6480)",390,,0,0.0,0.9511040941159047,47840.75209600269,True,quest_kg
icews18_14,"(head=455, rel=0, ?, ts=6480)",765,,0,0.0,0.9538299661034975,21920.678245005547,True,quest_kg
icews18_15,"(head=44, rel=20, ?, ts=6480)",4145,,0,0.0,0.9768312287879313,27253.774370001338,True,quest_kg
icews18_16,"(head=44, rel=20, ?, ts=6480)",19,,0,0.0,0.9768312287879313,272.1965620003175,True,quest_kg
icews18_17,"(head=44, rel=20, ?, ts=6480)",1449,,0,0.0,0.9768312287879313,272.0801789982943,True,quest_kg
icews18_18,"(head=9731, rel=0, ?, ts=6480)",445,,0,0.0,0.9730731776769673,34231.788097997196,True,quest_kg
icews18_19,"(head=298, rel=6, ?, ts=6480)",397,,0,0.0,0.9233693510723321,12356.593476004491,True,quest_kg
icews18_20,"(head=19, rel=20, ?, ts=6480)",161,,0,0.0,0.8611517563064865,29590.6186850043,True,quest_kg
icews18_21,"(head=19, rel=2, ?, ts=6480)",42,,0,0.0,0.8408878644010167,693.877222998708,True,quest_kg
icews18_22,"(head=42, rel=20, ?, ts=6480)",41,,0,0.0,0.9652186838265889,318.82233299984364,True,quest_kg
icews18_23,"(head=19, rel=34, ?, ts=6480)",122,,0,0.0,0.9138779735976695,12121.095965994755,True,quest_kg
icews18_24,"(head=19, rel=5, ?, ts=6480)",42,,0,0.0,0.8011893655320333,403.851039998699,True,quest_kg
icews18_25,"(head=19, rel=43, ?, ts=6480)",20,,0,0.0,0.8574173042440293,2230.796346004354,True,quest_kg
icews18_26,"(head=2274, rel=1, ?, ts=6480)",44,,0,0.0,0.8314263760127297,31086.36131000094,True,quest_kg
icews18_27,"(head=21995, rel=31, ?, ts=6480)",9096,,0,0.0,0.8764349759230121,66125.99396499718,True,quest_kg
icews18_28,"(head=9096, rel=32, ?, ts=6480)",21995,,0,0.0,0.9434223227922536,23655.321348000143,True,quest_kg
icews18_29,"(head=8044, rel=0, ?, ts=6480)",1125,,0,0.0,0.9269632678070626,42676.10706800042,True,quest_kg
icews18_30,"(head=2618, rel=1, ?, ts=6480)",451,,0,0.0,0.9769116255490397,13449.230338999769,True,quest_kg
icews18_31,"(head=2618, rel=15, ?, ts=6480)",451,,0,0.0,0.9576641935036976,29146.20488700166,True,quest_kg
icews18_32,"(head=970, rel=1, ?, ts=6480)",451,,0,0.0,0.8732936253692712,7977.709152997704,True,quest_kg
icews18_33,"(head=3454, rel=5, ?, ts=6480)",11779,,0,0.0,0.9485472849316703,30855.54311899614,True,quest_kg
icews18_34,"(head=4115, rel=29, ?, ts=6480)",2211,,0,0.0,0.9646469186734264,17358.988817002682,True,quest_kg
icews18_35,"(head=3454, rel=2, ?, ts=6480)",2211,,0,0.0,0.9304761426373039,3337.925924999581,True,quest_kg
icews18_36,"(head=50, rel=51, ?, ts=6480)",80,,0,0.0,0.9499070621591185,6001.876321002783,True,quest_kg
icews18_37,"(head=50, rel=52, ?, ts=6480)",80,,0,0.0,0.9514135736758007,2353.2589440001175,True,quest_kg
icews18_38,"(head=4447, rel=0, ?, ts=6480)",80,,0,0.0,0.9559623334378093,27951.261306996457,True,quest_kg
icews18_39,"(head=80, rel=6, ?, ts=6480)",50,,0,0.0,0.9530556981897418,584.3836320054834,True,quest_kg
icews18_40,"(head=312, rel=20, ?, ts=6480)",80,,0,0.0,0.9404186920389067,11879.339512001025,True,quest_kg
icews18_41,"(head=5248, rel=40, ?, ts=6480)",163,,0,0.0,0.9627285774545048,13874.66980899626,True,quest_kg
icews18_42,"(head=19, rel=5, ?, ts=6480)",396,,0,0.0,0.8011893655320333,322.62687099864706,True,quest_kg
icews18_43,"(head=19, rel=20, ?, ts=6480)",42,,0,0.0,0.8611517563064865,313.69219399493886,True,quest_kg
icews18_44,"(head=19, rel=5, ?, ts=6480)",391,,0,0.0,0.8011893655320333,321.43103099951986,True,quest_kg
icews18_45,"(head=306, rel=32, ?, ts=6480)",21996,,0,0.0,0.9517279116770097,5142.839391002781,True,quest_kg
icews18_46,"(head=21996, rel=31, ?, ts=6480)",306,,0,0.0,0.9047327406962429,43769.42173300631,True,quest_kg
icews18_47,"(head=972, rel=62, ?, ts=6480)",306,,0,0.0,0.8683790024517488,6272.8073349935585,True,quest_kg
icews18_48,"(head=6, rel=47, ?, ts=6480)",2361,,0,0.0,0.9397151016790796,34881.983013001445,True,quest_kg
icews18_49,"(head=2361, rel=47, ?, ts=6480)",6,,0,0.0,0.927288955612699,17539.42692399869,True,quest_kg
icews18_50,"(head=788, rel=0, ?, ts=6480)",260,,0,0.0,0.9476936076972081,48860.19385099644,True,quest_kg
icews18_51,"(head=373, rel=20, ?, ts=6480)",50,,0,0.0,0.8523085680376482,3855.998617997102,True,quest_kg
icews18_52,"(head=465, rel=1, ?, ts=6480)",459,,0,0.0,0.8885774153390636,3962.536929997441,True,quest_kg
icews18_53,"(head=112, rel=25, ?, ts=6480)",460,,0,0.0,0.8933289399656051,20542.880141998467,True,quest_kg
icews18_54,"(head=460, rel=25, ?, ts=6480)",112,,0,0.0,0.9817190845846046,10244.53904600523,True,quest_kg
icews18_55,"(head=251, rel=20, ?, ts=6480)",66,,0,0.0,0.9318693635344121,5079.156255997077,True,quest_kg
icews18_56,"(head=66, rel=6, ?, ts=6480)",65,,0,0.0,0.9158638280929096,10583.169197001553,True,quest_kg
icews18_57,"(head=415, rel=59, ?, ts=6480)",906,,0,0.0,0.8721862857886816,26390.598770005454,True,quest_kg
icews18_58,"(head=906, rel=59, ?, ts=6480)",415,,0,0.0,0.8540786531302563,10504.30178300303,True,quest_kg
icews18_59,"(head=300, rel=0, ?, ts=6480)",6,,0,0.0,0.9575280754662936,9307.909352995921,True,quest_kg
icews18_60,"(head=53, rel=76, ?, ts=6480)",224,,0,0.0,0.9185035663533643,20706.34429200436,True,quest_kg
icews18_61,"(head=53, rel=76, ?, ts=6480)",8352,,0,0.0,0.9185035663533643,406.08580200205324,True,quest_kg
icews18_62,"(head=53, rel=15, ?, ts=6480)",2187,,0,0.0,0.9612238429077403,1875.0854059981066,True,quest_kg
icews18_63,"(head=53, rel=76, ?, ts=6480)",168,,0,0.0,0.9185035663533643,404.4796119997045,True,quest_kg
icews18_64,"(head=224, rel=76, ?, ts=6480)",53,,0,0.0,0.9505384626332447,48368.48396099958,True,quest_kg
icews18_65,"(head=8352, rel=76, ?, ts=6480)",53,,0,0.0,0.9246559103882549,25803.947947002598,True,quest_kg
icews18_66,"(head=168, rel=76, ?, ts=6480)",53,,0,0.0,0.9714560876137069,55328.415185002086,True,quest_kg
icews18_67,"(head=53, rel=15, ?, ts=6480)",8422,,0,0.0,0.9612238429077403,448.2523729966488,True,quest_kg
icews18_68,"(head=8279, rel=47, ?, ts=6480)",2694,,0,0.0,0.9621922417840837,7112.848048993328,True,quest_kg
icews18_69,"(head=2694, rel=47, ?, ts=6480)",8279,,0,0.0,0.9600260117708553,16598.395023000194,True,quest_kg
icews18_70,"(head=511, rel=47, ?, ts=6480)",3423,,0,0.0,0.9136404388440613,35476.705688997754,True,quest_kg
icews18_71,"(head=3423, rel=47, ?, ts=6480)",511,,0,0.0,0.9707037493036436,6882.4539979978,True,quest_kg
icews18_72,"(head=3423, rel=47, ?, ts=6480)",117,,0,0.0,0.9707037493036436,6804.219807003392,True,quest_kg
icews18_73,"(head=117, rel=47, ?, ts=6480)",3423,,0,0.0,0.6871774820433572,1359.739036000974,True,quest_kg
icews18_74,"(head=44, rel=6, ?, ts=6480)",377,,0,0.0,0.933122339380452,5754.713638001704,True,quest_kg
icews18_75,"(head=44, rel=6, ?, ts=6480)",455,,0,0.0,0.933122339380452,5770.464601002459,True,quest_kg
icews18_76,"(head=122, rel=34, ?, ts=6480)",45,,0,0.0,0.9821605336199491,21126.965649003978,True,quest_kg
icews18_77,"(head=19, rel=20, ?, ts=6480)",382,,0,0.0,0.8611517563064865,318.42303900339175,True,quest_kg
icews18_78,"(head=19, rel=20, ?, ts=6480)",20,,0,0.0,0.8611517563064865,315.5588279987569,True,quest_kg
icews18_79,"(head=1069, rel=1, ?, ts=6480)",2780,,0,0.0,0.97995349117901,15855.917631997727,True,quest_kg
icews18_80,"(head=1688, rel=4, ?, ts=6480)",15312,,0,0.0,0.9671664849617692,54422.8088259988,True,quest_kg
icews18_81,"(head=414, rel=2, ?, ts=6480)",391,,0,0.0,0.9538045787880246,52687.58296099986,True,quest_kg
icews18_82,"(head=414, rel=40, ?, ts=6480)",391,,0,0.0,0.9813478944417044,19273.811352999473,True,quest_kg
icews18_83,"(head=9130, rel=0, ?, ts=6480)",94,,0,0.0,0.9441758213240311,14295.523919994594,True,quest_kg
icews18_84,"(head=428, rel=31, ?, ts=6480)",1000,,0,0.0,0.8821188524318774,4202.587813997525,True,quest_kg
icews18_85,"(head=1000, rel=32, ?, ts=6480)",428,,0,0.0,0.9553123354211528,15728.687809001713,True,quest_kg
icews18_86,"(head=1000, rel=0, ?, ts=6480)",1690,,0,0.0,0.9361647084627361,17114.265185999102,True,quest_kg
icews18_87,"(head=2780, rel=32, ?, ts=6480)",66,,0,0.0,0.9230026923599135,22649.54035900155,True,quest_kg
icews18_88,"(head=66, rel=31, ?, ts=6480)",2780,,0,0.0,0.8895931351365776,18342.973205995804,True,quest_kg
icews18_89,"(head=2780, rel=0, ?, ts=6480)",80,,0,0.0,0.9461482089268949,11601.185329003783,True,quest_kg
icews18_90,"(head=97, rel=66, ?, ts=6480)",6,,0,0.0,0.9038554884963055,919.8090139980195,True,quest_kg
icews18_91,"(head=463, rel=5, ?, ts=6480)",22,,0,0.0,0.9016563589847186,807.3401000001468,True,quest_kg
icews18_92,"(head=463, rel=5, ?, ts=6480)",459,,0,0.0,0.9016563589847186,808.125364004809,True,quest_kg
icews18_93,"(head=463, rel=88, ?, ts=6480)",22,,0,0.0,0.9146470310276468,3251.8915940017905,True,quest_kg
icews18_94,"(head=13544, rel=4, ?, ts=6480)",3780,,0,0.0,0.9232001369773984,18013.27500899788,True,quest_kg
icews18_95,"(head=13544, rel=20, ?, ts=6480)",3780,,0,0.0,0.9197420676820537,22105.20381499373,True,quest_kg
icews18_96,"(head=13544, rel=6, ?, ts=6480)",164,,0,0.0,0.875445057722649,9806.686867996177,True,quest_kg
icews18_97,"(head=11013, rel=6, ?, ts=6480)",3780,,0,0.0,0.8219032668401269,36299.833315002616,True,quest_kg
icews18_98,"(head=11013, rel=20, ?, ts=6480)",164,,0,0.0,0.9554291191542861,32838.13458700024,True,quest_kg
icews18_99,"(head=11013, rel=1, ?, ts=6480)",8778,,0,0.0,0.9629814325490837,40710.26094600529,True,quest_kg
