qid,gold_e2,pred_e2,em,x_rank,confidence
0,70000,70000,1,1,0.9528486728668213
1,70001,103836,0,20,0.1603166162967682
2,70002,72692,0,4,0.9462676048278809
3,70003,104941,0,6,0.9620004892349243
4,70004,70458,0,4,0.9456741809844971
5,70005,70005,1,1,0.9366564750671387
6,70006,111299,0,56,0.9473919868469238
7,70007,73579,0,2,0.9616743326187134
8,70008,183628,0,2,0.9469280242919922
9,70009,70009,1,1,0.934432864189148
10,70010,97960,0,2,0.9671329259872437
11,70011,70011,1,1,0.973488450050354
12,70012,171796,0,32,0.16165445744991302
13,70013,70013,1,1,0.9245261549949646
14,70014,91962,0,176,0.1600305140018463
15,70015,70015,1,1,0.947833776473999
16,70016,194809,0,6898,0.1547265499830246
17,70017,184639,0,4066,0.1504981815814972
18,70018,70018,1,1,0.9411869049072266
19,70019,70019,1,1,0.9470911622047424
20,70020,73916,0,10,0.9479731321334839
21,70021,70021,1,1,0.9366985559463501
22,70022,103791,0,3,0.9350281357765198
23,70023,130926,0,6818,0.14875605702400208
24,70024,70024,1,1,0.9469664096832275
25,70025,128418,0,611,0.9474595785140991
26,70026,70026,1,1,0.9500031471252441
27,70027,130247,0,2,0.9404814839363098
28,70028,191855,0,1679,0.9576528072357178
29,70029,70029,1,1,0.93540358543396
30,70030,186903,0,79790,0.14587154984474182
31,70031,70031,1,1,0.9560908079147339
32,70032,114115,0,23,0.9470486044883728
33,70033,70033,1,1,0.9372919201850891
34,70034,182848,0,9744,0.15664999186992645
35,70035,193770,0,2,0.9628384709358215
36,70036,180425,0,4379,0.15981212258338928
37,70037,81809,0,87,0.1583591252565384
38,70038,195073,0,1603,0.16226230561733246
39,70039,172888,0,62,0.945429801940918
40,70040,106554,0,4,0.9462114572525024
41,70041,100144,0,2,0.9445948600769043
42,70042,70042,1,1,0.933807909488678
43,70043,104602,0,10,0.9346568584442139
44,70044,183829,0,7436,0.15521566569805145
45,70045,70045,1,1,0.9552620649337769
46,70046,70046,1,1,0.9664948582649231
47,70047,70047,1,1,0.9530633687973022
48,70048,70048,1,1,0.9409877061843872
49,70049,90455,0,16,0.9328112602233887
50,70050,83700,0,2,0.9462275505065918
51,70051,171936,0,18924,0.9491620659828186
52,70052,176849,0,2,0.9403501152992249
53,70053,172478,0,15,0.9289171099662781
54,70054,70054,1,1,0.9472584128379822
55,70055,138591,0,2,0.9450464248657227
56,70056,70056,1,1,0.9396131038665771
57,70057,70057,1,1,0.957979142665863
58,70058,195647,0,1680,0.9585453271865845
59,70059,70059,1,1,0.9720258712768555
60,70060,70060,1,1,0.9459488987922668
61,70061,78652,0,2,0.9589672684669495
62,70062,70062,1,1,0.9698374271392822
63,70063,91876,0,2560,0.9518834948539734
64,70064,181422,0,1983,0.15516464412212372
65,70065,89275,0,7,0.9454325437545776
66,70066,184112,0,5,0.9458574056625366
67,70067,70067,1,1,0.9359915256500244
68,70068,188852,0,813,0.9542760848999023
69,70069,70069,1,1,0.9423767924308777
70,70070,70070,1,1,0.9510122537612915
71,70071,100834,0,63,0.9447323679924011
72,70072,122735,0,4,0.9420011043548584
73,70073,70073,1,1,0.9254354238510132
74,70074,126128,0,9,0.9366769790649414
75,70075,70075,1,1,0.9407581686973572
76,70076,111482,0,3,0.9612253308296204
77,70077,183995,0,4,0.9455925226211548
78,70078,70078,1,1,0.9190844893455505
79,70079,70079,1,1,0.9500536918640137
80,70080,103292,0,6,0.9408676624298096
81,70081,70081,1,1,0.956126868724823
82,70082,186793,0,7057,0.15725059807300568
83,70083,102672,0,41567,0.9604372978210449
84,70084,70084,1,1,0.9226760268211365
85,70085,178262,0,1563,0.9681164622306824
86,70086,70086,1,1,0.933385968208313
87,70087,70087,1,1,0.9577034115791321
88,70088,186982,0,462,0.15876255929470062
89,70089,70089,1,1,0.9296203255653381
90,70090,70090,1,1,0.960961103439331
91,70091,70091,1,1,0.9687946438789368
92,70092,115539,0,32431,0.9458422064781189
93,70093,70093,1,1,0.9261415600776672
94,70094,197384,0,49013,0.14808999001979828
95,70095,70095,1,1,0.9568795561790466
96,70096,170346,0,80,0.1511029750108719
97,70097,84536,0,133,0.9434856176376343
98,70098,183628,0,7,0.9441448450088501
99,70099,104889,0,8118,0.9318198561668396
100,70100,129343,0,3,0.9663963913917542
101,70101,134044,0,718,0.9500769972801208
102,70102,70102,1,1,0.9338862895965576
103,70103,70103,1,1,0.9502750635147095
104,70104,70104,1,1,0.950713038444519
105,70105,70105,1,1,0.939116895198822
106,70106,112653,0,26630,0.1580301970243454
107,70107,83744,0,2,0.9527401328086853
108,70108,170330,0,57,0.9354002475738525
109,70109,119842,0,354,0.9612672328948975
110,70110,130225,0,2,0.9410992860794067
111,70111,136346,0,13357,0.9444069266319275
112,70112,125504,0,2,0.9405748248100281
113,70113,70113,1,1,0.1373838633298874
114,70114,187779,0,7620,0.14888213574886322
115,70115,70115,1,1,0.9495995044708252
116,70116,111741,0,9024,0.14901043474674225
117,70117,170003,0,36,0.9409697651863098
118,70118,174274,0,34,0.17092669010162354
119,70119,188852,0,6,0.9635931253433228
120,70120,98593,0,14468,0.15826216340065002
121,70121,70121,1,1,0.9428774118423462
122,70122,70122,1,1,0.9476608633995056
123,70123,70123,1,1,0.9666846394538879
124,70124,70124,1,1,0.9211868047714233
125,70125,133762,0,10,0.9576064944267273
126,70126,109515,0,4,0.938907265663147
127,70127,86245,0,13,0.9338499903678894
128,70128,176506,0,6653,0.15570370852947235
129,70129,113329,0,18642,0.14224766194820404
130,70130,183022,0,24555,0.15397901833057404
131,70131,74784,0,5,0.9522730708122253
132,70132,75463,0,25,0.9480364322662354
133,70133,199334,0,11675,0.16124065220355988
134,70134,70134,1,1,0.9601327180862427
135,70135,70135,1,1,0.9449306726455688
136,70136,175456,0,31069,0.1658487170934677
137,70137,113998,0,2608,0.948460042476654
138,70138,70138,1,1,0.9559903144836426
139,70139,195190,0,8,0.9380805492401123
140,70140,70140,1,1,0.9491548538208008
141,70141,195970,0,2,0.9508557319641113
142,70142,81965,0,33709,0.14570237696170807
143,70143,70143,1,1,0.9597237706184387
144,70144,70144,1,1,0.9786055088043213
145,70145,70009,0,2512,0.9380925893783569
146,70146,105451,0,55,0.17376206815242767
147,70147,95083,0,46840,0.1516355574131012
148,70148,175688,0,734,0.14958228170871735
149,70149,70149,1,1,0.9233664274215698
150,70150,119456,0,19,0.9448745250701904
151,70151,70151,1,1,0.9530442953109741
152,70152,197750,0,4,0.9399852752685547
153,70153,85647,0,8,0.9671794176101685
154,70154,108826,0,2,0.9342342615127563
155,70155,70155,1,1,0.9547567367553711
156,70156,199333,0,19,0.950139582157135
157,70157,70157,1,1,0.9439078569412231
158,70158,109786,0,1501,0.9438568353652954
159,70159,70159,1,1,0.9456358551979065
160,70160,70160,1,1,0.925004243850708
161,70161,92478,0,1848,0.9429953098297119
162,70162,70162,1,1,0.9558655619621277
163,70163,114406,0,260,0.15211501717567444
164,70164,125943,0,11,0.948228657245636
165,70165,122652,0,3,0.9466896057128906
166,70166,70166,1,1,0.9540672302246094
167,70167,199186,0,59,0.9492365717887878
168,70168,194046,0,33781,0.9344078302383423
169,70169,70169,1,1,0.9412937760353088
170,70170,70170,1,1,0.9484362602233887
171,70171,93622,0,4,0.9295225739479065
172,70172,70172,1,1,0.958268404006958
173,70173,75676,0,111,0.9528298377990723
174,70174,184494,0,39,0.9572371244430542
175,70175,188427,0,9314,0.15696869790554047
176,70176,193770,0,2,0.9448400139808655
177,70177,70177,1,1,0.9522135257720947
178,70178,70178,1,1,0.963023841381073
179,70179,81805,0,2,0.9450407028198242
180,70180,70180,1,1,0.9350845217704773
181,70181,111242,0,14,0.9381016492843628
182,70182,197596,0,4,0.953195333480835
183,70183,70183,1,1,0.942562460899353
184,70184,135893,0,6858,0.9585939645767212
185,70185,70185,1,1,0.9406243562698364
186,70186,79825,0,8295,0.9239006638526917
187,70187,70187,1,1,0.9447087049484253
188,70188,96617,0,2,0.9467985033988953
189,70189,191932,0,10963,0.14801783859729767
190,70190,70190,1,1,0.9477061629295349
191,70191,193427,0,29689,0.15144746005535126
192,70192,103507,0,8,0.9583085775375366
193,70193,119456,0,810,0.9456004500389099
194,70194,114168,0,3,0.9421934485435486
195,70195,70195,1,1,0.9542038440704346
196,70196,173796,0,125,0.15501171350479126
197,70197,75129,0,4,0.9488971829414368
198,70198,70198,1,1,0.9273235201835632
199,70199,70199,1,1,0.946328341960907
200,70200,70200,1,1,0.9608944058418274
201,70201,70201,1,1,0.9353137016296387
202,70202,70202,1,1,0.9619601964950562
203,70203,97338,0,2,0.9472020268440247
204,70204,70204,1,1,0.9662879705429077
205,70205,184381,0,74605,0.14852690696716309
206,70206,94555,0,9,0.9451159238815308
207,70207,106110,0,2,0.9397666454315186
208,70208,125112,0,3,0.9596167802810669
209,70209,179903,0,28,0.9380241632461548
210,70210,76580,0,3,0.953105092048645
211,70211,90351,0,2,0.9477237462997437
212,70212,70212,1,1,0.9431830644607544
213,70213,196081,0,447,0.9568174481391907
214,70214,96496,0,89546,0.15175770223140717
215,70215,80941,0,348,0.9464703798294067
216,70216,88949,0,17,0.9618855714797974
217,70217,102036,0,88,0.9391425848007202
218,70218,99413,0,18,0.9468619227409363
219,70219,91739,0,19,0.9524027109146118
220,70220,70422,0,8,0.15878434479236603
221,70221,120140,0,15,0.9322314858436584
222,70222,71820,0,17,0.9517388343811035
223,70223,77133,0,29893,0.15359897911548615
224,70224,70723,0,4,0.9613782167434692
225,70225,70225,1,1,0.9713078141212463
226,70226,191491,0,12,0.9561018347740173
227,70227,70227,1,1,0.9536219239234924
228,70228,117595,0,4,0.9568392634391785
229,70229,70229,1,1,0.9683802723884583
