qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0016?",1,1,1,1.0,1.0,25.122999912127852,False,quest_kg,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,0,1,1.0,1.0,15.734600136056542,False,quest_kg,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,1,1,1.0,1.0,15.187199926003814,False,quest_kg,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,0,1,1.0,1.0,19.788000034168363,False,quest_kg,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,1,1,1.0,1.0,15.890500042587519,False,quest_kg,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,0,1,1.0,1.0,12.838899856433272,False,quest_kg,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0125?",1,1,1,1.0,1.0,13.817500090226531,False,quest_kg,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,0,1,1.0,1.0,19.171700114384294,False,quest_kg,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,1,1,1.0,1.0,17.791399965062737,False,quest_kg,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,0,1,1.0,1.0,19.129999913275242,False,quest_kg,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,1,1,1.0,1.0,23.545400006696582,False,quest_kg,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,0,1,1.0,1.0,17.556099919602275,False,quest_kg,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0016?",1,1,1,1.0,1.0,17.095600022003055,False,quest_kg,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,0,1,1.0,1.0,13.6784000787884,False,quest_kg,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0139?",1,1,1,1.0,1.0,19.418499898165464,False,quest_kg,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,0,1,1.0,1.0,13.939399970695376,False,quest_kg,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0066?",1,1,1,1.0,1.0,15.4963000677526,False,quest_kg,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,0,1,1.0,1.0,17.125100130215287,False,quest_kg,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0180?",1,1,1,1.0,1.0,16.7387998662889,False,quest_kg,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,0,1,1.0,1.0,18.266200087964535,False,quest_kg,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0077?",1,1,1,1.0,1.0,14.091300079599023,False,quest_kg,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,0,1,1.0,1.0,14.10200004465878,False,quest_kg,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,1,1,1.0,1.0,18.193199997767806,False,quest_kg,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,0,1,1.0,1.0,16.872799955308437,False,quest_kg,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0055?",1,1,1,1.0,1.0,14.716499950736761,False,quest_kg,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,1,0,0.0,1.0,14.77729994803667,False,quest_kg,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,1,1,1.0,1.0,15.205900184810162,False,quest_kg,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,0,1,1.0,1.0,14.187299879267812,False,quest_kg,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0077?",1,1,1,1.0,1.0,20.224699983373284,False,quest_kg,0
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,0,1,1.0,1.0,19.001099979504943,False,quest_kg,0
oa_1277,"At time 58 in context ctx_02, can u_0243 access res_0077?",1,1,1,1.0,1.0,21.080599864944816,False,quest_kg,0
oa_81,"At time 64 in context ctx_00, can u_0378 access res_0078?",0,0,1,1.0,1.0,18.10929994098842,False,quest_kg,0
oa_1342,"At time 55 in context ctx_07, can u_0176 access res_0061?",1,1,1,1.0,1.0,17.903300002217293,False,quest_kg,0
oa_82,"At time 86 in context ctx_06, can u_0011 access res_0149?",0,0,1,1.0,1.0,14.770000008866191,False,quest_kg,0
oa_1531,"At time 53 in context ctx_05, can u_0440 access res_0125?",1,1,1,1.0,1.0,16.167399939149618,False,quest_kg,0
oa_101,"At time 176 in context ctx_00, can u_0397 access res_0044?",0,0,1,1.0,1.0,13.964199926704168,False,quest_kg,0
oa_1551,"At time 51 in context ctx_03, can u_0190 access res_0156?",1,1,1,1.0,1.0,14.405300142243505,False,quest_kg,0
oa_108,"At time 183 in context ctx_07, can u_0276 access res_0120?",0,0,1,1.0,1.0,14.541500015184283,False,quest_kg,0
oa_1668,"At time 53 in context ctx_05, can u_0020 access res_0035?",1,1,1,1.0,1.0,14.163000043481588,False,quest_kg,0
oa_115,"At time 94 in context ctx_06, can u_0007 access res_0152?",0,0,1,1.0,1.0,17.80589995905757,False,quest_kg,0
oa_1677,"At time 50 in context ctx_02, can u_0046 access res_0140?",1,1,1,1.0,1.0,24.260699981823564,False,quest_kg,0
oa_117,"At time 144 in context ctx_00, can u_0307 access res_0102?",0,1,0,0.0,1.0,26.51200001128018,False,quest_kg,0
oa_1762,"At time 54 in context ctx_06, can u_0225 access res_0061?",1,1,1,1.0,1.0,22.444500122219324,False,quest_kg,0
oa_120,"At time 171 in context ctx_03, can u_0063 access res_0130?",0,0,1,1.0,1.0,20.559099968522787,False,quest_kg,0
oa_1983,"At time 61 in context ctx_05, can u_0277 access res_0125?",1,1,1,1.0,1.0,24.361599935218692,False,quest_kg,0
oa_125,"At time 69 in context ctx_05, can u_0465 access res_0015?",0,1,0,0.0,1.0,22.142799803987145,False,quest_kg,0
oa_1998,"At time 58 in context ctx_02, can u_0199 access res_0130?",1,1,1,1.0,1.0,15.052600065246224,False,quest_kg,0
oa_132,"At time 184 in context ctx_00, can u_0312 access res_0154?",0,0,1,1.0,1.0,13.670000014826655,False,quest_kg,0
oa_2040,"At time 56 in context ctx_00, can u_0440 access res_0074?",1,1,1,1.0,1.0,17.642299877479672,False,quest_kg,0
oa_152,"At time 96 in context ctx_00, can u_0156 access res_0128?",0,0,1,1.0,1.0,21.28620003350079,False,quest_kg,0
oa_2101,"At time 62 in context ctx_06, can u_0139 access res_0061?",1,1,1,1.0,1.0,20.758300088346004,False,quest_kg,0
oa_165,"At time 103 in context ctx_07, can u_0315 access res_0188?",0,0,1,1.0,1.0,15.862799948081374,False,quest_kg,0
oa_2127,"At time 50 in context ctx_02, can u_0020 access res_0130?",1,1,1,1.0,1.0,22.44159998372197,False,quest_kg,0
oa_167,"At time 68 in context ctx_04, can u_0073 access res_0039?",0,0,1,1.0,1.0,13.849700102582574,False,quest_kg,0
oa_2131,"At time 57 in context ctx_01, can u_0481 access res_0145?",1,1,1,1.0,1.0,14.734999975189567,False,quest_kg,0
oa_168,"At time 78 in context ctx_06, can u_0051 access res_0112?",0,0,1,1.0,1.0,14.104299945756793,False,quest_kg,0
oa_2133,"At time 56 in context ctx_00, can u_0225 access res_0139?",1,1,1,1.0,1.0,15.156899811699986,False,quest_kg,0
oa_177,"At time 180 in context ctx_04, can u_0240 access res_0124?",0,1,0,0.0,1.0,14.288699952885509,False,quest_kg,0
