qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
icews18_0,"(head=459, rel=1, ?, ts=6480)",471,80,0,0.0,0.5222368836402893,1475.6634149998717,False,vanilla_rag,0
icews18_1,"(head=5205, rel=90, ?, ts=6480)",464,1125,0,0.0,0.5200369954109192,1474.8879359976854,False,vanilla_rag,0
icews18_2,"(head=463, rel=69, ?, ts=6480)",458,80,0,0.0,0.5123365521430969,1473.793086999649,False,vanilla_rag,0
icews18_3,"(head=3093, rel=63, ?, ts=6480)",57,63,0,0.0,0.5103628635406494,1478.7194860000454,False,vanilla_rag,0
icews18_4,"(head=17519, rel=151, ?, ts=6480)",3881,17519,0,0.0,0.5227593779563904,1485.1506209997751,False,vanilla_rag,0
icews18_5,"(head=4935, rel=0, ?, ts=6480)",7803,4941,0,0.0,0.5174162983894348,1478.9142789995822,False,vanilla_rag,0
icews18_6,"(head=2820, rel=4, ?, ts=6480)",458,220,0,0.0,0.5281479358673096,1480.126766000467,False,vanilla_rag,0
icews18_7,"(head=64, rel=1, ?, ts=6480)",458,80,0,0.0,0.5471641421318054,1474.1734019989963,False,vanilla_rag,0
icews18_8,"(head=42, rel=20, ?, ts=6480)",4145,38,0,0.0,0.5422696471214294,1479.4220260009752,False,vanilla_rag,0
icews18_9,"(head=42, rel=20, ?, ts=6480)",19,38,0,0.0,0.5422696471214294,1478.1950190008502,False,vanilla_rag,0
icews18_10,"(head=42, rel=20, ?, ts=6480)",1449,38,0,0.0,0.5422696471214294,1474.5393299999705,False,vanilla_rag,0
icews18_11,"(head=445, rel=34, ?, ts=6480)",477,44,0,0.0,0.5146961212158203,1481.8243219997385,False,vanilla_rag,0
icews18_12,"(head=1323, rel=0, ?, ts=6480)",344,803,0,0.0,0.5510064363479614,1485.003214002063,False,vanilla_rag,0
icews18_13,"(head=100, rel=28, ?, ts=6480)",390,20,0,0.0,0.5154439806938171,1479.683522000414,False,vanilla_rag,0
icews18_14,"(head=455, rel=0, ?, ts=6480)",765,70,0,0.0,0.5306325554847717,1480.9139870012586,False,vanilla_rag,0
icews18_15,"(head=44, rel=20, ?, ts=6480)",4145,80,0,0.0,0.5246375203132629,1475.4334040007961,False,vanilla_rag,0
icews18_16,"(head=44, rel=20, ?, ts=6480)",19,80,0,0.0,0.5246375203132629,1475.6734689981386,False,vanilla_rag,0
icews18_17,"(head=44, rel=20, ?, ts=6480)",1449,80,0,0.0,0.5246375203132629,1473.742898000637,False,vanilla_rag,0
icews18_18,"(head=9731, rel=0, ?, ts=6480)",445,70,0,0.0,0.5281834602355957,1475.2603779998026,False,vanilla_rag,0
icews18_19,"(head=298, rel=6, ?, ts=6480)",397,70,0,0.0,0.5232930183410645,1475.4508870028076,False,vanilla_rag,0
icews18_20,"(head=19, rel=20, ?, ts=6480)",161,100,0,0.0,0.5050166249275208,1480.756830998871,False,vanilla_rag,0
icews18_21,"(head=19, rel=2, ?, ts=6480)",42,"(19, 0, 4010) The answer is (19, 0,",0,0.0,0.5010185837745667,1477.8795130005165,False,vanilla_rag,0
icews18_22,"(head=42, rel=20, ?, ts=6480)",41,38,0,0.0,0.5422696471214294,1475.3498709978885,False,vanilla_rag,0
icews18_23,"(head=19, rel=34, ?, ts=6480)",122,"(19, 0, 40) The answer is (19, 0, 40",0,0.0,0.47972187399864197,1472.4948219991347,False,vanilla_rag,0
icews18_24,"(head=19, rel=5, ?, ts=6480)",42,4010,0,0.0,0.4931882619857788,1473.908763997315,False,vanilla_rag,0
icews18_25,"(head=19, rel=43, ?, ts=6480)",20,40,0,0.0,0.49278292059898376,1474.4305010026437,False,vanilla_rag,0
icews18_26,"(head=2274, rel=1, ?, ts=6480)",44,70,0,0.0,0.5192351341247559,1479.7403949996806,False,vanilla_rag,0
icews18_27,"(head=21995, rel=31, ?, ts=6480)",9096,2112,0,0.0,0.5253151059150696,1479.5821260013327,False,vanilla_rag,0
