qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0027?",1,No,0,0.0,0.75,9270.511775001069,False,cok,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,No,1,1.0,0.75,9281.533567000224,False,cok,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,No,0,0.0,0.75,9278.617157000554,False,cok,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,No,1,1.0,0.75,9271.465636000357,False,cok,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,No,0,0.0,0.75,9259.92724399839,False,cok,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,No,1,1.0,0.75,9274.86953100015,False,cok,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0130?",1,No,0,0.0,0.75,9274.626083999465,False,cok,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,No,1,1.0,0.75,9270.226349999575,False,cok,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,No,0,0.0,0.75,9267.138037999757,False,cok,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,No,1,1.0,0.75,9273.790889999873,False,cok,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,No,0,0.0,0.75,9275.024259999554,False,cok,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,No,1,1.0,0.75,9275.845533000393,False,cok,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0027?",1,No,0,0.0,0.75,6857.28484700121,False,cok,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,No,1,1.0,0.75,9277.163142000063,False,cok,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0081?",1,No,0,0.0,0.75,9270.966246000171,False,cok,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,No,1,1.0,0.75,9269.454788000075,False,cok,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0133?",1,No,0,0.0,0.75,9268.98350800002,False,cok,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,No,1,1.0,0.75,9277.443329998277,False,cok,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0140?",1,No,0,0.0,0.75,9272.792356998252,False,cok,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,No,1,1.0,0.75,9267.398424999556,False,cok,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0114?",1,No,0,0.0,0.75,9275.16183699845,False,cok,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,No,1,1.0,0.75,9274.082359001113,False,cok,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,No,0,0.0,0.75,9263.998606000314,False,cok,0
