qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,"The San Francisco Giants, who have Lou Seal as their mascot, last won the World Series in 2010",0,0.1904761904761905,0.75,9279.412665999189,False,cok,5
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,"The information provided does not specify which college or university Brad Paisley attended during his ""Country Nation World Tour."" While it",0,0.08695652173913042,0.75,9277.67067899913,False,cok,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,"The predominant religion where the leader is Ovadia Yosef is Judaism, specifically Haredi Judaism.",0,0.25,0.75,9193.19457200072,False,cok,4
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Germany,1,1.0,0.75,9264.103741001236,False,cok,4
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,The national anthem of Afghanistan is associated with a country that practices both Sunni Islam and Shia Islam.,0,0.2857142857142857,0.75,9295.199516000139,False,cok,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Guatemala,1,1.0,0.75,9282.616608001263,False,cok,1
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,"The question is based on an incorrect premise. Libya's national anthem is not referred to by ""Libya, Libya,",0,0.0,0.75,9297.820904999753,False,cok,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,"The University of Northern Colorado has a football sports team named Northern Colorado Bears and is located in Greeley, Colorado.",0,0.5185185185185185,0.75,8094.475175001207,False,cok,1
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,The chain of information provided does not specify the language spoken in the location that appointed Michelle Bachelet to a governmental position,0,0.08333333333333334,0.75,9308.334924999144,False,cok,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,The information provided does not specify the type of government used in the country with Northern District. It only indicates that Northern District,0,0.0,0.75,8290.426067000226,False,cok,0
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Timor-Leste,0,0.0,0.75,9265.826818000278,False,cok,0
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,"To determine the languages spoken in the country that contains the Nord-Ouest Department, we need to follow these steps:",0,0.0,0.75,8410.522075999324,False,cok,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,"Based on the information provided in the reasoning chain, there is no direct mention of an actor playing a kid in the movie",0,0.0,0.75,8958.7632390012,False,cok,0
WebQTrn-849_586aae7703d62aa44eb79759e1563309,What European Union country sharing borders with Germany contains the Lejre Municipality?,Denmark,Denmark,1,1.0,0.75,8074.154763999104,False,cok,0
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,2014 World Series,"The information provided does not mention Larr Baer or his association with any team. Therefore, it is impossible to determine",0,0.0,0.75,9293.35834199992,False,cok,4
