qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0027?",1,no,0,0.0,0.4522549279274479,1586.4756209998632,False,graphrag,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,No,1,1.0,0.49290239345282316,1600.275567999688,False,graphrag,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,No,0,0.0,0.46588820478190546,1587.5135330002195,False,graphrag,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,No,1,1.0,0.5331621542572975,1584.6338379997178,False,graphrag,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,No,0,0.0,0.4414357568906701,1588.223317000029,False,graphrag,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,No,1,1.0,0.5145450108929684,1585.207070999786,False,graphrag,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0130?",1,No,0,0.0,0.45678625472130313,1599.4927920000919,False,graphrag,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,No,1,1.0,0.476657540670463,1601.5439950001564,False,graphrag,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,No,0,0.0,0.44697558134794235,1597.0867360001648,False,graphrag,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,No,1,1.0,0.5021809584954205,1585.765887999969,False,graphrag,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,No,0,0.0,0.4103091172873974,1600.5579389998275,False,graphrag,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,No,1,1.0,0.47964583502875435,1604.0511559999686,False,graphrag,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0027?",1,No,0,0.0,0.4249292810757955,1603.7715699999353,False,graphrag,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,No,1,1.0,0.4767449278580515,1586.8732889998682,False,graphrag,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0081?",1,No,0,0.0,0.5138659278551737,1586.4068519999819,False,graphrag,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,No,1,1.0,0.4518691630739915,1588.9820140000666,False,graphrag,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0133?",1,No,0,0.0,0.42336523148321337,1597.6209030000064,False,graphrag,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,No,1,1.0,0.5389612317085266,1585.106777999954,False,graphrag,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0140?",1,No,0,0.0,0.471333222463727,1603.0078690000664,False,graphrag,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,No,1,1.0,0.5632829236984253,1601.1712320000697,False,graphrag,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0114?",1,No,0,0.0,0.47012136578559877,1604.590250000001,False,graphrag,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,No,1,1.0,0.485846522781584,1581.941451000148,False,graphrag,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,No,0,0.0,0.46154434365384717,1594.175861000167,False,graphrag,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,No,1,1.0,0.4656130294005076,1598.38643699959,False,graphrag,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0103?",1,No,0,0.0,0.47519710043381,1597.5555949999034,False,graphrag,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,No,1,1.0,0.5163084082305431,1588.595302000158,False,graphrag,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,No,0,0.0,0.48089275114676533,1585.155477999706,False,graphrag,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,No,1,1.0,0.5084470860336138,1589.808187000017,False,graphrag,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0114?",1,No,0,0.0,0.45542243402451277,1597.7124910000384,False,graphrag,0
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,No,1,1.0,0.44716958577434224,1599.3002159998468,False,graphrag,0
oa_1277,"At time 58 in context ctx_02, can u_0243 access res_0114?",1,No,0,0.0,0.46151563059538603,1595.5881620002401,False,graphrag,0
oa_81,"At time 64 in context ctx_00, can u_0378 access res_0078?",0,No,1,1.0,0.4811353534460068,1586.8342980002126,False,graphrag,0
oa_1342,"At time 55 in context ctx_07, can u_0176 access res_0061?",1,No,0,0.0,0.4478998865400042,1595.8672839997234,False,graphrag,0
oa_82,"At time 86 in context ctx_06, can u_0011 access res_0149?",0,No,1,1.0,0.5525160800843012,1587.4828659998457,False,graphrag,0
oa_1531,"At time 53 in context ctx_05, can u_0440 access res_0074?",1,No,0,0.0,0.470791209075186,1599.9575410000944,False,graphrag,0
oa_101,"At time 176 in context ctx_00, can u_0397 access res_0044?",0,No,1,1.0,0.47633855665723485,1598.4212190001017,False,graphrag,0
oa_1551,"At time 51 in context ctx_03, can u_0190 access res_0156?",1,No,0,0.0,0.4755736127976448,1603.8603360002526,False,graphrag,0
oa_108,"At time 183 in context ctx_07, can u_0276 access res_0120?",0,No,1,1.0,0.5376368034631014,1602.3942649999299,False,graphrag,0
oa_1668,"At time 53 in context ctx_05, can u_0020 access res_0024?",1,No,0,0.0,0.45277197794480756,1596.6138270000556,False,graphrag,0
oa_115,"At time 94 in context ctx_06, can u_0007 access res_0152?",0,No,1,1.0,0.5331106220974642,1587.3223280000275,False,graphrag,0
oa_1677,"At time 50 in context ctx_02, can u_0046 access res_0085?",1,No,0,0.0,0.4054930124964033,1596.6573929999868,False,graphrag,0
oa_117,"At time 144 in context ctx_00, can u_0307 access res_0102?",0,No,1,1.0,0.39963374180453165,1598.8150660000429,False,graphrag,0
oa_1762,"At time 54 in context ctx_06, can u_0225 access res_0077?",1,No,0,0.0,0.4930342137813568,1585.7186130001537,False,graphrag,0
oa_120,"At time 171 in context ctx_03, can u_0063 access res_0130?",0,No,1,1.0,0.49107736829788456,1599.725319999834,False,graphrag,0
oa_1983,"At time 61 in context ctx_05, can u_0277 access res_0074?",1,No,0,0.0,0.4972555532174952,1589.265591000185,False,graphrag,0
oa_125,"At time 69 in context ctx_05, can u_0465 access res_0015?",0,No,1,1.0,0.5478732511401176,1586.7340320000949,False,graphrag,0
oa_1998,"At time 58 in context ctx_02, can u_0199 access res_0016?",1,No,0,0.0,0.5191385050614675,1584.2581299998528,False,graphrag,0
oa_132,"At time 184 in context ctx_00, can u_0312 access res_0154?",0,No,1,1.0,0.4843677159013419,1601.701148000302,False,graphrag,0
oa_2040,"At time 56 in context ctx_00, can u_0440 access res_0074?",1,No,0,0.0,0.485664626485423,1590.0357049999911,False,graphrag,0
oa_152,"At time 96 in context ctx_00, can u_0156 access res_0128?",0,No,1,1.0,0.5006058189001951,1585.029709999617,False,graphrag,0
oa_2101,"At time 62 in context ctx_06, can u_0139 access res_0077?",1,No,0,0.0,0.4924401745200157,1589.3880489998082,False,graphrag,0
oa_165,"At time 103 in context ctx_07, can u_0315 access res_0188?",0,No,1,1.0,0.4887367924054464,1595.858989000135,False,graphrag,0
oa_2127,"At time 50 in context ctx_02, can u_0020 access res_0124?",1,no To determine if u_0020 can access res_0124 at time 50 in,0,0.0,0.4291279306014379,1598.9508880002177,False,graphrag,0
oa_167,"At time 68 in context ctx_04, can u_0073 access res_0039?",0,No,1,1.0,0.5161321429829848,1588.7351589999525,False,graphrag,0
oa_2131,"At time 57 in context ctx_01, can u_0481 access res_0145?",1,No,0,0.0,0.5006499120167324,1583.0537239999103,False,graphrag,0
oa_168,"At time 78 in context ctx_06, can u_0051 access res_0112?",0,No,1,1.0,0.48614062317486467,1598.7550800000463,False,graphrag,0
oa_2133,"At time 56 in context ctx_00, can u_0225 access res_0027?",1,No,0,0.0,0.4454285050592115,1603.6349569999402,False,graphrag,0
oa_177,"At time 180 in context ctx_04, can u_0240 access res_0124?",0,no To determine if u_0240 can access res_0124 at time 180,1,1.0,0.44162139502064934,1600.4522090001956,False,graphrag,0
oa_2250,"At time 55 in context ctx_07, can u_0321 access res_0141?",1,No,0,0.0,0.4476986171737794,1601.1350390003827,False,graphrag,0
oa_178,"At time 65 in context ctx_01, can u_0104 access res_0071?",0,No,1,1.0,0.4624115692244636,1588.824346000365,False,graphrag,0
oa_2280,"At time 61 in context ctx_05, can u_0247 access res_0139?",1,No,0,0.0,0.48456597014477376,1584.381900000153,False,graphrag,0
oa_186,"At time 157 in context ctx_05, can u_0441 access res_0085?",0,No,1,1.0,0.5027595294846429,1586.9764809999651,False,graphrag,0
oa_2374,"At time 56 in context ctx_00, can u_0020 access res_0055?",1,No,0,0.0,0.44051962428622776,1596.555262000038,False,graphrag,0
oa_201,"At time 116 in context ctx_04, can u_0457 access res_0045?",0,No,1,1.0,0.4732321600119273,1592.8204370002277,False,graphrag,0
oa_2411,"At time 53 in context ctx_05, can u_0471 access res_0074?",1,No,0,0.0,0.4615563005208969,1600.7725640001809,False,graphrag,0
oa_209,"At time 110 in context ctx_06, can u_0171 access res_0122?",0,No,1,1.0,0.48467769380658865,1601.2292410000555,False,graphrag,0
oa_2522,"At time 59 in context ctx_03, can u_0096 access res_0056?",1,No,0,0.0,0.4530025466724678,1601.841529000012,False,graphrag,0
oa_218,"At time 153 in context ctx_01, can u_0386 access res_0023?",0,No,1,1.0,0.478571780025959,1588.2101739998689,False,graphrag,0
