qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0016?",1,1,1,1.0,1.0,118.82050009444356,False,quest_kg,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,0,1,1.0,1.0,20.795200020074844,False,quest_kg,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,1,1,1.0,1.0,19.966399995610118,False,quest_kg,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,0,1,1.0,1.0,23.484300123527646,False,quest_kg,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,1,1,1.0,1.0,17.596400110051036,False,quest_kg,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,0,1,1.0,1.0,16.26960001885891,False,quest_kg,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0125?",1,1,1,1.0,1.0,20.099100191146135,False,quest_kg,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,0,1,1.0,1.0,15.148199861869216,False,quest_kg,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,1,1,1.0,1.0,17.044999869540334,False,quest_kg,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,0,1,1.0,1.0,17.285299953073263,False,quest_kg,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,1,1,1.0,1.0,15.921799931675196,False,quest_kg,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,0,1,1.0,1.0,15.201000031083822,False,quest_kg,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0016?",1,1,1,1.0,1.0,17.969399923458695,False,quest_kg,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,0,1,1.0,1.0,15.754499938338995,False,quest_kg,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0139?",1,1,1,1.0,1.0,21.62209991365671,False,quest_kg,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,0,1,1.0,1.0,24.680099915713072,False,quest_kg,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0066?",1,1,1,1.0,1.0,26.091899955645204,False,quest_kg,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,0,1,1.0,1.0,16.34069997817278,False,quest_kg,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0180?",1,1,1,1.0,1.0,16.94500003941357,False,quest_kg,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,0,1,1.0,1.0,15.191299840807915,False,quest_kg,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0077?",1,1,1,1.0,1.0,23.125499952584505,False,quest_kg,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,0,1,1.0,1.0,20.92629997059703,False,quest_kg,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,1,1,1.0,1.0,17.369600012898445,False,quest_kg,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,0,1,1.0,1.0,18.60449998639524,False,quest_kg,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0055?",1,1,1,1.0,1.0,20.948899909853935,False,quest_kg,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,1,0,0.0,1.0,20.48639999702573,False,quest_kg,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,1,1,1.0,1.0,23.676799843087792,False,quest_kg,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,0,1,1.0,1.0,22.884600097313523,False,quest_kg,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0077?",1,1,1,1.0,1.0,23.880199994891882,False,quest_kg,0
