qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0027?",1,No.,0,0.0,0.8,9314.134321999518,False,tog2,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,Insufficient information.,0,0.0,0.8,9307.071698000073,False,tog2,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,Insufficient information.,0,0.0,0.8,9316.748103999998,False,tog2,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,No.,1,1.0,0.8,9284.453897000276,False,tog2,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,No.,0,0.0,0.8,9318.122195998512,False,tog2,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,No.,1,1.0,0.8,9280.034182000236,False,tog2,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0130?",1,No.,0,0.0,0.8,9327.748628000336,False,tog2,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,No.,1,1.0,0.8,9311.44937099998,False,tog2,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,No.,0,0.0,0.8,9313.462550000622,False,tog2,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,No.,1,1.0,0.8,1463.4707090008305,False,tog2,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,To determine if u_0452 can access res_0130 at time 60 in context,0,0.0,0.8,9322.24760400095,False,tog2,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,Yes.,0,0.0,0.8,9323.877103000996,False,tog2,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0027?",1,No.,0,0.0,0.8,9317.476226999133,False,tog2,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,No.,1,1.0,0.8,9320.185193000725,False,tog2,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0081?",1,No.,0,0.0,0.8,9318.96418299948,False,tog2,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,No.,1,1.0,0.8,9322.491425999033,False,tog2,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0133?",1,No.,0,0.0,0.8,9317.59535999845,False,tog2,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,No.,1,1.0,0.8,9309.860937000849,False,tog2,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0140?",1,To determine if u_0096 can access res_0140 at time 58 in context,0,0.0,0.8,9326.672043000144,False,tog2,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,No.,1,1.0,0.8,9317.73549799982,False,tog2,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0114?",1,No.,0,0.0,0.8,9316.94619299924,False,tog2,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,No.,1,1.0,0.8,9316.65413599876,False,tog2,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,No.,0,0.0,0.8,9372.030350001296,False,tog2,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,No.,1,1.0,0.8,9319.141719999607,False,tog2,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0103?",1,No.,0,0.0,0.8,9310.660687000563,False,tog2,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,No.,1,1.0,0.8,9309.757957998954,False,tog2,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,No.,0,0.0,0.8,9312.780547001239,False,tog2,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,No.,1,1.0,0.8,9323.903639999116,False,tog2,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0114?",1,No.,0,0.0,0.8,9317.88065299952,False,tog2,0
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,No.,1,1.0,0.8,9321.800892999818,False,tog2,0
oa_1277,"At time 58 in context ctx_02, can u_0243 access res_0114?",1,No.,0,0.0,0.8,9309.959190999507,False,tog2,0
oa_81,"At time 64 in context ctx_00, can u_0378 access res_0078?",0,No.,1,1.0,0.8,9318.63707299999,False,tog2,0
oa_1342,"At time 55 in context ctx_07, can u_0176 access res_0061?",1,No.,0,0.0,0.8,9315.81357200048,False,tog2,0
oa_82,"At time 86 in context ctx_06, can u_0011 access res_0149?",0,No.,1,1.0,0.8,9317.624727998918,False,tog2,0
oa_1531,"At time 53 in context ctx_05, can u_0440 access res_0074?",1,No.,0,0.0,0.8,9325.411325999085,False,tog2,0
