qid,gold_e2,pred_e2,em,x_rank,confidence
0,34773,34773,1,1,0.8979588449001312
1,11441,11441,1,1,0.9604550302028656
2,60598,43858,0,121,0.8622353971004486
3,45605,45605,1,1,0.9875141978263855
4,47269,22494,0,228,0.8859671354293823
5,93532,93532,1,1,0.9161955714225769
6,92317,44698,0,263,0.8898539841175079
7,6001,59076,0,33,0.9418044984340668
8,88548,88548,1,1,0.983359307050705
9,14590,14589,0,3,0.9255968928337097
10,48398,48398,1,1,0.8454296290874481
11,8380,8380,1,1,0.8774007260799408
12,60425,60425,1,1,0.8660836517810822
13,26198,26198,1,1,0.9020670652389526
14,96745,96745,1,1,0.9769277274608612
15,22712,57235,0,4,0.9423129558563232
16,95402,10093,0,7,0.9146509170532227
17,39553,39553,1,1,0.9464370608329773
18,43336,43336,1,1,0.892389178276062
19,6384,6003,0,3,0.8601059913635254
20,8643,8643,1,1,0.9137841165065765
21,29658,29658,1,1,0.9634671211242676
22,39696,39696,1,1,0.8899689018726349
23,78642,78642,1,1,0.9587385058403015
24,50736,50735,0,53,0.8524079322814941
25,46686,25151,0,10,0.8633820712566376
26,50090,15194,0,168,0.8726923763751984
27,38016,38016,1,1,0.9447706937789917
28,86531,86531,1,1,0.9648672938346863
29,95960,95960,1,1,0.9374428391456604
30,77386,29779,0,18,0.862912118434906
31,42396,42396,1,1,0.9194276034832001
32,52635,52635,1,1,0.8805832862854004
33,89835,89835,1,1,0.8771950602531433
34,27736,27736,1,1,0.9636447429656982
35,54941,54941,1,1,0.9704756736755371
36,84472,84472,1,1,0.8787404000759125
37,4078,28568,0,51,0.8792976438999176
38,77094,77094,1,1,0.9120589196681976
39,40500,40500,1,1,0.9119323492050171
40,99745,99745,1,1,0.9652376174926758
41,34141,61163,0,37,0.9181263744831085
42,203,541,0,23,0.9302797913551331
43,74825,74825,1,1,0.9865666627883911
44,49041,49041,1,1,0.8890292644500732
45,32639,32639,1,1,0.9136268794536591
46,76391,76391,1,1,0.9354217946529388
47,57896,65046,0,640,0.9183579385280609
48,30006,30006,1,1,0.896099328994751
49,1835,1835,1,1,0.8356488943099976
50,53421,10101,0,1482,0.888262927532196
51,51140,52981,0,2,0.8803808093070984
52,35028,35040,0,107,0.8088182210922241
53,37373,84969,0,5,0.9240783751010895
54,64318,64318,1,1,0.8989853262901306
55,15931,15931,1,1,0.8786026239395142
56,47450,19447,0,8,0.9122694730758667
57,27807,27807,1,1,0.9883303344249725
58,48195,48196,0,4,0.9073699116706848
59,30721,30721,1,1,0.8862779140472412
60,33783,33783,1,1,0.8812257051467896
61,51355,51355,1,1,0.9001959562301636
62,71209,71209,1,1,0.9309704005718231
63,76271,5031,0,2,0.8821452558040619
64,40767,39232,0,47,0.8986061215400696
65,53114,53114,1,1,0.9421292841434479
66,6451,6451,1,1,0.9870570003986359
67,63979,83162,0,2,0.9050738513469696
68,74207,57966,0,66,0.9047940373420715
69,66942,66942,1,1,0.8847372531890869
