qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,The given information does not provide a specific year or team name associated with Lou Seal being the mascot of the team that last,0,0.0,0.8,14716.34820010513,False,tog1,0
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,"The information provided does not contain any details about a country nation world tour or its artist's educational background. Therefore, there",0,0.0,0.8,14802.07600002177,False,tog1,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Judaism,1,1.0,0.8,14986.212600022554,False,tog1,0
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Germany,1,1.0,0.8,14759.163599926978,False,tog1,2
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Afghanistan,0,0.0,0.8,15464.154500048608,False,tog1,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Guatemala,1,1.0,0.8,14582.849799888209,False,tog1,3
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,The Prime Minister of Libya,0,0.0,0.8,15043.735699960962,False,tog1,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,University of Northern Colorado,1,1.0,0.8,14971.466700080782,False,tog1,0
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Spanish,0,0.6666666666666666,0.8,14536.843500100076,False,tog1,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,"The type of government used in a country with Northern District is not specified. To determine this, we need to find out",0,0.0,0.8,15611.085899872705,False,tog1,0
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Portugal,0,0.0,0.8,14183.421299792826,False,tog1,0
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,"French and German. To determine which languages are spoken by people from the country containing Nord-Ouest Department, we need to",0,0.0909090909090909,0.8,14653.001399943605,False,tog1,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,Tom Cruise,0,0.0,0.8,14578.976599965245,False,tog1,0
WebQTrn-849_586aae7703d62aa44eb79759e1563309,What European Union country sharing borders with Germany contains the Lejre Municipality?,Denmark,Denmark,1,1.0,0.8,15278.877600096166,False,tog1,0
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,2014 World Series,The last time a team led by Larr Baer won the World Series was in 2010. To,0,0.2,0.8,14750.163899967447,False,tog1,0
WebQTrn-2209_c1374f388d9cc7a78365860c91218362,What year did the basketball team coached by Brad Stevens win the championship?,2008 NBA Finals,2018,0,0.0,0.8,9319.966200040653,False,tog1,0
