qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Jamaican Creole English and Jamaican English,0,0.8,0.75,15060.892199864611,False,cok,6
WebQTest-1,what did james k polk do before he was president,United States Representative,serve in the north carolina state house of representatives for two years,0,0.43478260869565216,0.75,14581.072899978608,False,cok,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Tony Warren,0,0.0,0.75,15247.891600010917,False,cok,0
WebQTest-6,where is jamarcus russell from,Mobile,united states of america,0,0.0,0.75,14269.432900007814,False,cok,0
WebQTest-7,where was george washington carver from,Diamond,missouri,0,0.0,0.75,14901.531199924648,False,cok,0
WebQTest-8,what else did ben franklin invent,Lightning rod,"The other invention of Ben Franklin is the bifocals. To arrive at this conclusion, we follow the reasoning chain provided",0,0.09523809523809523,0.75,14280.242500128224,False,cok,0
WebQTest-9,who was richard nixon married to,Pat Nixon,"hannah milhous nixon To determine who Richard Nixon was married to, we need to follow the reasoning chain step",0,0.17391304347826086,0.75,14507.137299980968,False,cok,0
WebQTest-12,who is governor of ohio 2011,John Kasich,James K. Polk,0,0.0,0.75,14003.550000023097,False,cok,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Gerald Ford,0,0.0,0.75,14449.756999965757,False,cok,0
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,"polk county, florida",0,0.0,0.75,15498.398799914867,False,cok,0
WebQTest-16,what countries are part of the uk,Wales,United Kingdom,0,0.0,0.75,14519.68580018729,False,cok,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,0.75,14602.86490013823,False,cok,1
WebQTest-20,what did st augustine do,Writer,"St. Augustine is an important figure in Christian history, particularly for his contributions to theology and philosophy. He wrote extensively on",0,0.0,0.75,14785.39129998535,False,cok,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Kemar Bailey-Cole,0,0.4,0.75,14329.947700025514,False,cok,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,parliamentary,0,0.0,0.75,15017.555400030687,False,cok,0
WebQTest-23,what town was martin luther king assassinated in,Memphis,dallas,0,0.0,0.75,14088.87410000898,False,cok,0
WebQTest-24,where did edgar allan poe died,Baltimore,"new york city To determine where Edgar Allan Poe died, we need to follow the reasoning chain provided:",0,0.0,0.75,14639.635999919847,False,cok,0
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,visit Fish Creek,0,0.0,0.75,13460.935499984771,False,cok,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,clarence electorate,0,0.0,0.75,14549.345800187439,False,cok,0
WebQTest-31,where did andy murray started playing tennis,2005,antioch,0,0.0,0.75,15146.505099954084,False,cok,0
WebQTest-32,what is the australian dollar called,AUD,Australian dollar is also known as Aussie,0,0.0,0.75,14149.65399983339,False,cok,0
WebQTest-33,what timezone is sweden,Central European Time Zone,central time zone,0,0.8571428571428571,0.75,14506.786199985072,False,cok,0
WebQTest-34,who did cam newton sign with,Carolina Panthers,american football player,0,0.0,0.75,14114.622300025076,False,cok,0
WebQTest-35,what county is frederick md in,Frederick County,Anne Arundel County,0,0.4,0.75,14413.708499865606,False,cok,0
WebQTest-36,what highschool did harper lee go to,Monroe County High School,James k polk elementary school,0,0.22222222222222224,0.75,14537.638399982825,False,cok,0
