qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Usain Bolt,0,0.0,1.0,233.74060005880892,False,quest_kg,0
WebQTest-1,what did james k polk do before he was president,United States Representative,George M. Dallas,0,0.0,1.0,50.19520013593137,False,quest_kg,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Coronation Street - Season 26,0,0.0,1.0,41.494499891996384,False,quest_kg,0
WebQTest-6,where is jamarcus russell from,Mobile,American football player,0,0.0,1.0,31.25549992546439,False,quest_kg,0
WebQTest-7,where was george washington carver from,Diamond,African American,0,0.0,1.0,34.434199798852205,False,quest_kg,0
WebQTest-8,what else did ben franklin invent,Lightning rod,Inventor,0,0.0,1.0,50.12249993160367,False,quest_kg,0
WebQTest-9,who was richard nixon married to,Pat Nixon,The Real Nixon: An Intimate Biography,0,0.25,1.0,48.613499850034714,False,quest_kg,0
WebQTest-12,who is governor of ohio 2011,John Kasich,"United States presidential election in Ohio, 2012",0,0.0,1.0,51.76709988154471,False,quest_kg,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Lyndon B. Johnson,1,1.0,1.0,47.009400092065334,False,quest_kg,1
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Fukushima I – 6,0,0.0,1.0,41.51290003210306,False,quest_kg,0
WebQTest-16,what countries are part of the uk,Wales,Europe,0,0.0,1.0,59.11719985306263,False,quest_kg,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,1.0,54.02839998714626,False,quest_kg,1
WebQTest-20,what did st augustine do,Writer,Introduction to the philosophy of Saint Augustine,0,0.0,1.0,33.65259990096092,False,quest_kg,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Leon Cole,1,1.0,1.0,42.5118999555707,False,quest_kg,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,Government of Egypt,0,0.4,1.0,59.32640004903078,False,quest_kg,2
WebQTest-23,what town was martin luther king assassinated in,Memphis,Assassination,0,0.0,1.0,45.02160008996725,False,quest_kg,0
WebQTest-24,where did edgar allan poe died,Baltimore,Baltimore,1,1.0,1.0,53.35960001684725,False,quest_kg,1
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,Ansley Park,0,0.4,1.0,43.53719996288419,False,quest_kg,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"Queensland state election, 2009",0,0.0,1.0,35.46809987165034,False,quest_kg,0
WebQTest-31,where did andy murray started playing tennis,2005,Andy Murray,0,0.0,1.0,31.499600037932396,False,quest_kg,0
WebQTest-32,what is the australian dollar called,AUD,Australia,0,0.0,1.0,24.03269987553358,False,quest_kg,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Central European Time Zone,1,1.0,1.0,33.24609994888306,False,quest_kg,1
WebQTest-34,who did cam newton sign with,Carolina Panthers,"Cecil Newton, Sr.",0,0.0,1.0,25.62119998037815,False,quest_kg,0
WebQTest-35,what county is frederick md in,Frederick County,Frederick County,1,1.0,1.0,26.255999924615026,False,quest_kg,1
WebQTest-36,what highschool did harper lee go to,Monroe County High School,m.0lwxmyl,0,0.0,1.0,26.986300013959408,False,quest_kg,0
WebQTest-37,what timezone is utah in,Mountain Time Zone,Mountain Time Zone,1,1.0,1.0,29.59850011393428,False,quest_kg,1
WebQTest-38,who did george w. bush run against for the second term,John Kerry,"United States presidential election, 2000",0,0.0,1.0,29.3654000852257,False,quest_kg,0
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,Niall Ferguson,0,0.0,1.0,30.274000018835068,False,quest_kg,0
WebQTest-41,where is the galapagos islands located on a world map,Ecuador,g.12377byy,0,0.0,1.0,27.259200112894177,False,quest_kg,0
WebQTest-42,what are the songs that justin bieber wrote,Somebody to Love,All Around The World,1,1.0,1.0,33.51360000669956,False,quest_kg,0
WebQTest-43,what did george clemenceau do,Physician,Benjamin Clemenceau,0,0.0,1.0,27.111500035971403,False,quest_kg,0
WebQTest-44,what is the state flower of arizona,Saguaro,Phoenix,0,0.0,1.0,32.33739989809692,False,quest_kg,0
WebQTest-45,where was rihanna born and raised,Saint Michael Parish,Saint Michael Parish,1,1.0,1.0,32.72269992157817,False,quest_kg,1
WebQTest-46,what year did president william henry harrison take office,1841-03-04,John Tyler,0,0.0,1.0,28.2494998537004,False,quest_kg,0
WebQTest-47,where george lopez was born,Mission Hills,United States of America,0,0.0,1.0,40.38690007291734,False,quest_kg,4
WebQTest-48,where are samsung based,Suwon,Lee Byung-chul,0,0.0,1.0,33.095600083470345,False,quest_kg,0
WebQTest-49,what did the islamic people believe in,Ṭūbā,Zainab al-Sughra ibn Ali,0,0.0,1.0,41.14340012893081,False,quest_kg,0
WebQTest-51,who will play mr gray in the film,Jamie Dornan,Fifty Shades of Grey,0,0.0,1.0,36.49070020765066,False,quest_kg,0
WebQTest-52,what did george orwell died of,Tuberculosis,London,0,0.0,1.0,57.6492000836879,False,quest_kg,2
WebQTest-54,what country did adolf hitler control,Nazi Germany,"Hitler left the army in 1920, and became party propagandist, editing the party newspaper the 'Volkischer Beobachter' ('People's Observer'), arranging frequent meetings, changing the name of the party to the National-sozialistische Deutsche Arbeiterpartei (the National Socialist German Workers' Party, NSDAP or Nazi Party), imposing himself as its Chairman by July 1921, and giving the new Party its symbol - the swastika - and its greeting, 'Heil!'.",0,0.029411764705882356,1.0,51.55629990622401,False,quest_kg,0
WebQTest-55,who is michael buble,Actor,Canada,0,0.0,1.0,50.17760000191629,False,quest_kg,0
WebQTest-56,what county is kansas city kansas,Wyandotte County,Wyandotte County,1,1.0,1.0,41.709400014951825,False,quest_kg,1
WebQTest-58,who did jackie robinson first play for,UCLA Bruins football,Baseball player,0,0.0,1.0,35.25329986587167,False,quest_kg,0
WebQTest-59,when did annie open,1976-08-10,Annie: A New Musical,0,0.0,1.0,42.610600125044584,False,quest_kg,0
WebQTest-60,where did eleanor roosevelt die,Manhattan,Manhattan,1,1.0,1.0,43.17229986190796,False,quest_kg,1
WebQTest-61,what are the religions practiced in indonesia,Catholicism,m.064szjw,0,0.0,1.0,43.11059997417033,False,quest_kg,0
WebQTest-62,what was jesse james killed with,Firearm,Assassination,0,0.0,1.0,41.25280003063381,False,quest_kg,2
WebQTest-63,who was vp for lincoln,Hannibal Hamlin,Andrew Johnson,1,1.0,1.0,34.79230008088052,False,quest_kg,0
WebQTest-64,what other books did charles dickens write,A Christmas Carol (Chrysalis Children's Classics Series),henry james reviewed work of charles dickens,0,0.4137931034482759,1.0,31.559000024572015,False,quest_kg,0
WebQTest-65,who was the first dictator of the soviet union,Vladimir Lenin,Soviet democracy,0,0.0,1.0,30.2773998118937,False,quest_kg,0
WebQTest-66,what is the currency of puerto rico called,United States Dollar,United States Dollar,1,1.0,1.0,33.02850015461445,False,quest_kg,1
WebQTest-67,what kind of cancer did carl wilson have,Lung cancer,Lung cancer,1,1.0,1.0,26.68789983727038,False,quest_kg,1
WebQTest-68,who plays the voice of kitt in knight rider,William Daniels,KITT,0,0.0,1.0,24.626400088891387,False,quest_kg,0
WebQTest-69,what county is brentwood tennessee in,Williamson County,Tennessee,0,0.0,1.0,23.430600063875318,False,quest_kg,2
WebQTest-71,who did michael j fox marry,Tracy Pollan,Tracy Pollan and her husband Michael J. Fox,0,0.4,1.0,26.145700132474303,False,quest_kg,0
WebQTest-72,what battles did stonewall jackson fight in,Manassas Station Operations,Battle of Antietam,0,0.6666666666666666,1.0,28.106600046157837,False,quest_kg,0
WebQTest-73,what language do the maasai tribe speak,Maasai Language,Maasai Language,1,1.0,1.0,22.787499940022826,False,quest_kg,1
WebQTest-74,who did benjamin franklin get married to,Deborah Read,"In London, Franklin and his son William lodged for 15 years with Margaret Stevenson, whose daughter Mary married the anatomist and physiologist Hewson.",0,0.0,1.0,28.55350007303059,False,quest_kg,0
WebQTest-75,what disease did patrick swayze died from,Pancreatic cancer,Pancreatic cancer,1,1.0,1.0,25.797200156375766,False,quest_kg,1
WebQTest-76,what works of art did leonardo da vinci produce,g.121wt37c,"Leonardo, paintings and drawings",0,0.28571428571428575,1.0,27.931799879297614,False,quest_kg,0
WebQTest-77,what capital of austria,Vienna,Vienna,1,1.0,1.0,38.92439999617636,False,quest_kg,1
WebQTest-78,what type of cancer did eva peron have,Cervical cancer,Cancer,0,0.6666666666666666,1.0,25.858799926936626,False,quest_kg,2
WebQTest-79,what country did buddha come from,Nepal,Nepal,1,1.0,1.0,33.79529993981123,False,quest_kg,1
WebQTest-80,what county is greeley colorado in,Weld County,Weld County,1,1.0,1.0,44.42299995571375,False,quest_kg,1
WebQTest-82,what did peter tchaikovsky do,Musician,peter ilich tchaikovsky a fan was ivan sergeyevich turgenev,0,0.0,1.0,44.70389988273382,False,quest_kg,0
WebQTest-83,which countries speak german officially,Belgium,East Germany,1,1.0,1.0,38.21650007739663,False,quest_kg,0
WebQTest-84,what type of music did john lennon sing,Rock music,Beatles Classic Hits,0,0.0,1.0,55.125500075519085,False,quest_kg,0
WebQTest-85,who are the colorado representatives,Mark Udall,m.09qpcz7,0,0.0,1.0,52.47960006818175,False,quest_kg,0
WebQTest-86,which country does greenland belong to,Denmark,Denmark,1,1.0,1.0,44.15019997395575,False,quest_kg,1
WebQTest-87,what the zip code for seattle washington,98185,Area code 206,0,0.0,1.0,39.37459993176162,False,quest_kg,0
WebQTest-88,who is willow smith mom name,Jada Pinkett Smith,Jada Pinkett Smith,1,1.0,1.0,49.026799853891134,False,quest_kg,1
WebQTest-89,what do you call the chinese writing system,Simplified Chinese character,Traditional Chinese characters,1,1.0,1.0,39.32619979605079,False,quest_kg,0
WebQTest-90,who played on the jeffersons,Damon Evans,m.03lkkdt,0,0.0,1.0,39.54600007273257,False,quest_kg,0
WebQTest-91,what is the name of the san francisco newspaper,Synapse,San Francisco News-Call Bulletin Newspaper,1,1.0,1.0,33.578900154680014,False,quest_kg,0
WebQTest-93,what continent does armenia belong to,Europe,Asia,0,0.0,1.0,31.557600013911724,False,quest_kg,2
WebQTest-94,what did randy savage died of,heart attack,heart attack,1,1.0,1.0,31.16260003298521,False,quest_kg,1
WebQTest-95,what was the title of the book charles darwin wrote,On evolution,Autobiography,0,0.33333333333333337,1.0,37.76609990745783,False,quest_kg,0
