qid,gold_e2,pred_e2,em,x_rank,confidence
0,39561,39561,1,1,0.8904628157615662
1,67388,67388,1,1,0.9054569005966187
2,16079,16079,1,1,0.8514513969421387
3,83900,83900,1,1,0.8039824664592743
4,34091,34091,1,1,0.8907594382762909
5,62142,62142,1,1,0.8688425123691559
6,81383,81383,1,1,0.869366317987442
7,6201,97911,0,3,0.8505602180957794
8,35160,35160,1,1,0.8244519531726837
9,45505,51238,0,1078,0.8667382299900055
10,54190,54190,1,1,0.8535184860229492
11,83753,83753,1,1,0.7881670296192169
12,8678,8678,1,1,0.8549141585826874
13,61235,61235,1,1,0.9147381484508514
14,47315,19019,0,2,0.8809651732444763
15,87200,87200,1,1,0.8901886641979218
16,48085,48085,1,1,0.853329986333847
17,6515,6473,0,2,0.860361248254776
18,54858,54858,1,1,0.883371502161026
19,94367,94367,1,1,0.8648162186145782
20,93966,93966,1,1,0.9099835157394409
21,26448,26448,1,1,0.810518205165863
22,33425,43625,0,65,0.8651488125324249
23,91677,98755,0,77,0.8493136465549469
24,62345,98906,0,33,0.8422720432281494
25,11657,11657,1,1,0.8292779624462128
26,84358,84358,1,1,0.9089993238449097
27,27251,68971,0,37646,0.8336523771286011
28,44722,45019,0,192,0.8733025193214417
29,7768,7768,1,1,0.8367054462432861
30,21826,21826,1,1,0.8254434466362
31,49966,49966,1,1,0.9269527494907379
32,62395,62395,1,1,0.8906575739383698
33,38921,38921,1,1,0.8887958228588104
34,66398,26192,0,535,0.9048771560192108
35,93848,93848,1,1,0.8268533945083618
36,97966,97965,0,5,0.8402341604232788
37,71752,71752,1,1,0.8411456644535065
38,30532,30532,1,1,0.8999897837638855
39,46901,46901,1,1,0.8453836143016815
40,95094,25782,0,550,0.8851611614227295
41,22669,22669,1,1,0.9100709557533264
42,61184,33991,0,188,0.8335767090320587
43,24181,24181,1,1,0.8659616708755493
44,36086,36086,1,1,0.8831399381160736
45,77963,84774,0,22,0.8633367121219635
46,13087,13087,1,1,0.9185060560703278
47,19124,19124,1,1,0.9127732217311859
48,35036,35036,1,1,0.8731188476085663
49,2907,2907,1,1,0.8059491217136383
50,12020,12020,1,1,0.8471854627132416
51,19300,19300,1,1,0.8452845811843872
52,15265,15265,1,1,0.8622856438159943
53,69645,69645,1,1,0.8157415091991425
54,7154,7154,1,1,0.839280903339386
55,47011,18838,0,82,0.9101260304450989
56,98631,98631,1,1,0.9002271294593811
57,31205,31205,1,1,0.8297856748104095
58,57912,53780,0,414,0.873845785856247
59,14039,14037,0,11104,0.8236625790596008
60,2504,2504,1,1,0.8620991408824921
61,1086,2305,0,7,0.8473037481307983
62,62262,62262,1,1,0.8370553255081177
63,97065,97065,1,1,0.8513333201408386
64,13588,13588,1,1,0.8842039108276367
65,8023,93228,0,4,0.8332734405994415
66,44602,44602,1,1,0.8615390658378601
67,2583,2583,1,1,0.8759796023368835
68,42203,42203,1,1,0.8974807560443878
69,38401,38401,1,1,0.9205688536167145
70,47496,47496,1,1,0.8421570062637329
71,1469,1469,1,1,0.9128133654594421
72,26665,26665,1,1,0.8792760074138641
73,60606,60606,1,1,0.872776210308075
74,74416,74416,1,1,0.8728793561458588
75,71654,71654,1,1,0.9295618236064911
76,64139,98244,0,25360,0.83558389544487
77,84099,84099,1,1,0.8984698951244354
78,82844,82844,1,1,0.776220440864563
79,91093,91093,1,1,0.824661523103714
80,74806,74806,1,1,0.8815037608146667
