qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,"To determine when Lou Seal's team last won the World Series, we need to identify which team Lou Seal represents and then",0,0.15384615384615383,0.8,9551.427571990644,False,tog2,0
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,"The information provided does not include details about where Brad Paisley went to college. To answer this question, additional information about",0,0.0,0.8,9584.044021001318,False,tog2,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,The predominant religion where the leader is Ovadia Yosef is Judaism.,0,0.16666666666666669,0.8,9513.295458003995,False,tog2,0
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,"Weeze Airport is located in Germany, which borders France, and it serves Nijmegen. Therefore, the",0,0.125,0.8,9488.00518400094,False,tog2,0
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,The given information does not provide details about the religions practiced in Afghanistan. The chain of reasoning focuses on attributes of the Afghan,0,0.0,0.8,9364.86153700389,False,tog2,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Guatemala,1,1.0,0.8,9704.205597998225,False,tog2,3
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,"Based on the provided information, the man associated with the position of Prime Minister of Libya is identified by the identifier ""m",0,0.0,0.8,9636.624740000116,False,tog2,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,The information provided does not specify the location of the Northern Colorado Bears football team. While it can be inferred that the team,0,0.22222222222222218,0.8,9598.103798998636,False,tog2,0
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,The chain does not provide information about the location that appointed Michelle Bachelet to a governmental position or the language spoken there,0,0.08333333333333334,0.8,9620.836511006928,False,tog2,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,The question cannot be accurately answered based on the given reasoning chain. The chain does not provide information about the type of government,0,0.0,0.8,9656.330119993072,False,tog2,0
