qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,San Francisco Giants,0,0.0,0.305269134807071,269.2914998624474,False,quest_kg,0
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,Brad Paisley,0,0.0,0.34759588266649316,88.95640005357563,False,quest_kg,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Judaism,1,1.0,0.23414615747544248,99.55470007844269,False,quest_kg,3
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Weeze Airport,0,0.0,0.3105442150344102,164.1253000125289,False,quest_kg,0
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Pashto language,0,0.0,0.2630391907234666,71.68979989364743,False,quest_kg,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Guatemala,1,1.0,0.30707467355944695,81.64469990879297,False,quest_kg,1
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,Libyan Arabic,0,0.0,0.2970670068566416,172.40719986148179,False,quest_kg,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,University of Northern Colorado,1,1.0,0.2529516011592041,93.36049994453788,False,quest_kg,3
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Politician,0,0.0,0.26061940291907937,86.39539987780154,False,quest_kg,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,Israel,0,0.0,0.3441161979930375,105.58239999227226,False,quest_kg,1
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Portugal,0,0.0,0.1366666053903907,75.45270002447069,False,quest_kg,4
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,Saint-Louis-du-Nord,0,0.0,0.12149973940727063,68.2890999596566,False,quest_kg,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,Kevin Mangan,0,0.0,0.2882392886320167,64.72679995931685,False,quest_kg,0
WebQTrn-849_586aae7703d62aa44eb79759e1563309,What European Union country sharing borders with Germany contains the Lejre Municipality?,Denmark,Denmark,1,1.0,0.3513366243859516,83.25370005331933,False,quest_kg,1
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,2014 World Series,Male,0,0.0,0.27321284539501495,73.99720000103116,False,quest_kg,0
WebQTrn-2209_c1374f388d9cc7a78365860c91218362,What year did the basketball team coached by Brad Stevens win the championship?,2008 NBA Finals,Boston Celtics,0,0.0,0.25506130422377155,78.80220003426075,False,quest_kg,0
WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,What country speaks Germanic languages and uses the East German mark as currency?,East Germany,East Germany,1,1.0,0.578516818080273,71.45330007188022,False,quest_kg,2
