qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,San Francisco Giants,0,0.0,0.7173531651496887,2544.176099821925,False,vanilla_rag,0
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,United States of America,0,0.0,0.5934149622917175,2397.326999809593,False,vanilla_rag,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Judaism,1,1.0,0.6963922381401062,2340.1387999765575,False,vanilla_rag,4
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Germany,1,1.0,0.6002278923988342,2549.6942999307066,False,vanilla_rag,3
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Afghanistan,0,0.0,0.7620486617088318,2230.4787999019027,False,vanilla_rag,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Guatemala,1,1.0,0.7051447033882141,510.4028999339789,False,vanilla_rag,1
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,m.0h89drz,0,0.0,0.8025582432746887,2298.669599927962,False,vanilla_rag,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,University of Northern Colorado,1,1.0,0.7871522307395935,1455.0958001054823,False,vanilla_rag,1
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Spanish Language,1,1.0,0.46749815344810486,2306.808500085026,False,vanilla_rag,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,Unitary state,0,0.0,0.5483793616294861,2172.305600019172,False,vanilla_rag,0
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Portugal and Brazil,0,0.0,0.472331166267395,2130.842800019309,False,vanilla_rag,0
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,"French, Breton, Franco-Provençal Language, Sudanic Languages (Arabic), Corsican Language",0,0.18181818181818182,0.5677956342697144,2205.2150000818074,False,vanilla_rag,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,m.0btp6q9,0,0.0,0.5120766758918762,2380.002799909562,False,vanilla_rag,0
