qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Kerron Stewart,0,0.0,1.0,226.0323001537472,False,quest_kg,0
WebQTest-1,what did james k polk do before he was president,United States Representative,"In 1844, he was considered a shoo-in for the Democratic vice-presidency, but when van Buren antagonized his followers by opposing the annexation of the independent republic of Texas, Polk was made presidential nominee, and was elected -- though as a minority President, with less than half the popular vote.",0,0.18181818181818182,1.0,48.220899887382984,False,quest_kg,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Coronation Street - Season 19,0,0.0,1.0,41.96289996616542,False,quest_kg,0
WebQTest-6,where is jamarcus russell from,Mobile,Zina L. Russell-Anderson,0,0.0,1.0,48.34390012547374,False,quest_kg,11
WebQTest-7,where was george washington carver from,Diamond,Botanist,0,0.0,1.0,34.35939992778003,False,quest_kg,0
WebQTest-8,what else did ben franklin invent,Lightning rod,Inventor,0,0.0,1.0,40.53399991244078,False,quest_kg,4
WebQTest-9,who was richard nixon married to,Pat Nixon,The Real Nixon: An Intimate Biography,0,0.25,1.0,27.61669992469251,False,quest_kg,0
WebQTest-12,who is governor of ohio 2011,John Kasich,"United States presidential election in Ohio, 2012",0,0.0,1.0,27.291800128296018,False,quest_kg,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Lyndon B. Johnson,1,1.0,1.0,28.829999966546893,False,quest_kg,1
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Japan,1,1.0,1.0,22.046899888664484,False,quest_kg,1
WebQTest-16,what countries are part of the uk,Wales,Europe,0,0.0,1.0,39.17090012691915,False,quest_kg,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,1.0,30.564999906346202,False,quest_kg,1
WebQTest-20,what did st augustine do,Writer,"St Augustine's Church, Hedon",0,0.0,1.0,27.25420007482171,False,quest_kg,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Singer,0,0.0,1.0,26.953199878335,False,quest_kg,9
WebQTest-22,what kind government does egypt have,Semi-presidential system,Egyptian Ministry of Foreign Affairs,0,0.0,1.0,32.39140007644892,False,quest_kg,6
WebQTest-23,what town was martin luther king assassinated in,Memphis,Assassination,0,0.0,1.0,27.037600055336952,False,quest_kg,7
WebQTest-24,where did edgar allan poe died,Baltimore,The Death of Poe,0,0.0,1.0,31.606600154191256,False,quest_kg,5
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,Ansley Park,0,0.4,1.0,37.96450002118945,False,quest_kg,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"Queensland state election, 2009",0,0.0,1.0,32.549900002777576,False,quest_kg,0
WebQTest-31,where did andy murray started playing tennis,2005,m.0jxs_c6,0,0.0,1.0,38.46239997074008,False,quest_kg,0
WebQTest-32,what is the australian dollar called,AUD,Australia,0,0.0,1.0,31.533199828118086,False,quest_kg,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Central European Time Zone,1,1.0,1.0,46.46140011027455,False,quest_kg,1
WebQTest-34,who did cam newton sign with,Carolina Panthers,"Cecil Newton, Sr.",0,0.0,1.0,36.67890001088381,False,quest_kg,0
WebQTest-35,what county is frederick md in,Frederick County,Maryland,0,0.0,1.0,47.4199999589473,False,quest_kg,5
