qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,"Jamaican Creole English Language, Haitian Creole, Sea Island Creole English Language, Spanish Language",0,0.8181818181818181,0.6745453722336713,1620.1275879975583,False,graphrag,0
WebQTest-1,what did james k polk do before he was president,United States Representative,"In 1825 Polk was elected to the U.S. House of Representatives, where he continued his support",0,0.3418803418803419,0.694107617202558,1729.909484001837,False,graphrag,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,The subgraph does not provide information about who plays Ken Barlow in Coronation Street. It only contains information about episodes,0,0.0,0.5322262793779373,1689.0354919996753,False,graphrag,0
WebQTest-6,where is jamarcus russell from,Mobile,United States of America,0,0.0,0.7258968725800514,1644.5534589984163,False,graphrag,9
WebQTest-7,where was george washington carver from,Diamond,"United States of America To determine George Washington Carver's origin, I examined the provided triples for information about his nationality or",0,0.0,0.7197393459432265,1647.7800749999005,False,graphrag,0
WebQTest-8,what else did ben franklin invent,Lightning rod,"jamin franklin invent besides the lightning rod? Besides the lightning rod, Benjamin Franklin also invented the Franklin stove, bifoc",0,0.34782608695652173,0.5955778161684672,1728.779745000793,False,graphrag,6
WebQTest-9,who was richard nixon married to,Pat Nixon,Pat Nixon,1,1.0,0.6202555239200592,1261.276971999905,False,graphrag,12
WebQTest-12,who is governor of ohio 2011,John Kasich,The subgraph provided does not contain any information about the governor of Ohio in 2011. It only includes,0,0.0,0.5174001209113909,1693.220160999772,False,graphrag,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,"running mate., base.kwebbase.kwsentence.kwtopic, John F. Kennedy)",0,0.0,0.5142526961863041,1737.8143889982312,False,graphrag,5
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,"Japan, Okuma, Fukushima, m.0ggj3z2, m.0clv1h_",0,0.25,0.7419211765130361,1626.344247997622,False,graphrag,1
WebQTest-16,what countries are part of the uk,Wales,"United Kingdom, with Dependencies and Territories",0,0.0,0.6372939698836383,1657.5646129967936,False,graphrag,14
