qid,gold_e2,pred_e2,em,x_rank,confidence
0,70000,70000,1,1,0.7642432749271393
1,70001,103836,0,20,0.8015831112861633
2,70002,194113,0,1806,0.7486511915922165
3,70003,87342,0,25,0.8202899396419525
4,70004,173511,0,2,0.7867709994316101
5,70005,195295,0,30,0.7286884039640427
6,70006,188241,0,19299,0.7524327039718628
7,70007,73579,0,3,0.8083714544773102
8,70008,124764,0,6,0.7993075251579285
9,70009,195525,0,1123,0.7533394694328308
10,70010,97960,0,4,0.8356645703315735
11,70011,70011,1,1,0.8674424290657043
12,70012,171796,0,32,0.8082720935344696
13,70013,122992,0,10689,0.7396564930677414
14,70014,91962,0,176,0.8001525104045868
15,70015,188516,0,41,0.8608360588550568
16,70016,194809,0,6898,0.7736326456069946
17,70017,184639,0,4066,0.7524908781051636
18,70018,85743,0,75,0.7606975436210632
19,70019,177431,0,3,0.7453312426805496
20,70020,119557,0,6040,0.7493918389081955
21,70021,108818,0,855,0.7467988580465317
22,70022,177135,0,684,0.7239833474159241
23,70023,130926,0,6818,0.7437802702188492
24,70024,197795,0,13,0.7574010491371155
25,70025,177908,0,609,0.7927859127521515
26,70026,172684,0,2,0.7716563940048218
27,70027,172176,0,1248,0.7631280422210693
28,70028,191855,0,748,0.7882637679576874
29,70029,195754,0,737,0.7561498582363129
30,70030,186903,0,79790,0.7293577492237091
31,70031,70031,1,1,0.7804538905620575
32,70032,195728,0,185,0.774997740983963
33,70033,171141,0,8,0.7035784125328064
34,70034,182848,0,9744,0.7832500040531158
35,70035,198055,0,943,0.8444650173187256
36,70036,180425,0,4379,0.7990606427192688
37,70037,81809,0,87,0.7917956113815308
38,70038,195073,0,1603,0.8113114237785339
39,70039,131310,0,1306,0.7491655200719833
40,70040,118046,0,2,0.760705977678299
41,70041,71259,0,1130,0.752040296792984
42,70042,195457,0,86,0.7242283374071121
43,70043,173971,0,15733,0.7251415848731995
44,70044,183829,0,7436,0.7760784327983856
45,70045,79856,0,27,0.803108811378479
46,70046,185377,0,2,0.8335592150688171
47,70047,105418,0,5,0.7789439857006073
48,70048,133709,0,93,0.7457528561353683
49,70049,181083,0,2682,0.7697044610977173
50,70050,110168,0,226,0.737665593624115
51,70051,189214,0,18923,0.7963564395904541
52,70052,181756,0,6,0.8606654405593872
53,70053,122226,0,21220,0.7114556133747101
54,70054,70054,1,1,0.7362919002771378
55,70055,174810,0,258,0.8104247450828552
56,70056,93002,0,1626,0.7661081552505493
57,70057,130169,0,4,0.7993504405021667
58,70058,195647,0,1645,0.7927267253398895
59,70059,70059,1,1,0.8601291179656982
60,70060,191972,0,12,0.7418246269226074
61,70061,78652,0,2,0.7948361933231354
62,70062,180573,0,2,0.8581307530403137
63,70063,182257,0,2559,0.7923377156257629
64,70064,181422,0,1983,0.7758232653141022
65,70065,175484,0,39,0.7873038053512573
66,70066,191368,0,8043,0.7626423835754395
67,70067,81965,0,284,0.7316675782203674
