qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Jamaican English and Jamaican Creole English Language,0,0.923076923076923,0.6712367534637451,37542.24590002559,False,vanilla_rag,0
WebQTest-1,what did james k polk do before he was president,United States Representative,politician,0,0.0,0.6844277381896973,283.29039993695915,False,vanilla_rag,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Ken Barlow is played by m.0wkd82f in Coronation Street. The information provided does not,0,0.0,0.6088457703590393,2604.2692000046372,False,vanilla_rag,0
WebQTest-6,where is jamarcus russell from,Mobile,United States of America,0,0.0,0.7490198612213135,577.6424000505358,False,vanilla_rag,0
WebQTest-7,where was george washington carver from,Diamond,United States of America,0,0.0,0.7586836218833923,490.65629998221993,False,vanilla_rag,0
WebQTest-8,what else did ben franklin invent,Lightning rod,lightning rod,1,1.0,0.6674997806549072,331.8580000195652,False,vanilla_rag,5
WebQTest-9,who was richard nixon married to,Pat Nixon,m.02h98gq,0,0.0,0.637608528137207,2309.9396999459714,False,vanilla_rag,0
WebQTest-12,who is governor of ohio 2011,John Kasich,The information provided does not specify who is currently serving as the governor of Ohio in 2011. It only,0,0.0,0.35151877999305725,2362.128500128165,False,vanilla_rag,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Gerald Ford,0,0.0,0.45600625872612,367.47050005942583,False,vanilla_rag,0
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Japan,1,1.0,0.3566955029964447,2372.226699953899,False,vanilla_rag,0
WebQTest-16,what countries are part of the uk,Wales,United Kingdom,0,0.0,0.4975924491882324,2289.323000004515,False,vanilla_rag,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,0.6060437560081482,2328.7384000141174,False,vanilla_rag,1
WebQTest-20,what did st augustine do,Writer,None,0,0.0,0.33755049109458923,2225.825099973008,False,vanilla_rag,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Josiah Franklin,0,0.0,0.45104312896728516,2164.424599846825,False,vanilla_rag,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,parliamentary system,0,0.4,0.3850943148136139,2487.461200216785,False,vanilla_rag,0
WebQTest-23,what town was martin luther king assassinated in,Memphis,Memphis,1,1.0,0.404517263174057,202.11820001713932,False,vanilla_rag,0
WebQTest-24,where did edgar allan poe died,Baltimore,United States of America,0,0.0,0.5607478022575378,2677.317599998787,False,vanilla_rag,0
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,"None of the locations listed (Youngs, Dallas, Cedartown, Friendship, Akes, Caseyville) are",0,0.14285714285714285,0.41295531392097473,2396.764799952507,False,vanilla_rag,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,None,0,0.0,0.3232799768447876,2403.1578998547047,False,vanilla_rag,0
WebQTest-31,where did andy murray started playing tennis,2005,UK,0,0.0,0.26677635312080383,2412.4489000532776,False,vanilla_rag,0
WebQTest-32,what is the australian dollar called,AUD,Not applicable,0,0.0,0.46184709668159485,2385.6219998560846,False,vanilla_rag,0
WebQTest-33,what timezone is sweden,Central European Time Zone,None of the locations listed have information about Sweden's time zone. The provided facts only include time zones for Onalaska,0,0.22222222222222224,0.5075913071632385,2375.6784999277443,False,vanilla_rag,0
WebQTest-34,who did cam newton sign with,Carolina Panthers,David Hume,0,0.0,0.35407528281211853,2313.989399932325,False,vanilla_rag,0
WebQTest-35,what county is frederick md in,Frederick County,Anne Arundel County,0,0.4,0.4400046765804291,573.6316998954862,False,vanilla_rag,0
WebQTest-36,what highschool did harper lee go to,Monroe County High School,"The information provided does not specify which high school Harper Lee attended. Therefore, I cannot definitively state that she went to",0,0.16,0.3698232173919678,2256.788699887693,False,vanilla_rag,0
WebQTest-37,what timezone is utah in,Mountain Time Zone,UTC−07:00,0,0.0,0.4769693613052368,850.7964999880642,False,vanilla_rag,0
WebQTest-38,who did george w. bush run against for the second term,John Kerry,Ronald Reagan,0,0.0,0.3868483304977417,2471.849199850112,False,vanilla_rag,0
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,"To determine Niall Ferguson's wife, I'll analyze the given information:",0,0.0,0.36311960220336914,2523.184699937701,False,vanilla_rag,0
WebQTest-41,where is the galapagos islands located on a world map,Ecuador,None of the locations mentioned in the facts directly correspond to the Galápagos Islands. The Galápagos Islands,0,0.19047619047619047,0.48335710167884827,2530.054699862376,False,vanilla_rag,0
