qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,San Francisco Giants,0,0.0,0.3052691334262479,549.3005710000034,False,quest_kg_llm,0
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,United States of America,0,0.0,0.3475958852084561,548.1325180003296,False,quest_kg_llm,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Haredi Judaism,0,0.6666666666666666,0.2341461577672128,573.3443650001391,False,quest_kg_llm,3
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Electrabel Centrale Gelderland,0,0.0,0.31054421987107594,566.5622579999763,False,quest_kg_llm,0
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Afghanistan,0,0.0,0.2630391906933374,541.6054580000491,False,quest_kg_llm,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Guatemala,1,1.0,0.3070746733592373,550.8960419997493,False,quest_kg_llm,1
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,Libya,0,0.0,0.2970670076996877,547.062458000255,False,quest_kg_llm,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,Northern Colorado Bears men's basketball,0,0.4,0.2529516016256136,552.3273819999304,False,quest_kg_llm,3
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Politician,0,0.0,0.2606194029217094,547.4839700000302,False,quest_kg_llm,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,Parliamentary system,1,1.0,0.3441162015832102,565.6530730002487,False,quest_kg_llm,1
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Timor-Leste,0,0.0,0.1366666053903907,572.7947280001899,False,quest_kg_llm,4
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,Saint-Louis-du-Nord,0,0.0,0.12149973940727063,546.4667460000783,False,quest_kg_llm,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,Kevin Mangan,0,0.0,0.28823928187562864,544.4074160000127,False,quest_kg_llm,0
WebQTrn-849_586aae7703d62aa44eb79759e1563309,What European Union country sharing borders with Germany contains the Lejre Municipality?,Denmark,Denmark,1,1.0,0.35133661906409425,565.0275950001742,False,quest_kg_llm,1
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,2014 World Series,Male,0,0.0,0.2732128494960961,543.0761659999916,False,quest_kg_llm,0
WebQTrn-2209_c1374f388d9cc7a78365860c91218362,What year did the basketball team coached by Brad Stevens win the championship?,2008 NBA Finals,Basketball,0,0.0,0.25506130531621224,561.0174960002041,False,quest_kg_llm,0
WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,What country speaks Germanic languages and uses the East German mark as currency?,East Germany,East Germany,1,1.0,0.6108069586542992,548.3523640000385,False,quest_kg_llm,2
WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,Which globe region with the UTCâ05:00 time zone does the Dominican Republic call home?,Greater Antilles,Latin America,0,0.0,0.22258437725239918,576.6854049998074,False,quest_kg_llm,4
WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,What was the name of the team that won the 2008 FIFA Club World Cup Final championship?,Newton Heath L&YR F.C.,Manchester United F.C.,0,0.4,0.27689149062400287,553.864999000325,False,quest_kg_llm,0
WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,Which of JFK's brother held the latest governmental position?,Robert F. Kennedy,Robert F. Kennedy,1,1.0,0.18869692317650597,557.6315779999277,False,quest_kg_llm,3
WebQTest-1797_68a33792b0a1e18937dcd4b3f50d941e,What group fought in the Battle of Vicksburg that was based in Montgomery?,Confederate States of America,3rd Louisiana Infantry Regiment,0,0.0,0.13102796832884814,602.2235199998249,False,quest_kg_llm,0
WebQTrn-1864_9dc4e22121d3a46d45b8f9bd9e8c7013,Which country that is situated in the ASEAN Common Time Zone has the largest population?,India,Taiwan,0,0.0,0.2881635407496791,551.352482999846,False,quest_kg_llm,0
WebQTrn-1841_b8df00139e3fa59b8633ef551ed8ca9f,What popular sport in Spain has a team that won the 2010 FIFA World Cup championship?,Spain national football team,Spain national football team,1,1.0,0.36072341004676045,582.677275000151,False,quest_kg_llm,1
WebQTrn-124_f3990dc9aa470fa81ec4cf2912a9924f,Which movie with a character called Ajila was directed by Angelina Jolie?,In the Land of Blood and Honey,In the Land of Blood and Honey,1,1.0,0.3459651528452709,548.5458870002731,False,quest_kg_llm,1
WebQTest-538_49b4e9304f18a0a1cbe37bb162f61131,WHat movies have the actress who is an alumni for West Reading El Ctr a part of?,Hannah Montana: The Movie,Taylor Swift,0,0.0,0.3097167714291036,545.0538789996244,False,quest_kg_llm,0
WebQTrn-2722_8babdaa9ecd05a72e3227b43b1f98771,For what did the personage who was educated at the Dewitt High School win a gold medal?,Gymnastics at the 2012 Summer Olympics – Women's artistic team all-around,DeWitt Public Schools,0,0.0,0.3508308537553019,541.173888999765,False,quest_kg_llm,0
WebQTest-983_ccda690fb745939d0a62c3fbcf3e3769,"Where did Tennessee Williams go to college where the newspaper is ""The Maneater""?",University of Missouri,University of Missouri,1,1.0,0.2573742437652947,544.0639700000247,False,quest_kg_llm,1
WebQTrn-1770_8db36acba886620a06031d39165d78de,Who is the daughter of the artist who had a concert tour called I Am... World Tour?,Blue Ivy,Beyoncé Knowles,0,0.0,0.3463939240474611,548.1207859997994,False,quest_kg_llm,0
WebQTrn-1817_89670933168c3f4e5195a241f9d46e76,What are the governmental types in the country whose national anthem is Tien Quan Ca?,Communist state,Vietnam,0,0.0,0.28346701838889604,549.506066000049,False,quest_kg_llm,0
WebQTrn-849_1eb0f1ddd5074471fbe3a7f6b575f202,Copenhagen is the capital of which German neighboring country?,Denmark,Denmark,1,1.0,0.663025211815841,578.5669239999152,False,quest_kg_llm,2
WebQTrn-2152_92fba37c9723caee68665ad9a5e4a468,Which of team owners Tom Hicks sports team are in the American League West?,Texas Rangers,Texas Rangers,1,1.0,0.24664494414429086,546.3008950000585,False,quest_kg_llm,1
