qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,2014 World Series,1,1.0,1.0,810.1679999381304,False,quest_kg_llm,5
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,Academic Institution,0,0.0,1.0,885.6758999172598,False,quest_kg_llm,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Chief Rabbinate of Israel,0,0.0,1.0,892.9071999154985,False,quest_kg_llm,17
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Alps–Mediterranean Euroregion,0,0.0,1.0,860.6271999888122,False,quest_kg_llm,0
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Afghanistan,0,0.0,1.0,774.9400998000056,False,quest_kg_llm,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Americas,0,0.0,1.0,889.9171000812203,False,quest_kg_llm,20
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,Abdul Wahab,0,0.0,1.0,846.3655998930335,False,quest_kg_llm,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,University of Northern Colorado,1,1.0,1.0,755.6032000575215,False,quest_kg_llm,1
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Dominican Republic,0,0.0,1.0,862.2420998290181,False,quest_kg_llm,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,Sovereign state,0,0.0,1.0,884.4612999819219,False,quest_kg_llm,0
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Puerto Rico,0,0.0,1.0,840.4916999861598,False,quest_kg_llm,0
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,France,0,0.0,1.0,856.6942000761628,False,quest_kg_llm,0
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,Jewish people,0,0.0,1.0,801.0401001665741,False,quest_kg_llm,0
WebQTrn-849_586aae7703d62aa44eb79759e1563309,What European Union country sharing borders with Germany contains the Lejre Municipality?,Denmark,Belgium,0,0.0,1.0,741.3004001136869,False,quest_kg_llm,17
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,2014 World Series,2014 World Series,1,1.0,1.0,61.68769998475909,False,quest_kg_llm,1
WebQTrn-2209_c1374f388d9cc7a78365860c91218362,What year did the basketball team coached by Brad Stevens win the championship?,2008 NBA Finals,College,0,0.0,1.0,831.549399998039,False,quest_kg_llm,0
WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,What country speaks Germanic languages and uses the East German mark as currency?,East Germany,Saint Barthélemy,0,0.0,1.0,869.4235000293702,False,quest_kg_llm,0
WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,Which globe region with the UTCâ05:00 time zone does the Dominican Republic call home?,Greater Antilles,Central Time Zone,0,0.0,1.0,768.2085998822004,False,quest_kg_llm,0
WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,What was the name of the team that won the 2008 FIFA Club World Cup Final championship?,Newton Heath L&YR F.C.,Strasbourg IG,0,0.0,1.0,829.2934999335557,False,quest_kg_llm,0
WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,Which of JFK's brother held the latest governmental position?,Robert F. Kennedy,Siblings,0,0.0,1.0,726.6676998697221,False,quest_kg_llm,0
