qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,1996 San Francisco Giants season,0,0.0,1.0,31.12651900300989,False,quest_kg,5
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,International tuition,0,0.0,1.0,45.610490000399295,False,quest_kg,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Chief Rabbinate of Israel,0,0.0,1.0,67.23690700164298,False,quest_kg,17
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Alps–Mediterranean Euroregion,0,0.0,1.0,57.491387000482064,False,quest_kg,0
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Afghanistan,0,0.0,1.0,35.389796998060774,False,quest_kg,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,San Pedro Carchá,0,0.0,1.0,51.92246800288558,False,quest_kg,12
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,Muammar Gaddafi,0,0.0,1.0,42.28472300019348,False,quest_kg,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,Northern Colorado Bears men's basketball,0,0.4,1.0,44.46726699825376,False,quest_kg,2
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Chilean Ministry of Finance,0,0.0,1.0,52.228797001589555,False,quest_kg,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,Israel north dist,0,0.0,1.0,51.50339000101667,False,quest_kg,9
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Iberian Romance languages,0,0.0,1.0,52.75021800480317,False,quest_kg,5
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,French,1,1.0,1.0,49.581453000428155,False,quest_kg,4
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,Tom Hanks,0,0.0,1.0,63.541347000864334,False,quest_kg,6
