qid,gold_e2,pred_e2,em,x_rank,confidence
0,33429,33429,1,1,0.9588009119033813
1,82133,82133,1,1,0.46132588386535645
2,84582,65846,0,4,0.4534631371498108
3,73184,73184,1,1,0.9545056819915771
4,91864,91864,1,1,0.9591770768165588
5,36360,36360,1,1,0.9534717798233032
6,57885,67892,0,19,0.9738351106643677
7,5665,18519,0,382,0.45609617233276367
8,45154,66570,0,1123,0.9221886396408081
9,22675,22675,1,1,0.9706093072891235
10,28487,20031,0,525,0.9092651605606079
11,95380,95380,1,1,0.9408292770385742
12,63387,36687,0,34,0.9654446840286255
13,19365,37345,0,4,0.9434036016464233
14,60892,60892,1,1,0.9776925444602966
15,57874,57874,1,1,0.9651511907577515
16,33864,98160,0,181,0.9075396060943604
17,70988,70988,1,1,0.9716479778289795
18,71465,52883,0,497,0.47293007373809814
19,50358,50358,1,1,0.97664874792099
20,5418,5418,1,1,0.9519767165184021
21,74028,90430,0,29,0.9478781819343567
22,94757,26579,0,23,0.4728943705558777
23,75632,75632,1,1,0.4761820435523987
24,385,323,0,2,0.9772472977638245
25,16361,16361,1,1,0.9733938574790955
26,37766,37766,1,1,0.9435000419616699
27,32337,64715,0,223,0.9360972046852112
28,18550,18550,1,1,0.46001556515693665
29,25445,25445,1,1,0.9506171345710754
30,15644,15644,1,1,0.9828420281410217
31,10452,55990,0,2,0.8413283824920654
32,57749,87504,0,15,0.9247303605079651
33,56878,56878,1,1,0.47184592485427856
34,45727,6071,0,18,0.9459877014160156
35,68708,89572,0,5,0.9286839962005615
36,80470,80470,1,1,0.9409500360488892
37,35188,35188,1,1,0.9501986503601074
38,18757,18757,1,1,0.9687333106994629
39,81459,81459,1,1,0.48021069169044495
40,26048,27486,0,3,0.9076542258262634
41,87907,87907,1,1,0.9795851707458496
42,65061,65061,1,1,0.9704785346984863
43,27782,27782,1,1,0.9679172039031982
44,83921,83921,1,1,0.4693823754787445
45,47049,47049,1,1,0.9438027739524841
46,4615,90544,0,23,0.4256349205970764
47,65191,63432,0,261,0.960687518119812
48,7347,7621,0,2,0.9356136918067932
49,39362,39362,1,1,0.4708215892314911
50,71168,71168,1,1,0.976137638092041
51,91250,84523,0,236,0.9021692276000977
52,95986,25625,0,52,0.9474865198135376
53,73879,73879,1,1,0.9687461256980896
54,7982,30210,0,178,0.8754482269287109
55,37127,28415,0,4,0.9444128274917603
56,22509,22509,1,1,0.9449974894523621
57,97448,87504,0,15,0.9261301159858704
58,78455,78455,1,1,0.9819417595863342
59,80158,71080,0,3,0.8545562624931335
60,15450,15450,1,1,0.9932424426078796
61,11276,11276,1,1,0.9686362743377686
62,413,86596,0,31,0.951778769493103
63,28690,21219,0,12,0.9672911167144775
64,82577,25546,0,2,0.9251075387001038
65,87159,87159,1,1,0.952320396900177
66,5085,5085,1,1,0.9837719202041626
67,97201,97201,1,1,0.96375572681427
68,18420,18420,1,1,0.9740535616874695
69,10800,10800,1,1,0.4844277799129486
70,95813,12047,0,47,0.9459192752838135
71,1686,1686,1,1,0.9723464250564575
72,5814,537,0,19,0.4237414002418518
73,48017,90960,0,7,0.4609372019767761
74,30470,30470,1,1,0.9750270247459412
75,10992,10992,1,1,0.977024495601654
76,4163,4163,1,1,0.9579562544822693
77,62719,62719,1,1,0.957374095916748
78,8636,8636,1,1,0.9782797694206238
79,24194,28962,0,2,0.464284211397171
80,92316,92316,1,1,0.9890068769454956
81,85691,93267,0,13,0.9228898882865906
82,60976,54315,0,6,0.9716071486473083
