qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Usain Bolt,0,0.0,0.25,842.9889001417905,False,quest_kg,0
WebQTest-1,what did james k polk do before he was president,United States Representative,United States of America,0,0.6,0.6253891559085508,50.572399981319904,False,quest_kg,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Coronation Street - Season 26,0,0.0,0.25,63.52069997228682,False,quest_kg,0
WebQTest-6,where is jamarcus russell from,Mobile,American football player,0,0.0,0.25,73.47359997220337,False,quest_kg,0
WebQTest-7,where was george washington carver from,Diamond,African American,0,0.0,0.25,72.32700008898973,False,quest_kg,0
WebQTest-8,what else did ben franklin invent,Lightning rod,Inventor,0,0.0,0.25,67.30740005150437,False,quest_kg,0
WebQTest-9,who was richard nixon married to,Pat Nixon,The Real Nixon: An Intimate Biography,0,0.25,0.6243638773357378,75.96580008976161,False,quest_kg,0
WebQTest-12,who is governor of ohio 2011,John Kasich,"United States presidential election in Ohio, 2012",0,0.0,0.5,54.90650003775954,False,quest_kg,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Lyndon B. Johnson,1,1.0,0.8284269303399727,56.66680005379021,False,quest_kg,1
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Fukushima I – 6,0,0.0,0.25,47.767600044608116,False,quest_kg,0
WebQTest-16,what countries are part of the uk,Wales,Europe,0,0.0,0.8319698712900359,66.68360019102693,False,quest_kg,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,0.4154113997124827,50.57370010763407,False,quest_kg,1
WebQTest-20,what did st augustine do,Writer,Introduction to the philosophy of Saint Augustine,0,0.0,0.25,51.88549985177815,False,quest_kg,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Leon Cole,1,1.0,0.25,46.9906001817435,False,quest_kg,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,Government of Egypt,0,0.4,0.624478722626704,56.13939999602735,False,quest_kg,2
WebQTest-23,what town was martin luther king assassinated in,Memphis,Assassination,0,0.0,0.25,71.16240006871521,False,quest_kg,0
WebQTest-24,where did edgar allan poe died,Baltimore,Baltimore,1,1.0,0.31253888688029496,70.09269995614886,False,quest_kg,1
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,Ansley Park,0,0.4,0.3120395763497386,58.061699848622084,False,quest_kg,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"Queensland state election, 2009",0,0.0,0.25,47.111800173297524,False,quest_kg,0
WebQTest-31,where did andy murray started playing tennis,2005,Andy Murray,0,0.0,0.5,41.911999927833676,False,quest_kg,0
WebQTest-32,what is the australian dollar called,AUD,Australia,0,0.0,0.5,54.02399995364249,False,quest_kg,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Central European Time Zone,1,1.0,0.312148745573359,54.36159996315837,False,quest_kg,1
WebQTest-34,who did cam newton sign with,Carolina Panthers,"Cecil Newton, Sr.",0,0.0,0.25,47.36580001190305,False,quest_kg,0
WebQTest-35,what county is frederick md in,Frederick County,Frederick County,1,1.0,0.7337691309204561,46.94900009781122,False,quest_kg,1
WebQTest-36,what highschool did harper lee go to,Monroe County High School,m.0lwxmyl,0,0.0,0.25,45.69089994765818,False,quest_kg,0
