qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Jamaican people speak Jamaican Creole English Language.,0,0.8333333333333333,0.8,9476.825558005658,False,tog2,0
WebQTest-1,what did james k polk do before he was president,United States Representative,"The given information does not directly state what James K. Polk did before becoming president. However, based on the provided",0,0.11111111111111112,0.8,9736.38277399732,False,tog2,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,The information provided does not specify who plays Ken Barlow in Coronation Street. The chain of reasoning gives details about Ken,0,0.0,0.8,9377.512551996915,False,tog2,0
WebQTest-6,where is jamarcus russell from,Mobile,Louisiana State University,0,0.0,0.8,9468.864390000817,False,tog2,0
WebQTest-7,where was george washington carver from,Diamond,"The information provided does not specify George Washington Carver's place of origin. The chain focuses on places named after him,",0,0.0,0.8,9561.168101005023,False,tog2,0
WebQTest-8,what else did ben franklin invent,Lightning rod,"The given information does not explicitly state other inventions by Benjamin Franklin. However, based on historical records, Benjamin Franklin is known",0,0.16,0.8,9650.667312998849,False,tog2,0
WebQTest-9,who was richard nixon married to,Pat Nixon,The information provided does not specify Richard Nixon's spouse. The text describes a book about his relationship with Spiro Agnew,0,0.08695652173913042,0.8,9321.023005002644,False,tog2,0
WebQTest-12,who is governor of ohio 2011,John Kasich,The information provided does not contain any details about the Governor of Ohio in 2011. The given chain focuses,0,0.0,0.8,9320.693485999072,False,tog2,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Lyndon B. Johnson was the Vice President after Kennedy died.,0,0.4615384615384615,0.8,9447.411933004332,False,tog2,2
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,"The Fukushima Daiichi Nuclear Power Plant is located at m.0clv1h_. Based on the provided information,",0,0.0,0.8,9467.581052005698,False,tog2,0
WebQTest-16,what countries are part of the uk,Wales,"The United Kingdom itself is a country, and it includes dependencies and territories such as Anguilla. However, not all",0,0.0,0.8,9448.571472996264,False,tog2,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,"To determine your timezone in Louisiana, we need to know the time zones that cover Louisiana. The state of Louisiana spans two",0,0.08,0.8,9304.124547998072,False,tog2,0
WebQTest-20,what did st augustine do,Writer,"St. Augustine influenced thinkers like Johannes Scotus Eriugena and is known for quotes such as ""Pray as",0,0.0,0.8,9468.5327660045,False,tog2,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,The information provided in the reasoning chain does not contain any details about Keyshia Cole's father. The chain focuses on,0,0.08695652173913042,0.8,9553.982824996638,False,tog2,0
WebQTest-22,what kind government does egypt have,Semi-presidential system,The provided chain does not directly specify the type of government Egypt has. It mentions the Government of Egypt and the Parliament of,0,0.14814814814814817,0.8,9402.044496993767,False,tog2,0
WebQTest-23,what town was martin luther king assassinated in,Memphis,Memphis,1,1.0,0.8,9492.037721996894,False,tog2,2
WebQTest-24,where did edgar allan poe died,Baltimore,"The information provided does not specify the location where Edgar Allan Poe died. To answer the question accurately, we would need additional",0,0.0,0.8,9575.712530997407,False,tog2,0
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,"Visiting the Georgia Aquarium, exploring the Atlanta Botanical Garden, or enjoying the Georgia Museum of Art could be fun activities",0,0.2608695652173913,0.8,9508.50807900133,False,tog2,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"The given information does not specify which electorate Anna Bligh represents. The details provided are about her education, political positions,",0,0.0,0.8,9410.390566998103,False,tog2,0
WebQTest-31,where did andy murray started playing tennis,2005,The information provided does not specify where Andy Murray started playing tennis. It only mentions his nationality (United Kingdom) and some,0,0.0,0.8,9598.174106999068,False,tog2,0
WebQTest-32,what is the australian dollar called,AUD,"The Australian dollar is referred to as ""m.09knr56"" in the OpenCyc ontology,",0,0.0,0.8,9568.160701004672,False,tog2,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Central European Time Zone,1,1.0,0.8,9382.349318999331,False,tog2,0
WebQTest-34,who did cam newton sign with,Carolina Panthers,"Based on the given chain, Cam Newton played for the team associated with ""m.0hpgnsj"", which",0,0.0,0.8,9377.937940000265,False,tog2,0
WebQTest-35,what county is frederick md in,Frederick County,Frederick County is located in Maryland and the population data for Frederick County is sourced from the United States Census Bureau.,0,0.32,0.8,9369.936114002485,False,tog2,0
WebQTest-36,what highschool did harper lee go to,Monroe County High School,"The information provided does not specify which high school Harper Lee attended. Based on the given data, her education is listed as",0,0.15384615384615385,0.8,9599.395772995194,False,tog2,0
WebQTest-37,what timezone is utah in,Mountain Time Zone,"The given information does not provide a direct link to Utah's timezone. To determine Utah's timezone, we would need additional",0,0.0,0.8,9467.204371001571,False,tog2,0
WebQTest-38,who did george w. bush run against for the second term,John Kerry,The given information does not contain any details about George W. Bush or his election for a second term. The provided chain,0,0.0,0.8,9548.585846998321,False,tog2,0
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,"The information provided in the reasoning chain does not contain any details about Niall Ferguson or his wife. Therefore, based",0,0.0,0.8,9374.570549000055,False,tog2,0
WebQTest-41,where is the galapagos islands located on a world map,Ecuador,"The Galapagos Islands are not mentioned in the provided reasoning chain. Based on the information given, the Cocos (",0,0.0,0.8,9623.461970004428,False,tog2,0
WebQTest-42,what are the songs that justin bieber wrote,Somebody to Love,"The given information does not provide specific song titles written by Justin Bieber. To answer this question accurately, we would need additional",0,0.08,0.8,9503.695904000779,False,tog2,0
WebQTest-43,what did george clemenceau do,Physician,The given chain does not provide information about George Clemenceau. The chain is about William C. C. Claib,0,0.0,0.8,9379.762680997374,False,tog2,0
WebQTest-44,what is the state flower of arizona,Saguaro,"The state flower of Arizona is not directly provided in the given chain. However, based on the information given, we know",0,0.0,0.8,9505.607466999209,False,tog2,0
WebQTest-45,where was rihanna born and raised,Saint Michael Parish,The given information does not provide any details about Rihanna's birthplace or where she was raised. The provided facts are related,0,0.0,0.8,9451.315750004142,False,tog2,0
WebQTest-46,what year did president william henry harrison take office,1841-03-04,The given information does not specify the year William Henry Harrison took office as President. It only provides details about his death place,0,0.0,0.8,9411.961963996873,False,tog2,0
WebQTest-47,where george lopez was born,Mission Hills,The information provided in the reasoning chain does not contain any details about George Lopez's birthplace. The chain focuses on Jennifer,0,0.0,0.8,9533.113714998763,False,tog2,0
WebQTest-48,where are samsung based,Suwon,"The information provided does not specify where Samsung is based. The given chain describes administrative divisions and population data for Mobile County,",0,0.0,0.8,9488.28526899888,False,tog2,0
WebQTest-49,what did the islamic people believe in,Ṭūbā,"The Islamic people believe in the oneness of Allah and the teachings of the Prophet Muhammad. This includes following the Quran,",0,0.22222222222222224,0.8,1451.0513830027776,False,tog2,0
WebQTest-51,who will play mr gray in the film,Jamie Dornan,"The given information does not provide any details about casting for a film. Therefore, it is impossible to determine who will play",0,0.0,0.8,9396.696683004848,False,tog2,0
WebQTest-52,what did george orwell died of,Tuberculosis,The given information does not specify the cause of George Orwell's death. It only provides details about his religion (Athe,0,0.0,0.8,9444.920273999742,False,tog2,0
WebQTest-54,what country did adolf hitler control,Nazi Germany,Germany,0,0.6666666666666666,0.8,9583.044390004943,False,tog2,0
WebQTest-55,who is michael buble,Actor,The information provided does not contain any details about Michael Bublé. The given chain focuses on Edward Burd and his,0,0.0,0.8,9361.80091999995,False,tog2,0
WebQTest-56,what county is kansas city kansas,Wyandotte County,"The information provided does not specify the county of Kansas City, Kansas. To accurately answer this question, additional data about the",0,0.08695652173913042,0.8,9549.019866994058,False,tog2,0
WebQTest-58,who did jackie robinson first play for,UCLA Bruins football,The given information does not provide any details about Jackie Robinson or his first team. The chain of reasoning only contains information about,0,0.0,0.8,9443.248981995566,False,tog2,0
WebQTest-59,when did annie open,1976-08-10,"Annie opened on Broadway on December 7, 1977.",0,0.0,0.8,1450.8186720049707,False,tog2,0
WebQTest-60,where did eleanor roosevelt die,Manhattan,"The given chain does not provide information about where Eleanor Roosevelt died. To answer the question, additional data is required.",0,0.0,0.8,9491.363050998189,False,tog2,0
WebQTest-61,what are the religions practiced in indonesia,Catholicism,"The given chain does not provide specific information about religions practiced in Indonesia. To answer the question, additional data about Indonesian religious",0,0.0,0.8,9308.652372004872,False,tog2,0
WebQTest-62,what was jesse james killed with,Firearm,The given reasoning chain does not contain information about Jesse James or the weapon used to kill him. The chain focuses on William,0,0.0,0.8,9516.136140002345,False,tog2,0
WebQTest-63,who was vp for lincoln,Hannibal Hamlin,The given information does not provide any details about Abraham Lincoln's vice president. The provided chain focuses on Abraham Lincoln's date,0,0.0,0.8,9500.45918700198,False,tog2,0
WebQTest-64,what other books did charles dickens write,A Christmas Carol (Chrysalis Children's Classics Series),"The information provided does not include a list of other books written by Charles Dickens. To answer this question accurately, additional data",0,0.26666666666666666,0.8,9575.377901994216,False,tog2,0
WebQTest-65,who was the first dictator of the soviet union,Vladimir Lenin,The reasoning chain provided does not contain information about the first dictator of the Soviet Union. The chain focuses on Richard Nixon's,0,0.0,0.8,9552.782074999413,False,tog2,0
WebQTest-66,what is the currency of puerto rico called,United States Dollar,"The reasoning chain provided does not contain information about Puerto Rico's currency. Therefore, based on the given information, I cannot",0,0.0,0.8,9553.249869997671,False,tog2,0
WebQTest-67,what kind of cancer did carl wilson have,Lung cancer,The given information does not provide any details about Carl Wilson or his type of cancer. The chain of reasoning only contains information,0,0.08,0.8,9526.915158996417,False,tog2,0
WebQTest-68,who plays the voice of kitt in knight rider,William Daniels,The voice of KITT in Knight Rider is provided by actor William Daniels. He voiced the role for the original series and,0,0.16666666666666669,0.8,1451.435903996753,False,tog2,0
WebQTest-69,what county is brentwood tennessee in,Williamson County,"Based on the given information, Brentwood, Tennessee is in Jennings County.",0,0.15384615384615385,0.8,9031.961567001417,False,tog2,0
WebQTest-71,who did michael j fox marry,Tracy Pollan,The given information does not provide any details about Michael J. Fox's marital status or spouse. The provided chain is about,0,0.0,0.8,9373.591609997675,False,tog2,0
WebQTest-72,what battles did stonewall jackson fight in,Manassas Station Operations,The given chain does not provide information about the battles Stonewall Jackson fought in. It only provides details about his ethnicity,0,0.08,0.8,9402.738726996176,False,tog2,0
WebQTest-73,what language do the maasai tribe speak,Maasai Language,"The information provided does not specify the language spoken by the Maasai tribe. To accurately answer this question, we would",0,0.18181818181818182,0.8,9310.96908300242,False,tog2,0
WebQTest-74,who did benjamin franklin get married to,Deborah Read,"The given information does not mention Benjamin Franklin's marriage. Therefore, based on the provided reasoning chain, we cannot determine who",0,0.0,0.8,9452.315736001765,False,tog2,0
WebQTest-75,what disease did patrick swayze died from,Pancreatic cancer,Patrick Swayze died from Amyotrophic lateral sclerosis (ALS).,0,0.0,0.8,9376.581708005688,False,tog2,0
WebQTest-76,what works of art did leonardo da vinci produce,g.121wt37c,The given information does not provide any details about Leonardo da Vinci's works of art. The chain focuses on the influences and,0,0.27586206896551724,0.8,9413.73475400178,False,tog2,0
WebQTest-77,what capital of austria,Vienna,"The reasoning chain provided does not contain information about the capital of Austria. Based on general knowledge, the capital of Austria is",0,0.0,0.8,9614.316721002979,False,tog2,0
WebQTest-78,what type of cancer did eva peron have,Cervical cancer,The given information does not provide any details about Eva Peron's type of cancer. The provided facts are about Eva Fab,0,0.08333333333333334,0.8,9436.043510999298,False,tog2,0
WebQTest-79,what country did buddha come from,Nepal,"Based on the given chain, there is no direct information about the country Gautama Buddha came from. The chain focuses on",0,0.0,0.8,9551.309656999365,False,tog2,0
