qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0027?",1,No,0,0.0,0.4351890981197357,1499.6480079998946,False,vanilla_rag,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,No,1,1.0,0.48811498284339905,1469.8381339999287,False,vanilla_rag,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,No,0,0.0,0.4352909028530121,1468.2193060000372,False,vanilla_rag,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,No,1,1.0,0.5088228583335876,1469.589082000084,False,vanilla_rag,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,No,0,0.0,0.42223796248435974,1469.2717860000357,False,vanilla_rag,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,No,1,1.0,0.4917597770690918,1471.2948569999753,False,vanilla_rag,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0130?",1,No,0,0.0,0.43888458609580994,1469.5721639998283,False,vanilla_rag,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,No,1,1.0,0.44509586691856384,1472.4459930000648,False,vanilla_rag,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,No,0,0.0,0.4060046672821045,1471.9615649999014,False,vanilla_rag,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,No,1,1.0,0.4681854248046875,1472.6884060000884,False,vanilla_rag,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,No,0,0.0,0.36308160424232483,1472.3073699999532,False,vanilla_rag,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,No,1,1.0,0.44248107075691223,1471.3785470000857,False,vanilla_rag,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0027?",1,No,0,0.0,0.38869571685791016,1474.0982079999867,False,vanilla_rag,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,No,1,1.0,0.44381824135780334,1473.8312199999655,False,vanilla_rag,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0081?",1,No,0,0.0,0.4821377694606781,1471.9204479999917,False,vanilla_rag,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,No,1,1.0,0.4105551540851593,1472.8314950000367,False,vanilla_rag,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0133?",1,No,0,0.0,0.39672431349754333,1474.1032719998657,False,vanilla_rag,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,No,1,1.0,0.516348659992218,1471.9238199998017,False,vanilla_rag,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0140?",1,No,0,0.0,0.4542929232120514,1472.8879130000223,False,vanilla_rag,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,No,1,1.0,0.5317383408546448,1474.8178539998662,False,vanilla_rag,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0114?",1,No,0,0.0,0.45527637004852295,1473.2992490000925,False,vanilla_rag,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,No,1,1.0,0.44934043288230896,1472.67252000006,False,vanilla_rag,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,No,0,0.0,0.4205443859100342,1474.6951729998727,False,vanilla_rag,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,No,1,1.0,0.462263822555542,1473.1142569999065,False,vanilla_rag,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0103?",1,no,0,0.0,0.44384947419166565,1471.8764130000181,False,vanilla_rag,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,No,1,1.0,0.4830884039402008,1473.7151070000891,False,vanilla_rag,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,No,0,0.0,0.44839227199554443,1472.9331650000859,False,vanilla_rag,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,No,1,1.0,0.5056214332580566,1470.5734650001432,False,vanilla_rag,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0114?",1,No,0,0.0,0.44206348061561584,1475.1431949998732,False,vanilla_rag,0
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,No,1,1.0,0.3962346613407135,1474.728980000009,False,vanilla_rag,0
oa_1277,"At time 58 in context ctx_02, can u_0243 access res_0114?",1,No,0,0.0,0.44518518447875977,1474.4396640001014,False,vanilla_rag,0
oa_81,"At time 64 in context ctx_00, can u_0378 access res_0078?",0,No,1,1.0,0.4512784481048584,1474.9748749998162,False,vanilla_rag,0
oa_1342,"At time 55 in context ctx_07, can u_0176 access res_0061?",1,No,0,0.0,0.43933725357055664,1474.5108609999988,False,vanilla_rag,0
oa_82,"At time 86 in context ctx_06, can u_0011 access res_0149?",0,No,1,1.0,0.5216230750083923,1476.438749999943,False,vanilla_rag,0
oa_1531,"At time 53 in context ctx_05, can u_0440 access res_0074?",1,No,0,0.0,0.4379183351993561,1474.4948190000287,False,vanilla_rag,0
oa_101,"At time 176 in context ctx_00, can u_0397 access res_0044?",0,No,1,1.0,0.4611956775188446,1474.0385899999637,False,vanilla_rag,0
oa_1551,"At time 51 in context ctx_03, can u_0190 access res_0156?",1,No,0,0.0,0.438132643699646,1476.3753889999407,False,vanilla_rag,0
oa_108,"At time 183 in context ctx_07, can u_0276 access res_0120?",0,No,1,1.0,0.5019996762275696,1476.9288330001018,False,vanilla_rag,0
oa_1668,"At time 53 in context ctx_05, can u_0020 access res_0024?",1,Yes,1,1.0,0.4262200593948364,1478.3333010000206,False,vanilla_rag,0
oa_115,"At time 94 in context ctx_06, can u_0007 access res_0152?",0,No,1,1.0,0.5092127323150635,1475.1524959999642,False,vanilla_rag,0
oa_1677,"At time 50 in context ctx_02, can u_0046 access res_0085?",1,No,0,0.0,0.3716796934604645,1476.0197300001892,False,vanilla_rag,0
oa_117,"At time 144 in context ctx_00, can u_0307 access res_0102?",0,No,1,1.0,0.40031683444976807,1475.9218899998814,False,vanilla_rag,0
oa_1762,"At time 54 in context ctx_06, can u_0225 access res_0077?",1,no,0,0.0,0.48670294880867004,1474.85671000004,False,vanilla_rag,0
oa_120,"At time 171 in context ctx_03, can u_0063 access res_0130?",0,No,1,1.0,0.46984973549842834,1475.857392999842,False,vanilla_rag,0
oa_1983,"At time 61 in context ctx_05, can u_0277 access res_0074?",1,No,0,0.0,0.46996521949768066,1476.5415449999182,False,vanilla_rag,0
oa_125,"At time 69 in context ctx_05, can u_0465 access res_0015?",0,No,1,1.0,0.5051425695419312,1475.71905399991,False,vanilla_rag,0
oa_1998,"At time 58 in context ctx_02, can u_0199 access res_0016?",1,No,0,0.0,0.4930705726146698,1478.1442609998976,False,vanilla_rag,0
oa_132,"At time 184 in context ctx_00, can u_0312 access res_0154?",0,No,1,1.0,0.47326627373695374,1474.785541999836,False,vanilla_rag,0
oa_2040,"At time 56 in context ctx_00, can u_0440 access res_0074?",1,No,0,0.0,0.4379492700099945,1475.187845000164,False,vanilla_rag,0
oa_152,"At time 96 in context ctx_00, can u_0156 access res_0128?",0,No,1,1.0,0.48518797755241394,1476.4265539999997,False,vanilla_rag,0
oa_2101,"At time 62 in context ctx_06, can u_0139 access res_0077?",1,No,0,0.0,0.475635290145874,1476.5318229999593,False,vanilla_rag,0
oa_165,"At time 103 in context ctx_07, can u_0315 access res_0188?",0,No,1,1.0,0.4686563014984131,1477.780063999944,False,vanilla_rag,0
oa_2127,"At time 50 in context ctx_02, can u_0020 access res_0124?",1,no,0,0.0,0.38090720772743225,1477.1122770000602,False,vanilla_rag,0
oa_167,"At time 68 in context ctx_04, can u_0073 access res_0039?",0,No,1,1.0,0.4793054759502411,1478.222962000018,False,vanilla_rag,0
