qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0016?",1,No,0,0.0,0.8,19575.765599962324,False,tog1,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,No,1,1.0,0.8,18463.62720010802,False,tog1,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,"No, u_0481 cannot access res_0048 at time 55 in context ctx",0,0.0,0.8,18391.89079985954,False,tog1,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,"No, because there is no direct or indirect link between res_0098 and u_0029",1,1.0,0.8,18708.971800049767,False,tog1,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,"No, u_0247 cannot access res_0048 at time 55 in context ctx",0,0.0,0.8,18432.887699920684,False,tog1,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,"No, because based on the given reasoning chain, res_0026 is only governed by pol_02",1,1.0,0.8,18276.902599958703,False,tog1,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0125?",1,"No, because res_0125 is not governed by pol_025, and thus cannot be valid",0,0.0,0.8,18735.408900072798,False,tog1,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,No,1,1.0,0.8,18622.234599897638,False,tog1,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,No,0,0.0,0.8,18030.105100013316,False,tog1,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,"To determine if u_0132 can access res_0152 at time 134,",0,0.0,0.8,3146.6733999550343,False,tog1,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,"Based on the given reasoning chain, res_0130 is governed by both pol_006 and pol",0,0.0,0.8,18507.467599818483,False,tog1,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,"No, because res_0060 is governed by pol_025, which is not valid in any",1,1.0,0.8,18897.458099992946,False,tog1,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0016?",1,"No, because res_0016 is only governed by pol_009 within context ctx_02",0,0.0,0.8,18518.504800042138,False,tog1,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,"No, because res_0134 is not governed by any political entity (pol) within the contexts (ctx",1,1.0,0.8,17918.56440017,False,tog1,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0139?",1,"No, because based on the given reasoning chain, res_0139 is not governed by any of the political",0,0.0,0.8,19023.51099997759,False,tog1,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,"No, based on the given reasoning chain, res_0066 is not governed by any of the political entities",1,1.0,0.8,18686.4334999118,False,tog1,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0066?",1,"No, because res_0066 is not governed by any of the political entities (pol_009",0,0.0,0.8,18427.847099956125,False,tog1,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,No,1,1.0,0.8,18257.00380001217,False,tog1,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0180?",1,"Based on the given reasoning chain, pol_009 is valid in context ctx_02 and res_0",0,0.0,0.8,18635.142300045118,False,tog1,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,No,1,1.0,0.8,18492.632700130343,False,tog1,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0077?",1,"No, because res_0077 is not governed by any political entity valid in context ctx_02.",0,0.0,0.8,18407.26809995249,False,tog1,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,"No, because res_0175 is not governed by pol_025, and pol_02",1,1.0,0.8,18617.977400077507,False,tog1,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,"No, because based on the given reasoning chain, res_0160 is governed by pol_038",0,0.0,0.8,19128.036000067368,False,tog1,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,"No, because res_0162 is not governed by any political entity (pol) that is valid in context",1,1.0,0.8,18635.202000150457,False,tog1,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0055?",1,No,0,0.0,0.8,18024.54959996976,False,tog1,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,"No, because res_0029 is not governed by any political entity (pol) that is valid in context",1,1.0,0.8,19197.036699857563,False,tog1,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,"No, because res_0074 is not governed by pol_019, which is valid in context",0,0.0,0.8,18692.701800027862,False,tog1,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,"No, because based on the given reasoning chain, res_0089 is not governed by any of the political",1,1.0,0.8,18791.986500145867,False,tog1,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0077?",1,"No, because res_0127 is only governed by pol_009 and pol_006",0,0.0,0.8,19588.85659999214,False,tog1,0
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,No,1,1.0,0.8,18723.105299985036,False,tog1,0
oa_1277,"At time 58 in context ctx_02, can u_0243 access res_0077?",1,"No, because the reasoning provided does not indicate any governance or validity of res_0077 within context ctx_",0,0.0,0.8,18037.915399996564,False,tog1,0
